#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
655981,24567069,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Geomyces destructans).,other,-,-,-,-,20181203,-
655981,36288189,VC83_05122,VC83_05122,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288190,VC83_05123,VC83_05123,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288191,VC83_05124,VC83_05124,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288192,VC83_05125,VC83_05125,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288193,VC83_05126,VC83_05126,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288194,VC83_05127,VC83_05127,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288195,VC83_05128,VC83_05128,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288196,VC83_05129,VC83_05129,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288197,VC83_05130,VC83_05130,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288198,VC83_05131,VC83_05131,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288199,VC83_05132,VC83_05132,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288200,VC83_05133,VC83_05133,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288201,VC83_05134,VC83_05134,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288202,VC83_05135,VC83_05135,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288203,AMS1,VC83_05136,-,-,Unknown,-,"Glycoside hydrolase, 38 vacuolar alpha mannosidase",protein-coding,-,-,-,"Glycoside hydrolase, 38 vacuolar alpha mannosidase",20200909,-
655981,36288204,VC83_05137,VC83_05137,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288205,VC83_05138,VC83_05138,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288206,VC83_05139,VC83_05139,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288207,VC83_05140,VC83_05140,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288208,VC83_05141,VC83_05141,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288209,VC83_05142,VC83_05142,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288210,VC83_05143,VC83_05143,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288211,VC83_05144,VC83_05144,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288212,NIK1,VC83_05145,-,-,Unknown,-,histidine kinase osmosensor,protein-coding,-,-,-,histidine kinase osmosensor,20200909,-
655981,36288213,VC83_05146,VC83_05146,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288214,VC83_05147,VC83_05147,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288215,VC83_05148,VC83_05148,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288216,VC83_05149,VC83_05149,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288217,VC83_05150,VC83_05150,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288218,VC83_05151,VC83_05151,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288219,VC83_05152,VC83_05152,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288220,SWR1,VC83_05153,-,-,Unknown,-,swr1 complex component,protein-coding,-,-,-,swr1 complex component,20200909,-
655981,36288221,VC83_05154,VC83_05154,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288222,VC83_05155,VC83_05155,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288223,VC83_05156,VC83_05156,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288224,VC83_05157,VC83_05157,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288225,VC83_05158,VC83_05158,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288226,VC83_05159,VC83_05159,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288227,VC83_05160,VC83_05160,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288228,VC83_05161,VC83_05161,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288229,VC83_05162,VC83_05162,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288230,NUC1_1,VC83_05163,-,-,Unknown,-,nuclease,protein-coding,-,-,-,nuclease,20200909,-
655981,36288231,VC83_05164,VC83_05164,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288232,VC83_05165,VC83_05165,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288233,VC83_05166,VC83_05166,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288234,VC83_05167,VC83_05167,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288235,VC83_05168,VC83_05168,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288236,VC83_05169,VC83_05169,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288237,NSP1,VC83_05170,-,-,Unknown,-,FG-nucleoporin nsp1,protein-coding,-,-,-,FG-nucleoporin nsp1,20200909,-
655981,36288238,VC83_05171,VC83_05171,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288239,BMH1_2,VC83_05172,-,-,Unknown,-,14-3-3 protein,protein-coding,-,-,-,14-3-3 protein,20200909,-
655981,36288240,CDC14,VC83_05173,-,-,Unknown,-,cell division control protein 14,protein-coding,-,-,-,cell division control protein 14,20200909,-
655981,36288241,VC83_05174,VC83_05174,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288242,VC83_05175,VC83_05175,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288243,VC83_05176,VC83_05176,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288244,VC83_05177,VC83_05177,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288245,VC83_05178,VC83_05178,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288246,VC83_05179,VC83_05179,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288247,HRD1,VC83_05180,-,-,Unknown,-,E3 ubiquitin-protein ligase hrd1,protein-coding,-,-,-,E3 ubiquitin-protein ligase hrd1,20200909,-
655981,36288248,GLG2,VC83_05181,-,-,Unknown,-,glycogenin glucosyltransferase,protein-coding,-,-,-,glycogenin glucosyltransferase,20200909,-
655981,36288249,VC83_05182,VC83_05182,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288250,VC83_05183,VC83_05183,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288251,VC83_05184,VC83_05184,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288252,VC83_05185,VC83_05185,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288253,VC83_05186,VC83_05186,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288254,VC83_05187,VC83_05187,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288255,VC83_05188,VC83_05188,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288256,VC83_05189,VC83_05189,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288257,VC83_05190,VC83_05190,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,36288258,VC83_05191,VC83_05191,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288259,VC83_05192,VC83_05192,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288260,VC83_05193,VC83_05193,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288261,PSD1,VC83_05194,-,-,Unknown,-,phosphatidylserine decarboxylase 1,protein-coding,-,-,-,phosphatidylserine decarboxylase 1,20200909,-
655981,36288262,VC83_05195,VC83_05195,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288263,VC83_05196,VC83_05196,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288264,VC83_05197,VC83_05197,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288265,VC83_05198,VC83_05198,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288266,VC83_05199,VC83_05199,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288267,VC83_05200,VC83_05200,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288268,PZF1,VC83_05201,-,-,Unknown,-,Strongly-conserved Zn-finger binding protein (TFIIIA),protein-coding,-,-,-,Strongly-conserved Zn-finger binding protein (TFIIIA),20200909,-
655981,36288269,RPB6,VC83_05202,-,-,Unknown,-,DNA-directed RNA polymerases I II and III subunit RPABC2,protein-coding,-,-,-,DNA-directed RNA polymerases I II and III subunit RPABC2,20200909,-
655981,36288270,VC83_05203,VC83_05203,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288271,VC83_05204,VC83_05204,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288272,VC83_05205,VC83_05205,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288273,VC83_05206,VC83_05206,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288274,LOS1,VC83_05207,-,-,Unknown,-,pre-tRNA nuclear export protein,protein-coding,-,-,-,pre-tRNA nuclear export protein,20200909,-
655981,36288275,NUT2,VC83_05208,-,-,Unknown,-,RNA polymerase II mediator complex subunit,protein-coding,-,-,-,RNA polymerase II mediator complex subunit,20200909,-
655981,36288276,VC83_05209,VC83_05209,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288277,VC83_05210,VC83_05210,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288278,VC83_05211,VC83_05211,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288279,LEU2,VC83_05212,-,-,Unknown,-,3-isopropylmalate dehydrogenase,protein-coding,-,-,-,3-isopropylmalate dehydrogenase,20200909,-
655981,36288280,VC83_05213,VC83_05213,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288281,VC83_05214,VC83_05214,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288282,VC83_05215,VC83_05215,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288283,VC83_05216,VC83_05216,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288284,VC83_05217,VC83_05217,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288285,VC83_05219,VC83_05219,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288286,VC83_05220,VC83_05220,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288287,VC83_05221,VC83_05221,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288288,VC83_05222,VC83_05222,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288289,VC83_05223,VC83_05223,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288290,VC83_05224,VC83_05224,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288291,VC83_05225,VC83_05225,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,36288292,VC83_05226,VC83_05226,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288293,VC83_05227,VC83_05227,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288294,VC83_05228,VC83_05228,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288295,DRS1,VC83_05229,-,-,Unknown,-,nucleolar DEAD-box protein required for synthesis of 60S ribosomal subunit,protein-coding,-,-,-,nucleolar DEAD-box protein required for synthesis of 60S ribosomal subunit,20200909,-
655981,36288296,VC83_05230,VC83_05230,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288297,ARL2,VC83_05231,-,-,Unknown,-,ADP-ribosylation factor-like protein 2,protein-coding,-,-,-,ADP-ribosylation factor-like protein 2,20200909,-
655981,36288298,VC83_05232,VC83_05232,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288299,PDE1,VC83_05233,-,-,Unknown,-,"3',5'-cyclic-nucleotide phosphodiesterase pde1",protein-coding,-,-,-,"3',5'-cyclic-nucleotide phosphodiesterase pde1",20200909,-
655981,36288300,BBP1,VC83_05234,-,-,Unknown,-,Branchpoint-bridging protein,protein-coding,-,-,-,Branchpoint-bridging protein,20200909,-
655981,36288301,VC83_05235,VC83_05235,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288302,VC83_05236,VC83_05236,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288303,VC83_05237,VC83_05237,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288304,VC83_05238,VC83_05238,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288305,KNS1,VC83_05239,-,-,Unknown,-,dual specificity protein kinase kns1,protein-coding,-,-,-,dual specificity protein kinase kns1,20200909,-
655981,36288306,VC83_05240,VC83_05240,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288307,VC83_05241,VC83_05241,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288308,VC83_05242,VC83_05242,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288309,VC83_05243,VC83_05243,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288310,VC83_05244,VC83_05244,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288311,VC83_05245,VC83_05245,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288312,VC83_05246,VC83_05246,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288313,VC83_05247,VC83_05247,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288314,VC83_05248,VC83_05248,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288315,VC83_05249,VC83_05249,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288316,VC83_05250,VC83_05250,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288317,VC83_05251,VC83_05251,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288318,MSS51,VC83_05252,-,-,Unknown,-,"Protein mss51, mitochondrial",protein-coding,-,-,-,"Protein mss51, mitochondrial",20200909,-
655981,36288319,RSE1,VC83_05253,-,-,Unknown,-,pre-mRNA-splicing factor rse1,protein-coding,-,-,-,pre-mRNA-splicing factor rse1,20200909,-
655981,36288320,VC83_05254,VC83_05254,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288321,VC83_05255,VC83_05255,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288322,VC83_05256,VC83_05256,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288323,VC83_05257,VC83_05257,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288324,VC83_05258,VC83_05258,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288325,VC83_05259,VC83_05259,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288326,VC83_05260,VC83_05260,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288327,VC83_05261,VC83_05261,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288328,VC83_05262,VC83_05262,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288329,VC83_05263,VC83_05263,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288330,KU80,VC83_05264,-,-,Unknown,-,ATP-dependent DNA helicase II subunit 2,protein-coding,-,-,-,ATP-dependent DNA helicase II subunit 2,20200909,-
655981,36288331,VC83_05265,VC83_05265,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288332,VC83_05266,VC83_05266,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288333,TOP3,VC83_05267,-,-,Unknown,-,DNA topoisomerase,protein-coding,-,-,-,DNA topoisomerase,20200909,-
655981,36288334,VC83_05268,VC83_05268,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288335,VC83_05269,VC83_05269,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288336,VC83_05270,VC83_05270,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288337,VC83_05271,VC83_05271,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288338,CWC22,VC83_05272,-,-,Unknown,-,pre-mRNA-splicing factor cwc22,protein-coding,-,-,-,pre-mRNA-splicing factor cwc22,20200909,-
655981,36288339,VC83_05273,VC83_05273,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288340,VC83_05274,VC83_05274,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288341,VC83_05275,VC83_05275,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288342,VC83_05276,VC83_05276,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288343,SOL1,VC83_05277,-,-,Unknown,-,suppressor of los1-1,protein-coding,-,-,-,suppressor of los1-1,20200909,-
655981,36288344,VC83_05278,VC83_05278,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288345,VC83_05279,VC83_05279,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288346,VC83_05280,VC83_05280,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288347,CCS1,VC83_05281,-,-,Unknown,-,copper chaperone,protein-coding,-,-,-,copper chaperone,20200909,-
655981,36288348,VC83_05282,VC83_05282,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288349,VC83_05283,VC83_05283,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288350,VC83_05284,VC83_05284,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288351,TFB2,VC83_05285,-,-,Unknown,-,RNA polymerase II transcription factor B 52 kDa subunit,protein-coding,-,-,-,RNA polymerase II transcription factor B 52 kDa subunit,20200909,-
655981,36288352,VC83_05286,VC83_05286,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288353,VC83_05287,VC83_05287,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288354,VC83_05288,VC83_05288,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288355,EFG1,VC83_05289,-,-,Unknown,-,18S rRNA maturation protein,protein-coding,-,-,-,18S rRNA maturation protein,20200909,-
655981,36288356,VC83_05290,VC83_05290,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288357,ANT1,VC83_05291,-,-,Unknown,-,ADP/ATP carrier protein,protein-coding,-,-,-,ADP/ATP carrier protein,20200909,-
655981,36288358,VC83_05292,VC83_05292,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288359,VC83_05293,VC83_05293,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288360,VC83_05294,VC83_05294,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288361,VC83_05295,VC83_05295,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288362,AIM9_1,VC83_05296,-,-,Unknown,-,Phosphotransferase enzyme,protein-coding,-,-,-,Phosphotransferase enzyme,20200909,-
655981,36288363,VC83_05297,VC83_05297,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288364,AFG3,VC83_05298,-,-,Unknown,-,AAA ATPase afg3,protein-coding,-,-,-,AAA ATPase afg3,20200909,-
655981,36288365,VC83_05299,VC83_05299,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288366,VC83_05300,VC83_05300,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288367,VC83_05301,VC83_05301,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288368,VC83_05302,VC83_05302,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288369,VC83_05303,VC83_05303,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288370,VC83_05304,VC83_05304,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288371,VC83_05305,VC83_05305,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288372,VC83_05306,VC83_05306,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288373,VC83_05307,VC83_05307,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288374,TOF1,VC83_05308,-,-,Unknown,-,DNA repair,protein-coding,-,-,-,DNA repair,20200909,-
655981,36288375,VC83_05309,VC83_05309,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288376,VC83_05310,VC83_05310,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288377,VC83_05311,VC83_05311,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288378,VC83_05312,VC83_05312,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288379,ISA2,VC83_05313,-,-,Unknown,-,[4Fe-4S] proteins maturation,protein-coding,-,-,-,[4Fe-4S] proteins maturation,20200909,-
655981,36288380,RPL7,VC83_05314,-,-,Unknown,-,60S ribosomal protein L7,protein-coding,-,-,-,60S ribosomal protein L7,20200909,-
655981,36288381,RAD9A,VC83_05315,-,-,Unknown,-,cell cycle checkpoint control protein,protein-coding,-,-,-,cell cycle checkpoint control protein,20200909,-
655981,36288382,BNA5,VC83_05316,-,-,Unknown,-,Kynureninase (L-kynurenine hydrolase),protein-coding,-,-,-,Kynureninase (L-kynurenine hydrolase),20200909,-
655981,36288383,GDH2,VC83_05317,-,-,Unknown,-,NAD-dependent glutamate dehydrogenase,protein-coding,-,-,-,NAD-dependent glutamate dehydrogenase,20200909,-
655981,36288384,VC83_05318,VC83_05318,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288385,VC83_05319,VC83_05319,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288386,HEK2,VC83_05320,-,-,Unknown,-,"RNA binding protein, heterogenous nuclear RNP-K like protein",protein-coding,-,-,-,"RNA binding protein, heterogenous nuclear RNP-K like protein",20200909,-
655981,36288387,VC83_05321,VC83_05321,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288388,VC83_05322,VC83_05322,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36288389,RPL29,VC83_05323,-,-,Unknown,-,60S ribosomal protein L29,protein-coding,-,-,-,60S ribosomal protein L29,20200909,-
