#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
134537,58747553,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Burkholderia fungorum.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20200824,-
134537,61182104,A8H39_RS21905,A8H39_RS21905,A8H39_21885,-,-,-,ParB/RepB/Spo0J family partition protein,protein-coding,-,-,-,ParB/RepB/Spo0J family partition protein,20201230,-
134537,61182105,A8H39_RS21910,A8H39_RS21910,A8H39_21890,-,-,-,ParA family protein,protein-coding,-,-,-,ParA family protein,20201228,-
134537,61182106,rsmG,A8H39_RS21915,A8H39_21895,-,-,-,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG,protein-coding,-,-,-,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG,20201230,-
134537,61182107,mnmG,A8H39_RS21920,A8H39_21900,-,-,-,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,protein-coding,-,-,-,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,20201228,-
134537,61182108,A8H39_RS21925,A8H39_RS21925,A8H39_21905,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210417,-
134537,61182109,A8H39_RS21930,A8H39_RS21930,A8H39_21910,-,-,-,branched-chain amino acid ABC transporter ATP-binding protein/permease,protein-coding,-,-,-,branched-chain amino acid ABC transporter ATP-binding protein/permease,20201228,-
134537,61182110,A8H39_RS21935,A8H39_RS21935,A8H39_21915,-,-,-,branched-chain amino acid ABC transporter permease,protein-coding,-,-,-,branched-chain amino acid ABC transporter permease,20201228,-
134537,61182111,A8H39_RS21945,A8H39_RS21945,A8H39_21925,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20201230,-
134537,61182112,A8H39_RS21950,A8H39_RS21950,A8H39_21930,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20201228,-
134537,61182113,A8H39_RS21955,A8H39_RS21955,A8H39_21935,-,-,-,branched-chain amino acid ABC transporter permease,protein-coding,-,-,-,branched-chain amino acid ABC transporter permease,20201228,-
134537,61182114,A8H39_RS21960,A8H39_RS21960,A8H39_21940,-,-,-,branched-chain amino acid ABC transporter permease,protein-coding,-,-,-,branched-chain amino acid ABC transporter permease,20201230,-
134537,61182115,A8H39_RS21965,A8H39_RS21965,A8H39_21945,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20210417,-
134537,61182116,A8H39_RS21970,A8H39_RS21970,A8H39_21950,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20201230,-
134537,61182117,A8H39_RS21975,A8H39_RS21975,A8H39_21955,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20201230,-
134537,61182118,A8H39_RS21980,A8H39_RS21980,A8H39_21960,-,-,-,GMC family oxidoreductase N-terminal domain-containing protein,protein-coding,-,-,-,GMC family oxidoreductase N-terminal domain-containing protein,20201228,-
134537,61182119,A8H39_RS21985,A8H39_RS21985,A8H39_21965,-,-,-,CoA-acylating methylmalonate-semialdehyde dehydrogenase,protein-coding,-,-,-,CoA-acylating methylmalonate-semialdehyde dehydrogenase,20201228,-
134537,61182120,A8H39_RS21990,A8H39_RS21990,A8H39_21970,-,-,-,LysR family transcriptional regulator,protein-coding,-,-,-,LysR family transcriptional regulator,20201228,-
134537,61182121,A8H39_RS21995,A8H39_RS21995,A8H39_21975,-,-,-,class IV adenylate cyclase,protein-coding,-,-,-,class IV adenylate cyclase,20201230,-
134537,61182122,A8H39_RS22000,A8H39_RS22000,A8H39_21980,-,-,-,Lrp/AsnC family transcriptional regulator,protein-coding,-,-,-,Lrp/AsnC family transcriptional regulator,20201230,-
134537,61182123,A8H39_RS22005,A8H39_RS22005,A8H39_21985,-,-,-,phenylalanine 4-monooxygenase,protein-coding,-,-,-,phenylalanine 4-monooxygenase,20210123,-
134537,61182124,A8H39_RS22010,A8H39_RS22010,A8H39_21990,-,-,-,4a-hydroxytetrahydrobiopterin dehydratase,protein-coding,-,-,-,4a-hydroxytetrahydrobiopterin dehydratase,20201230,-
134537,61182125,A8H39_RS22015,A8H39_RS22015,A8H39_21995,-,-,-,DUF3717 domain-containing protein,protein-coding,-,-,-,DUF3717 domain-containing protein,20201230,-
134537,61182126,A8H39_RS22020,A8H39_RS22020,A8H39_22000,-,-,-,response regulator transcription factor,protein-coding,-,-,-,response regulator transcription factor,20201230,-
134537,61182127,A8H39_RS22025,A8H39_RS22025,A8H39_22005,-,-,-,sensor histidine kinase,protein-coding,-,-,-,sensor histidine kinase,20201228,-
134537,61182128,A8H39_RS22030,A8H39_RS22030,A8H39_22010,-,-,-,SET domain-containing protein-lysine N-methyltransferase,protein-coding,-,-,-,SET domain-containing protein-lysine N-methyltransferase,20201230,-
134537,61182129,A8H39_RS22035,A8H39_RS22035,A8H39_22015,-,-,-,NADH:flavin oxidoreductase/NADH oxidase,protein-coding,-,-,-,NADH:flavin oxidoreductase/NADH oxidase,20201228,-
134537,61182130,A8H39_RS22040,A8H39_RS22040,A8H39_22020,-,-,-,glutamine amidotransferase,protein-coding,-,-,-,glutamine amidotransferase,20201228,-
134537,61182131,A8H39_RS22045,A8H39_RS22045,A8H39_22025,-,-,-,winged helix-turn-helix transcriptional regulator,protein-coding,-,-,-,winged helix-turn-helix transcriptional regulator,20201228,-
134537,61182132,A8H39_RS22050,A8H39_RS22050,A8H39_22030,-,-,-,glutamate--cysteine ligase,protein-coding,-,-,-,glutamate--cysteine ligase,20201230,-
134537,61182133,A8H39_RS22055,A8H39_RS22055,A8H39_22035,-,-,-,cation:proton antiporter,protein-coding,-,-,-,cation:proton antiporter,20201230,-
134537,61182134,mnmC,A8H39_RS22065,A8H39_22045,-,-,-,bifunctional tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD/FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC,protein-coding,-,-,-,bifunctional tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD/FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC,20201228,-
134537,61182135,A8H39_RS22070,A8H39_RS22070,A8H39_22050,-,-,-,HU family DNA-binding protein,protein-coding,-,-,-,HU family DNA-binding protein,20201230,-
134537,61182136,A8H39_RS22075,A8H39_RS22075,A8H39_22055,-,-,-,GTP-binding protein,protein-coding,-,-,-,GTP-binding protein,20201228,-
134537,61182137,A8H39_RS22080,A8H39_RS22080,A8H39_22060,-,-,-,lytic transglycosylase domain-containing protein,protein-coding,-,-,-,lytic transglycosylase domain-containing protein,20201228,-
134537,61182138,gspD,A8H39_RS22085,A8H39_22065,-,-,-,type II secretion system secretin GspD,protein-coding,-,-,-,type II secretion system secretin GspD,20201230,-
134537,61182139,gspE,A8H39_RS22090,A8H39_22070,-,-,-,type II secretion system ATPase GspE,protein-coding,-,-,-,type II secretion system ATPase GspE,20210522,-
134537,61182140,gspF,A8H39_RS22095,A8H39_22075,-,-,-,type II secretion system inner membrane protein GspF,protein-coding,-,-,-,type II secretion system inner membrane protein GspF,20201230,-
134537,61182141,A8H39_RS22100,A8H39_RS22100,A8H39_22080,-,-,-,general secretion pathway protein GspC,protein-coding,-,-,-,general secretion pathway protein GspC,20210424,-
134537,61182142,gspG,A8H39_RS22105,A8H39_22085,-,-,-,type II secretion system major pseudopilin GspG,protein-coding,-,-,-,type II secretion system major pseudopilin GspG,20201230,-
134537,61182143,A8H39_RS22110,A8H39_RS22110,A8H39_22090,-,-,-,GspH/FimT family pseudopilin,protein-coding,-,-,-,GspH/FimT family pseudopilin,20201228,-
134537,61182144,gspI,A8H39_RS22115,A8H39_22095,-,-,-,type II secretion system minor pseudopilin GspI,protein-coding,-,-,-,type II secretion system minor pseudopilin GspI,20210424,-
134537,61182145,A8H39_RS22120,A8H39_RS22120,A8H39_22100,-,-,-,prepilin-type N-terminal cleavage/methylation domain-containing protein,protein-coding,-,-,-,prepilin-type N-terminal cleavage/methylation domain-containing protein,20201228,-
134537,61182146,gspK,A8H39_RS22125,A8H39_22105,-,-,-,type II secretion system minor pseudopilin GspK,protein-coding,-,-,-,type II secretion system minor pseudopilin GspK,20201228,-
134537,61182147,gspL,A8H39_RS22130,A8H39_22110,-,-,-,type II secretion system protein GspL,protein-coding,-,-,-,type II secretion system protein GspL,20201228,-
134537,61182148,A8H39_RS22135,A8H39_RS22135,A8H39_22115,-,-,-,type II secretion system protein M,protein-coding,-,-,-,type II secretion system protein M,20201230,-
134537,61182149,A8H39_RS22140,A8H39_RS22140,A8H39_22120,-,-,-,type II secretion system protein N,protein-coding,-,-,-,type II secretion system protein N,20201228,-
134537,61182150,A8H39_RS22145,A8H39_RS22145,A8H39_22125,-,-,-,efflux transporter outer membrane subunit,protein-coding,-,-,-,efflux transporter outer membrane subunit,20201228,-
134537,61182151,A8H39_RS22150,A8H39_RS22150,A8H39_22130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61182152,A8H39_RS22155,A8H39_RS22155,A8H39_22135,-,-,-,MarR family transcriptional regulator,protein-coding,-,-,-,MarR family transcriptional regulator,20201228,-
134537,61182153,A8H39_RS22160,A8H39_RS22160,A8H39_22140,-,-,-,DHA2 family efflux MFS transporter permease subunit,protein-coding,-,-,-,DHA2 family efflux MFS transporter permease subunit,20210417,-
134537,61182154,A8H39_RS22165,A8H39_RS22165,A8H39_22145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61182155,A8H39_RS22170,A8H39_RS22170,A8H39_22150,-,-,-,glutamate--cysteine ligase,protein-coding,-,-,-,glutamate--cysteine ligase,20201228,-
134537,61182156,A8H39_RS22175,A8H39_RS22175,A8H39_22155,-,-,-,DNA-3-methyladenine glycosylase 2 family protein,protein-coding,-,-,-,DNA-3-methyladenine glycosylase 2 family protein,20201230,-
134537,61182157,ada,A8H39_RS22180,A8H39_22160,-,-,-,bifunctional DNA-binding transcriptional regulator/O6-methylguanine-DNA methyltransferase Ada,protein-coding,-,-,-,bifunctional DNA-binding transcriptional regulator/O6-methylguanine-DNA methyltransferase Ada,20201228,-
134537,61182158,A8H39_RS22185,A8H39_RS22185,A8H39_22165,-,-,-,VOC family protein,protein-coding,-,-,-,VOC family protein,20210417,-
134537,61182159,A8H39_RS22190,A8H39_RS22190,A8H39_22170,-,-,-,YaeQ family protein,protein-coding,-,-,-,YaeQ family protein,20201228,-
134537,61182160,A8H39_RS22195,A8H39_RS22195,A8H39_22175,-,-,-,LysR family transcriptional regulator,protein-coding,-,-,-,LysR family transcriptional regulator,20201230,-
134537,61182161,A8H39_RS22200,A8H39_RS22200,A8H39_22180,-,-,-,aldehyde dehydrogenase family protein,protein-coding,-,-,-,aldehyde dehydrogenase family protein,20201228,-
134537,61182162,A8H39_RS22205,A8H39_RS22205,A8H39_22185,-,-,-,arabinose ABC transporter substrate-binding protein,protein-coding,-,-,-,arabinose ABC transporter substrate-binding protein,20201228,-
134537,61182163,araG,A8H39_RS22210,A8H39_22190,-,-,-,L-arabinose ABC transporter ATP-binding protein AraG,protein-coding,-,-,-,L-arabinose ABC transporter ATP-binding protein AraG,20201228,-
134537,61182164,araH,A8H39_RS22215,A8H39_22195,-,-,-,L-arabinose ABC transporter permease AraH,protein-coding,-,-,-,L-arabinose ABC transporter permease AraH,20201228,-
134537,61182165,A8H39_RS22220,A8H39_RS22220,A8H39_22200,-,-,-,dihydroxy-acid dehydratase,protein-coding,-,-,-,dihydroxy-acid dehydratase,20201228,-
134537,61182166,A8H39_RS22225,A8H39_RS22225,A8H39_22205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201230,-
134537,61182167,speG,A8H39_RS22230,A8H39_22210,-,-,-,spermidine N1-acetyltransferase,protein-coding,-,-,-,spermidine N1-acetyltransferase,20210417,-
134537,61182168,A8H39_RS22240,A8H39_RS22240,A8H39_22220,-,-,-,HIT family protein,protein-coding,-,-,-,HIT family protein,20201228,-
134537,61182169,A8H39_RS22245,A8H39_RS22245,A8H39_22225,-,-,-,diguanylate cyclase,protein-coding,-,-,-,diguanylate cyclase,20201228,-
134537,61182170,A8H39_RS22250,A8H39_RS22250,A8H39_22230,-,-,-,chemotaxis response regulator protein-glutamate methylesterase,protein-coding,-,-,-,chemotaxis response regulator protein-glutamate methylesterase,20201228,-
134537,61182171,A8H39_RS22255,A8H39_RS22255,A8H39_22235,-,-,-,hybrid sensor histidine kinase/response regulator,protein-coding,-,-,-,hybrid sensor histidine kinase/response regulator,20201228,-
134537,61182172,A8H39_RS22260,A8H39_RS22260,A8H39_22240,-,-,-,chemotaxis protein CheW,protein-coding,-,-,-,chemotaxis protein CheW,20201228,-
134537,61182173,A8H39_RS22265,A8H39_RS22265,A8H39_22245,-,-,-,chemotaxis protein CheR,protein-coding,-,-,-,chemotaxis protein CheR,20201228,-
134537,61182174,A8H39_RS22270,A8H39_RS22270,A8H39_22250,-,-,-,chemotaxis protein CheW,protein-coding,-,-,-,chemotaxis protein CheW,20201228,-
134537,61182175,A8H39_RS22275,A8H39_RS22275,A8H39_22255,-,-,-,MCP four helix bundle domain-containing protein,protein-coding,-,-,-,MCP four helix bundle domain-containing protein,20210417,-
134537,61182176,A8H39_RS22280,A8H39_RS22280,A8H39_22260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201230,-
134537,61182177,A8H39_RS22285,A8H39_RS22285,A8H39_22265,-,-,-,tyrosine-type recombinase/integrase,protein-coding,-,-,-,tyrosine-type recombinase/integrase,20201228,-
134537,61182178,mnmE,A8H39_RS22290,A8H39_22270,-,-,-,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,protein-coding,-,-,-,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,20201228,-
134537,61182179,A8H39_RS22295,A8H39_RS22295,A8H39_22275,-,-,-,pseudo,pseudo,-,-,-,-,20201226,-
134537,61182180,yidC,A8H39_RS22300,A8H39_22280,-,-,-,membrane protein insertase YidC,protein-coding,-,-,-,membrane protein insertase YidC,20201228,-
134537,61182181,yidD,A8H39_RS22305,A8H39_22285,-,-,-,membrane protein insertion efficiency factor YidD,protein-coding,-,-,-,membrane protein insertion efficiency factor YidD,20201230,-
134537,61182182,rnpA,A8H39_RS22310,A8H39_22290,-,-,-,ribonuclease P protein component,protein-coding,-,-,-,ribonuclease P protein component,20210424,-
134537,61182183,rpmH,A8H39_RS22315,A8H39_22295,-,-,-,50S ribosomal protein L34,protein-coding,-,-,-,50S ribosomal protein L34,20201230,-
134537,61182184,dnaA,A8H39_RS22320,A8H39_22300,-,-,-,chromosomal replication initiator protein DnaA,protein-coding,-,-,-,chromosomal replication initiator protein DnaA,20210424,-
134537,61182185,A8H39_RS22325,A8H39_RS22325,A8H39_22305,-,-,-,DNA polymerase III subunit beta,protein-coding,-,-,-,DNA polymerase III subunit beta,20201230,-
134537,61182186,gyrB,A8H39_RS22330,A8H39_22310,-,-,-,DNA topoisomerase (ATP-hydrolyzing) subunit B,protein-coding,-,-,-,DNA topoisomerase (ATP-hydrolyzing) subunit B,20201228,-
134537,61182187,A8H39_RS22335,A8H39_RS22335,A8H39_22315,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61182188,dcm,A8H39_RS22345,A8H39_22325,-,-,-,DNA (cytosine-5-)-methyltransferase,protein-coding,-,-,-,DNA (cytosine-5-)-methyltransferase,20201228,-
134537,61182189,A8H39_RS22350,A8H39_RS22350,A8H39_22330,-,-,-,Eco29kI family restriction endonuclease,protein-coding,-,-,-,Eco29kI family restriction endonuclease,20201226,-
134537,61182190,vsr,A8H39_RS22355,A8H39_22335,-,-,-,DNA mismatch endonuclease Vsr,protein-coding,-,-,-,DNA mismatch endonuclease Vsr,20201228,-
134537,61182191,A8H39_RS22360,A8H39_RS22360,A8H39_22340,-,-,-,Eco29kI family restriction endonuclease,protein-coding,-,-,-,Eco29kI family restriction endonuclease,20201228,-
134537,61182192,A8H39_RS22365,A8H39_RS22365,A8H39_22345,-,-,-,type I toxin-antitoxin system SymE family toxin,protein-coding,-,-,-,type I toxin-antitoxin system SymE family toxin,20201228,-
134537,61182193,A8H39_RS22370,A8H39_RS22370,A8H39_22350,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61182194,A8H39_RS22375,A8H39_RS22375,A8H39_22355,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61182195,A8H39_RS22380,A8H39_RS22380,A8H39_22360,-,-,-,pseudo,pseudo,-,-,-,-,20201226,-
134537,61182196,A8H39_RS22385,A8H39_RS22385,A8H39_22365,-,-,-,PAAR domain-containing protein,protein-coding,-,-,-,PAAR domain-containing protein,20201228,-
134537,61182197,A8H39_RS22390,A8H39_RS22390,A8H39_22370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
134537,61182198,A8H39_RS22395,A8H39_RS22395,A8H39_22375,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61182199,A8H39_RS22400,A8H39_RS22400,A8H39_22380,-,-,-,alpha/beta hydrolase,protein-coding,-,-,-,alpha/beta hydrolase,20201228,-
134537,61182200,A8H39_RS22405,A8H39_RS22405,A8H39_22385,-,-,-,type VI secretion system tip protein VgrG,protein-coding,-,-,-,type VI secretion system tip protein VgrG,20201228,-
134537,61182201,A8H39_RS22410,A8H39_RS22410,A8H39_22390,-,-,-,phage late control D family protein,protein-coding,-,-,-,phage late control D family protein,20201228,-
134537,61182202,A8H39_RS22415,A8H39_RS22415,A8H39_22395,-,-,-,nucleotide pyrophosphohydrolase,protein-coding,-,-,-,nucleotide pyrophosphohydrolase,20201228,-
134537,61182203,A8H39_RS22420,A8H39_RS22420,A8H39_22400,-,-,-,type VI secretion system tip protein VgrG,protein-coding,-,-,-,type VI secretion system tip protein VgrG,20201228,-
134537,61182204,A8H39_RS22425,A8H39_RS22425,A8H39_22405,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201228,-
134537,61182205,A8H39_RS22430,A8H39_RS22430,A8H39_22410,-,-,-,tetratricopeptide repeat protein,protein-coding,-,-,-,tetratricopeptide repeat protein,20201226,-
134537,61182206,A8H39_RS22435,A8H39_RS22435,A8H39_22415,-,-,-,YdcF family protein,protein-coding,-,-,-,YdcF family protein,20201228,-
134537,61182207,A8H39_RS22440,A8H39_RS22440,A8H39_22420,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61182208,A8H39_RS22445,A8H39_RS22445,A8H39_22425,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20201228,-
134537,61182209,A8H39_RS22450,A8H39_RS22450,A8H39_22430,-,-,-,PAAR domain-containing protein,protein-coding,-,-,-,PAAR domain-containing protein,20201228,-
134537,61182210,A8H39_RS22455,A8H39_RS22455,A8H39_22435,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61182211,A8H39_RS22460,A8H39_RS22460,A8H39_22440,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201228,-
134537,61182212,A8H39_RS22465,A8H39_RS22465,A8H39_22445,-,-,-,type VI secretion system tip protein VgrG,protein-coding,-,-,-,type VI secretion system tip protein VgrG,20201228,-
134537,61182213,A8H39_RS22470,A8H39_RS22470,A8H39_22450,-,-,-,RNA-directed DNA polymerase,protein-coding,-,-,-,RNA-directed DNA polymerase,20201228,-
134537,61182214,A8H39_RS22475,A8H39_RS22475,A8H39_22455,-,-,-,AraC family transcriptional regulator,protein-coding,-,-,-,AraC family transcriptional regulator,20201230,-
134537,61182215,eat,A8H39_RS22480,A8H39_22460,-,-,-,ethanolamine permease,protein-coding,-,-,-,ethanolamine permease,20201228,-
134537,61182216,A8H39_RS22485,A8H39_RS22485,A8H39_22465,-,-,-,ethanolamine ammonia-lyase subunit EutB,protein-coding,-,-,-,ethanolamine ammonia-lyase subunit EutB,20201228,-
134537,61182217,eutC,A8H39_RS22490,A8H39_22470,-,-,-,ethanolamine ammonia-lyase subunit EutC,protein-coding,-,-,-,ethanolamine ammonia-lyase subunit EutC,20201228,-
134537,61182218,A8H39_RS22495,A8H39_RS22495,A8H39_22475,-,-,-,DUF779 domain-containing protein,protein-coding,-,-,-,DUF779 domain-containing protein,20201228,-
134537,61182219,A8H39_RS22500,A8H39_RS22500,A8H39_22480,-,-,-,aldehyde dehydrogenase family protein,protein-coding,-,-,-,aldehyde dehydrogenase family protein,20201230,-
134537,61182220,A8H39_RS22505,A8H39_RS22505,A8H39_22485,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201228,-
134537,61182221,A8H39_RS22510,A8H39_RS22510,A8H39_22490,-,-,-,heavy metal translocating P-type ATPase,protein-coding,-,-,-,heavy metal translocating P-type ATPase,20201228,-
134537,61182222,cadR,A8H39_RS22515,A8H39_22495,-,-,-,Cd(II)/Pb(II)-responsive transcriptional regulator,protein-coding,-,-,-,Cd(II)/Pb(II)-responsive transcriptional regulator,20201230,-
134537,61182223,A8H39_RS22520,A8H39_RS22520,A8H39_22500,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201230,-
134537,61182224,dbpA,A8H39_RS22525,A8H39_22505,-,-,-,ATP-dependent RNA helicase DbpA,protein-coding,-,-,-,ATP-dependent RNA helicase DbpA,20201230,-
134537,61182225,A8H39_RS22530,A8H39_RS22530,A8H39_22510,-,-,-,pyridoxal phosphate-dependent aminotransferase,protein-coding,-,-,-,pyridoxal phosphate-dependent aminotransferase,20201228,-
134537,61182226,A8H39_RS22535,A8H39_RS22535,A8H39_22515,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20201230,-
134537,61182227,A8H39_RS22540,A8H39_RS22540,A8H39_22520,-,-,-,FAD-dependent monooxygenase,protein-coding,-,-,-,FAD-dependent monooxygenase,20201228,-
134537,61182228,A8H39_RS22545,A8H39_RS22545,A8H39_22525,-,-,-,PadR family transcriptional regulator,protein-coding,-,-,-,PadR family transcriptional regulator,20201228,-
134537,61182229,A8H39_RS22550,A8H39_RS22550,A8H39_22530,-,-,-,AraC family transcriptional regulator,protein-coding,-,-,-,AraC family transcriptional regulator,20201228,-
134537,61182230,A8H39_RS22555,A8H39_RS22555,A8H39_22535,-,-,-,LysE family translocator,protein-coding,-,-,-,LysE family translocator,20201228,-
134537,61182231,A8H39_RS22560,A8H39_RS22560,A8H39_22540,-,-,-,UPF0149 family protein,protein-coding,-,-,-,UPF0149 family protein,20201228,-
134537,61182232,A8H39_RS22565,A8H39_RS22565,A8H39_22545,-,-,-,tRNA,tRNA,-,-,-,-,20201226,-
134537,61182233,A8H39_RS22570,A8H39_RS22570,A8H39_22550,-,-,-,PaaI family thioesterase,protein-coding,-,-,-,PaaI family thioesterase,20201230,-
134537,61182234,A8H39_RS22575,A8H39_RS22575,A8H39_22555,-,-,-,patatin-like phospholipase family protein,protein-coding,-,-,-,patatin-like phospholipase family protein,20201228,-
134537,61182235,A8H39_RS22580,A8H39_RS22580,A8H39_22560,-,-,-,D-2-hydroxyacid dehydrogenase family protein,protein-coding,-,-,-,D-2-hydroxyacid dehydrogenase family protein,20201230,-
134537,61182236,A8H39_RS22585,A8H39_RS22585,A8H39_22565,-,-,-,phosphoenolpyruvate carboxykinase (GTP),protein-coding,-,-,-,phosphoenolpyruvate carboxykinase (GTP),20201228,-
134537,61182237,A8H39_RS22590,A8H39_RS22590,A8H39_22570,-,-,-,LysR family transcriptional regulator,protein-coding,-,-,-,LysR family transcriptional regulator,20210424,-
134537,61182238,A8H39_RS22595,A8H39_RS22595,A8H39_22575,-,-,-,DNA topoisomerase III,protein-coding,-,-,-,DNA topoisomerase III,20201230,-
134537,61182239,A8H39_RS22600,A8H39_RS22600,A8H39_22580,-,-,-,thioredoxin family protein,protein-coding,-,-,-,thioredoxin family protein,20201230,-
134537,61182240,dprA,A8H39_RS22605,A8H39_22585,-,-,-,DNA-protecting protein DprA,protein-coding,-,-,-,DNA-protecting protein DprA,20201228,-
134537,61182241,def,A8H39_RS22610,A8H39_22590,-,-,-,peptide deformylase,protein-coding,-,-,-,peptide deformylase,20201230,-
134537,61182242,A8H39_RS22615,A8H39_RS22615,A8H39_22595,-,-,-,methionyl-tRNA formyltransferase,protein-coding,-,-,-,methionyl-tRNA formyltransferase,20201228,-
134537,61182243,A8H39_RS22620,A8H39_RS22620,A8H39_22600,-,-,-,LysE family translocator,protein-coding,-,-,-,LysE family translocator,20201230,-
134537,61182244,htpX,A8H39_RS22625,A8H39_22605,-,-,-,zinc metalloprotease HtpX,protein-coding,-,-,-,zinc metalloprotease HtpX,20210424,-
134537,61182245,rsmB,A8H39_RS22630,A8H39_22610,-,-,-,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,protein-coding,-,-,-,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,20201228,-
134537,61182246,A8H39_RS22635,A8H39_RS22635,A8H39_22615,-,-,-,DUF4390 domain-containing protein,protein-coding,-,-,-,DUF4390 domain-containing protein,20210424,-
134537,61182247,A8H39_RS22640,A8H39_RS22640,A8H39_22620,-,-,-,PAS domain-containing sensor histidine kinase,protein-coding,-,-,-,PAS domain-containing sensor histidine kinase,20201228,-
134537,61182248,A8H39_RS22645,A8H39_RS22645,A8H39_22625,-,-,-,response regulator transcription factor EsaR,protein-coding,-,-,-,response regulator transcription factor EsaR,20201228,-
134537,61182249,A8H39_RS22650,A8H39_RS22650,A8H39_22630,-,-,-,tRNA,tRNA,-,-,-,-,20201226,-
134537,61182250,queC,A8H39_RS22660,A8H39_22640,-,-,-,7-cyano-7-deazaguanine synthase QueC,protein-coding,-,-,-,7-cyano-7-deazaguanine synthase QueC,20201228,-
134537,61182251,queE,A8H39_RS22665,A8H39_22645,-,-,-,7-carboxy-7-deazaguanine synthase,protein-coding,-,-,-,7-carboxy-7-deazaguanine synthase,20201230,-
134537,61182252,queD,A8H39_RS22670,A8H39_22650,-,-,-,6-carboxytetrahydropterin synthase QueD,protein-coding,-,-,-,6-carboxytetrahydropterin synthase QueD,20210417,-
134537,61182253,A8H39_RS22675,A8H39_RS22675,A8H39_22655,-,-,-,2-dehydro-3-deoxyglucarate aldolase,protein-coding,-,-,-,2-dehydro-3-deoxyglucarate aldolase,20201228,-
134537,61182254,A8H39_RS22680,A8H39_RS22680,A8H39_22660,-,-,-,sel1 repeat family protein,protein-coding,-,-,-,sel1 repeat family protein,20201228,-
134537,61182255,rodA,A8H39_RS22685,A8H39_22665,-,-,-,rod shape-determining protein RodA,protein-coding,-,-,-,rod shape-determining protein RodA,20201228,-
134537,61182256,mrdA,A8H39_RS22690,A8H39_22670,-,-,-,penicillin-binding protein 2,protein-coding,-,-,-,penicillin-binding protein 2,20201228,-
134537,61182257,mreD,A8H39_RS22695,A8H39_22675,-,-,-,rod shape-determining protein MreD,protein-coding,-,-,-,rod shape-determining protein MreD,20201230,-
134537,61182258,mreC,A8H39_RS22700,A8H39_22680,-,-,-,rod shape-determining protein MreC,protein-coding,-,-,-,rod shape-determining protein MreC,20201228,-
