#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
29519,3293299,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Borrelia garinii; Borrelia genomic group 20047.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210405,-
29519,64198186,DB281_RS00225,DB281_RS00225,DB281_00225,-,-,-,ribonuclease HII,protein-coding,-,-,-,ribonuclease HII,20210423,-
29519,64198187,DB281_RS00230,DB281_RS00230,DB281_00230,-,-,-,DUF3276 family protein,protein-coding,-,-,-,DUF3276 family protein,20210423,-
29519,64198188,DB281_RS00235,DB281_RS00235,DB281_00235,-,-,-,tRNA,tRNA,-,-,-,-,20210422,-
29519,64198189,ssrA,DB281_RS00240,DB281_00240,-,-,-,miscRNA,miscRNA,-,-,-,-,20210422,-
29519,64198190,DB281_RS00245,DB281_RS00245,DB281_00245,-,-,-,queuosine precursor transporter,protein-coding,-,-,-,queuosine precursor transporter,20210423,-
29519,64198191,DB281_RS00250,DB281_RS00250,DB281_00250,-,-,-,queuosine precursor transporter,protein-coding,-,-,-,queuosine precursor transporter,20210423,-
29519,64198192,DB281_RS00255,DB281_RS00255,DB281_00255,-,-,-,RNA methyltransferase,protein-coding,-,-,-,RNA methyltransferase,20210423,-
29519,64198193,ung,DB281_RS00260,DB281_00260,-,-,-,uracil-DNA glycosylase,protein-coding,-,-,-,uracil-DNA glycosylase,20210423,-
29519,64198194,secG,DB281_RS00265,DB281_00265,-,-,-,preprotein translocase subunit SecG,protein-coding,-,-,-,preprotein translocase subunit SecG,20210422,-
29519,64198195,DB281_RS00270,DB281_RS00270,DB281_00270,-,-,-,triose-phosphate isomerase,protein-coding,-,-,-,triose-phosphate isomerase,20210423,-
29519,64198196,DB281_RS00275,DB281_RS00275,DB281_00275,-,-,-,phosphoglycerate kinase,protein-coding,-,-,-,phosphoglycerate kinase,20210423,-
29519,64198197,gap,DB281_RS00280,DB281_00280,-,-,-,type I glyceraldehyde-3-phosphate dehydrogenase,protein-coding,-,-,-,type I glyceraldehyde-3-phosphate dehydrogenase,20210423,-
29519,64198198,DB281_RS00285,DB281_RS00285,DB281_00285,-,-,-,tetratricopeptide repeat protein,protein-coding,-,-,-,tetratricopeptide repeat protein,20210423,-
29519,64198199,DB281_RS00290,DB281_RS00290,DB281_00290,-,-,-,HlyC/CorC family transporter,protein-coding,-,-,-,HlyC/CorC family transporter,20210423,-
29519,64198200,ybeY,DB281_RS00295,DB281_00295,-,-,-,rRNA maturation RNase YbeY,protein-coding,-,-,-,rRNA maturation RNase YbeY,20210423,-
29519,64198201,trxA,DB281_RS00300,DB281_00300,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210423,-
29519,64198202,DB281_RS00305,DB281_RS00305,DB281_00305,-,-,-,16S rRNA (uracil(1498)-N(3))-methyltransferase,protein-coding,-,-,-,16S rRNA (uracil(1498)-N(3))-methyltransferase,20210423,-
29519,64198203,DB281_RS00310,DB281_RS00310,DB281_00310,-,-,-,PASTA domain-containing protein,protein-coding,-,-,-,PASTA domain-containing protein,20210423,-
29519,64198204,fmt,DB281_RS00315,DB281_00315,-,-,-,methionyl-tRNA formyltransferase,protein-coding,-,-,-,methionyl-tRNA formyltransferase,20210423,-
29519,64198205,def,DB281_RS00320,DB281_00320,-,-,-,peptide deformylase,protein-coding,-,-,-,peptide deformylase,20210423,-
29519,64198206,DB281_RS00325,DB281_RS00325,DB281_00325,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198207,DB281_RS00330,DB281_RS00330,DB281_00330,-,-,-,aminopeptidase P family protein,protein-coding,-,-,-,aminopeptidase P family protein,20210423,-
29519,64198208,DB281_RS00335,DB281_RS00335,DB281_00335,-,-,-,Cof-type HAD-IIB family hydrolase,protein-coding,-,-,-,Cof-type HAD-IIB family hydrolase,20210423,-
29519,64198209,DB281_RS00340,DB281_RS00340,DB281_00340,-,-,-,aminopeptidase,protein-coding,-,-,-,aminopeptidase,20210423,-
29519,64198210,DB281_RS00345,DB281_RS00345,DB281_00345,-,-,-,divergent PAP2 family protein,protein-coding,-,-,-,divergent PAP2 family protein,20210423,-
29519,64198211,DB281_RS00350,DB281_RS00350,DB281_00350,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198212,DB281_RS00355,DB281_RS00355,DB281_00355,-,-,-,RnfABCDGE type electron transport complex subunit D,protein-coding,-,-,-,RnfABCDGE type electron transport complex subunit D,20210423,-
29519,64198213,DB281_RS00360,DB281_RS00360,DB281_00360,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198214,prfB,DB281_RS00365,DB281_00365,-,-,-,peptide chain release factor 2,protein-coding,-,-,-,peptide chain release factor 2,20210423,-
29519,64198215,DB281_RS00370,DB281_RS00370,DB281_00370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198216,ftsY,DB281_RS00375,DB281_00375,-,-,-,signal recognition particle-docking protein FtsY,protein-coding,-,-,-,signal recognition particle-docking protein FtsY,20210423,-
29519,64198217,DB281_RS00380,DB281_RS00380,DB281_00380,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198218,DB281_RS00385,DB281_RS00385,DB281_00385,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210423,-
29519,64198219,DB281_RS00390,DB281_RS00390,DB281_00390,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210423,-
29519,64198220,DB281_RS00395,DB281_RS00395,DB281_00395,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210423,-
29519,64198221,DB281_RS00400,DB281_RS00400,DB281_00400,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198222,DB281_RS00405,DB281_RS00405,DB281_00405,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198223,DB281_RS00410,DB281_RS00410,DB281_00410,-,-,-,cysteine desulfurase,protein-coding,-,-,-,cysteine desulfurase,20210423,-
29519,64198224,DB281_RS00415,DB281_RS00415,DB281_00415,-,-,-,iron-sulfur cluster scaffold-like protein,protein-coding,-,-,-,iron-sulfur cluster scaffold-like protein,20210423,-
29519,64198225,DB281_RS00420,DB281_RS00420,DB281_00420,-,-,-,YifB family Mg chelatase-like AAA ATPase,protein-coding,-,-,-,YifB family Mg chelatase-like AAA ATPase,20210423,-
29519,64198226,DB281_RS00425,DB281_RS00425,DB281_00425,-,-,-,L-lactate dehydrogenase,protein-coding,-,-,-,L-lactate dehydrogenase,20210423,-
29519,64198227,lepA,DB281_RS00430,DB281_00430,-,-,-,translation elongation factor 4,protein-coding,-,-,-,translation elongation factor 4,20210423,-
29519,64198228,DB281_RS00435,DB281_RS00435,DB281_00435,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198229,DB281_RS00440,DB281_RS00440,DB281_00440,-,-,-,ATP synthase subunit K,protein-coding,-,-,-,ATP synthase subunit K,20210423,-
29519,64198230,DB281_RS00445,DB281_RS00445,DB281_00445,-,-,-,V-type ATP synthase subunit I,protein-coding,-,-,-,V-type ATP synthase subunit I,20210423,-
29519,64198231,DB281_RS00450,DB281_RS00450,DB281_00450,-,-,-,V-type ATP synthase subunit D,protein-coding,-,-,-,V-type ATP synthase subunit D,20210423,-
29519,64198232,DB281_RS00455,DB281_RS00455,DB281_00455,-,-,-,V-type ATP synthase subunit B,protein-coding,-,-,-,V-type ATP synthase subunit B,20210423,-
29519,64198233,DB281_RS00460,DB281_RS00460,DB281_00460,-,-,-,V-type ATP synthase subunit A,protein-coding,-,-,-,V-type ATP synthase subunit A,20210423,-
29519,64198234,DB281_RS00465,DB281_RS00465,DB281_00465,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198235,DB281_RS00470,DB281_RS00470,DB281_00470,-,-,-,V-type ATP synthase subunit E,protein-coding,-,-,-,V-type ATP synthase subunit E,20210423,-
29519,64198236,DB281_RS00475,DB281_RS00475,DB281_00475,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198237,DB281_RS00480,DB281_RS00480,DB281_00480,-,-,-,endonuclease MutS2,protein-coding,-,-,-,endonuclease MutS2,20210423,-
29519,64198238,rsgA,DB281_RS00485,DB281_00485,-,-,-,ribosome small subunit-dependent GTPase A,protein-coding,-,-,-,ribosome small subunit-dependent GTPase A,20210423,-
29519,64198239,murI,DB281_RS00490,DB281_00490,-,-,-,glutamate racemase,protein-coding,-,-,-,glutamate racemase,20210423,-
29519,64198240,asnS,DB281_RS00495,DB281_00495,-,-,-,asparagine--tRNA ligase,protein-coding,-,-,-,asparagine--tRNA ligase,20210423,-
29519,64198241,DB281_RS00500,DB281_RS00500,DB281_00500,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198242,DB281_RS00505,DB281_RS00505,DB281_00505,-,-,-,phosphoribosyltransferase,protein-coding,-,-,-,phosphoribosyltransferase,20210423,-
29519,64198243,DB281_RS00510,DB281_RS00510,DB281_00510,-,-,-,DegQ family serine endoprotease,protein-coding,-,-,-,DegQ family serine endoprotease,20210423,-
29519,64198244,map,DB281_RS00515,DB281_00515,-,-,-,type I methionyl aminopeptidase,protein-coding,-,-,-,type I methionyl aminopeptidase,20210423,-
29519,64198245,DB281_RS00520,DB281_RS00520,DB281_00520,-,-,-,tetratricopeptide repeat protein,protein-coding,-,-,-,tetratricopeptide repeat protein,20210423,-
29519,64198246,nusB,DB281_RS00525,DB281_00525,-,-,-,transcription antitermination factor NusB,protein-coding,-,-,-,transcription antitermination factor NusB,20210423,-
29519,64198247,DB281_RS00530,DB281_RS00530,DB281_00530,-,-,-,peptidylprolyl isomerase,protein-coding,-,-,-,peptidylprolyl isomerase,20210423,-
29519,64198248,DB281_RS00535,DB281_RS00535,DB281_00535,-,-,-,acetyl-CoA C-acyltransferase,protein-coding,-,-,-,acetyl-CoA C-acyltransferase,20210423,-
29519,64198249,DB281_RS00540,DB281_RS00540,DB281_00540,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198250,dnaB,DB281_RS00545,DB281_00545,-,-,-,replicative DNA helicase,protein-coding,-,-,-,replicative DNA helicase,20210423,-
29519,64198251,DB281_RS00550,DB281_RS00550,DB281_00550,-,-,-,50S ribosomal protein L9,protein-coding,-,-,-,50S ribosomal protein L9,20210423,-
29519,64198252,rpsR,DB281_RS00555,DB281_00555,-,-,-,30S ribosomal protein S18,protein-coding,-,-,-,30S ribosomal protein S18,20210423,-
29519,64198253,ssb,DB281_RS00560,DB281_00560,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210423,-
29519,64198254,DB281_RS00565,DB281_RS00565,DB281_00565,-,-,-,30S ribosomal protein S6,protein-coding,-,-,-,30S ribosomal protein S6,20210423,-
29519,64198255,DB281_RS00570,DB281_RS00570,DB281_00570,-,-,-,PTS transporter subunit EIIC,protein-coding,-,-,-,PTS transporter subunit EIIC,20210423,-
29519,64198256,DB281_RS00575,DB281_RS00575,DB281_00575,-,-,-,hemolysin III family protein,protein-coding,-,-,-,hemolysin III family protein,20210423,-
29519,64198257,rseP,DB281_RS00580,DB281_00580,-,-,-,RIP metalloprotease RseP,protein-coding,-,-,-,RIP metalloprotease RseP,20210423,-
29519,64198258,DB281_RS00585,DB281_RS00585,DB281_00585,-,-,-,phosphatidate cytidylyltransferase,protein-coding,-,-,-,phosphatidate cytidylyltransferase,20210423,-
29519,64198259,uppS,DB281_RS00590,DB281_00590,-,-,-,"di-trans,poly-cis-decaprenylcistransferase",protein-coding,-,-,-,"di-trans,poly-cis-decaprenylcistransferase",20210423,-
29519,64198260,frr,DB281_RS00595,DB281_00595,-,-,-,ribosome recycling factor,protein-coding,-,-,-,ribosome recycling factor,20210423,-
29519,64198261,tsf,DB281_RS00600,DB281_00600,-,-,-,translation elongation factor Ts,protein-coding,-,-,-,translation elongation factor Ts,20210423,-
29519,64198262,rpsB,DB281_RS00605,DB281_00605,-,-,-,30S ribosomal protein S2,protein-coding,-,-,-,30S ribosomal protein S2,20210423,-
29519,64198263,DB281_RS00610,DB281_RS00610,DB281_00610,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198264,DB281_RS00615,DB281_RS00615,DB281_00615,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198265,DB281_RS00620,DB281_RS00620,DB281_00620,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,64198266,DB281_RS00625,DB281_RS00625,DB281_00625,-,-,-,30S ribosomal protein S1,protein-coding,-,-,-,30S ribosomal protein S1,20210423,-
29519,64198267,cmk,DB281_RS00630,DB281_00630,-,-,-,(d)CMP kinase,protein-coding,-,-,-,(d)CMP kinase,20210423,-
29519,64198268,DB281_RS00635,DB281_RS00635,DB281_00635,-,-,-,rRNA pseudouridine synthase,protein-coding,-,-,-,rRNA pseudouridine synthase,20210423,-
29519,64198269,DB281_RS00640,DB281_RS00640,DB281_00640,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198270,recA,DB281_RS00645,DB281_00645,-,-,-,recombinase RecA,protein-coding,-,-,-,recombinase RecA,20210423,-
29519,64198271,greA,DB281_RS00650,DB281_00650,-,-,-,transcription elongation factor GreA,protein-coding,-,-,-,transcription elongation factor GreA,20210423,-
29519,64198272,DB281_RS00655,DB281_RS00655,DB281_00655,-,-,-,tetratricopeptide repeat protein,protein-coding,-,-,-,tetratricopeptide repeat protein,20210423,-
29519,64198273,DB281_RS00660,DB281_RS00660,DB281_00660,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,64198274,DB281_RS00665,DB281_RS00665,DB281_00665,-,-,-,histidine--tRNA ligase,protein-coding,-,-,-,histidine--tRNA ligase,20210423,-
29519,64198275,DB281_RS00670,DB281_RS00670,DB281_00670,-,-,-,transpeptidase family protein,protein-coding,-,-,-,transpeptidase family protein,20210423,-
29519,64198276,DB281_RS00675,DB281_RS00675,DB281_00675,-,-,-,AMP-binding protein,protein-coding,-,-,-,AMP-binding protein,20210423,-
29519,64198277,DB281_RS00680,DB281_RS00680,DB281_00680,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198278,DB281_RS00685,DB281_RS00685,DB281_00685,-,-,-,efflux RND transporter permease subunit,protein-coding,-,-,-,efflux RND transporter permease subunit,20210423,-
29519,64198279,DB281_RS00690,DB281_RS00690,DB281_00690,-,-,-,efflux RND transporter periplasmic adaptor subunit,protein-coding,-,-,-,efflux RND transporter periplasmic adaptor subunit,20210423,-
29519,64198280,DB281_RS00695,DB281_RS00695,DB281_00695,-,-,-,TolC family protein,protein-coding,-,-,-,TolC family protein,20210423,-
29519,64198281,yidD,DB281_RS00700,DB281_00700,-,-,-,membrane protein insertion efficiency factor YidD,protein-coding,-,-,-,membrane protein insertion efficiency factor YidD,20210423,-
29519,64198282,DB281_RS00705,DB281_RS00705,DB281_00705,-,-,-,glycine betaine ABC transporter substrate-binding protein,protein-coding,-,-,-,glycine betaine ABC transporter substrate-binding protein,20210423,-
29519,64198283,DB281_RS00710,DB281_RS00710,DB281_00710,-,-,-,proline/glycine betaine ABC transporter permease,protein-coding,-,-,-,proline/glycine betaine ABC transporter permease,20210423,-
29519,64198284,DB281_RS00715,DB281_RS00715,DB281_00715,-,-,-,glycine betaine/L-proline ABC transporter ATP-binding protein,protein-coding,-,-,-,glycine betaine/L-proline ABC transporter ATP-binding protein,20210423,-
29519,64198285,flaB,DB281_RS00720,DB281_00720,-,-,-,flagellin FlaB,protein-coding,-,-,-,flagellin FlaB,20210423,-
29519,64198286,fliD,DB281_RS00725,DB281_00725,-,-,-,flagellar filament capping protein FliD,protein-coding,-,-,-,flagellar filament capping protein FliD,20210423,-
29519,64198287,nagA,DB281_RS00730,DB281_00730,-,-,-,N-acetylglucosamine-6-phosphate deacetylase,protein-coding,-,-,-,N-acetylglucosamine-6-phosphate deacetylase,20210423,-
29519,64198288,DB281_RS00735,DB281_RS00735,DB281_00735,-,-,-,glucosamine-6-phosphate deaminase,protein-coding,-,-,-,glucosamine-6-phosphate deaminase,20210423,-
29519,64198289,DB281_RS00740,DB281_RS00740,DB281_00740,-,-,-,superoxide dismutase,protein-coding,-,-,-,superoxide dismutase,20210423,-
29519,64198290,secA,DB281_RS00745,DB281_00745,-,-,-,preprotein translocase subunit SecA,protein-coding,-,-,-,preprotein translocase subunit SecA,20210423,-
29519,64198291,DB281_RS00750,DB281_RS00750,DB281_00750,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,64198292,DB281_RS00755,DB281_RS00755,DB281_00755,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,64198293,DB281_RS00760,DB281_RS00760,DB281_00760,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,64198294,DB281_RS00765,DB281_RS00765,DB281_00765,-,-,-,S2/P23 family protein,protein-coding,-,-,-,S2/P23 family protein,20210423,-
29519,64198295,DB281_RS00770,DB281_RS00770,DB281_00770,-,-,-,S2/P23 family protein,protein-coding,-,-,-,S2/P23 family protein,20210423,-
29519,64198296,alr,DB281_RS00775,DB281_00775,-,-,-,alanine racemase,protein-coding,-,-,-,alanine racemase,20210423,-
29519,64198297,DB281_RS00780,DB281_RS00780,DB281_00780,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198298,DB281_RS00785,DB281_RS00785,DB281_00785,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198299,DB281_RS00790,DB281_RS00790,DB281_00790,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198300,DB281_RS00795,DB281_RS00795,DB281_00795,-,-,-,calcium/sodium antiporter,protein-coding,-,-,-,calcium/sodium antiporter,20210423,-
29519,64198301,DB281_RS00800,DB281_RS00800,DB281_00800,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,64198302,malQ,DB281_RS00805,DB281_00805,-,-,-,4-alpha-glucanotransferase,protein-coding,-,-,-,4-alpha-glucanotransferase,20210423,-
29519,64198303,DB281_RS00810,DB281_RS00810,DB281_00810,-,-,-,OmpA family protein,protein-coding,-,-,-,OmpA family protein,20210423,-
29519,64198304,DB281_RS00815,DB281_RS00815,DB281_00815,-,-,-,TraR/DksA family transcriptional regulator,protein-coding,-,-,-,TraR/DksA family transcriptional regulator,20210423,-
29519,64198305,infA,DB281_RS00820,DB281_00820,-,-,-,translation initiation factor IF-1,protein-coding,-,-,-,translation initiation factor IF-1,20210423,-
29519,64198306,DB281_RS00825,DB281_RS00825,DB281_00825,-,-,-,BatD family protein,protein-coding,-,-,-,BatD family protein,20210423,-
29519,64198307,DB281_RS00830,DB281_RS00830,DB281_00830,-,-,-,tetratricopeptide repeat protein,protein-coding,-,-,-,tetratricopeptide repeat protein,20210423,-
29519,64198308,DB281_RS00835,DB281_RS00835,DB281_00835,-,-,-,VWA domain-containing protein,protein-coding,-,-,-,VWA domain-containing protein,20210423,-
29519,64198309,DB281_RS00840,DB281_RS00840,DB281_00840,-,-,-,VWA domain-containing protein,protein-coding,-,-,-,VWA domain-containing protein,20210423,-
29519,64198310,DB281_RS00845,DB281_RS00845,DB281_00845,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198311,DB281_RS00850,DB281_RS00850,DB281_00850,-,-,-,DUF58 domain-containing protein,protein-coding,-,-,-,DUF58 domain-containing protein,20210423,-
29519,64198312,DB281_RS00855,DB281_RS00855,DB281_00855,-,-,-,MoxR family ATPase,protein-coding,-,-,-,MoxR family ATPase,20210423,-
29519,64198313,rsmG,DB281_RS00860,DB281_00860,-,-,-,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG,protein-coding,-,-,-,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG,20210423,-
29519,64198314,mnmG,DB281_RS00865,DB281_00865,-,-,-,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,protein-coding,-,-,-,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,20210423,-
29519,64198315,mnmE,DB281_RS00870,DB281_00870,-,-,-,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,protein-coding,-,-,-,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,20210423,-
29519,64198316,DB281_RS00875,DB281_RS00875,DB281_00875,-,-,-,flagellar protein FlbF,protein-coding,-,-,-,flagellar protein FlbF,20210422,-
29519,64198317,flgK,DB281_RS00880,DB281_00880,-,-,-,flagellar hook-associated protein FlgK,protein-coding,-,-,-,flagellar hook-associated protein FlgK,20210423,-
29519,64198318,DB281_RS00885,DB281_RS00885,DB281_00885,-,-,-,flagellar hook-associated protein 3,protein-coding,-,-,-,flagellar hook-associated protein 3,20210423,-
29519,64198319,fliW,DB281_RS00890,DB281_00890,-,-,-,flagellar assembly protein FliW,protein-coding,-,-,-,flagellar assembly protein FliW,20210423,-
29519,64198320,csrA,DB281_RS00895,DB281_00895,-,-,-,carbon storage regulator CsrA,protein-coding,-,-,-,carbon storage regulator CsrA,20210423,-
29519,64198321,tsaB,DB281_RS00900,DB281_00900,-,-,-,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB,protein-coding,-,-,-,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB,20210423,-
29519,64198322,tsaE,DB281_RS00905,DB281_00905,-,-,-,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE,protein-coding,-,-,-,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE,20210423,-
29519,64198323,DB281_RS00910,DB281_RS00910,DB281_00910,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,64198324,rplT,DB281_RS00915,DB281_00915,-,-,-,50S ribosomal protein L20,protein-coding,-,-,-,50S ribosomal protein L20,20210423,-
29519,64198325,rpmI,DB281_RS00920,DB281_00920,-,-,-,50S ribosomal protein L35,protein-coding,-,-,-,50S ribosomal protein L35,20210423,-
29519,64198326,DB281_RS00925,DB281_RS00925,DB281_00925,-,-,-,translation initiation factor IF-3,protein-coding,-,-,-,translation initiation factor IF-3,20210423,-
29519,64198327,DB281_RS00930,DB281_RS00930,DB281_00930,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210423,-
29519,64198328,DB281_RS00935,DB281_RS00935,DB281_00935,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198329,DB281_RS00940,DB281_RS00940,DB281_00940,-,-,-,TatD family hydrolase,protein-coding,-,-,-,TatD family hydrolase,20210423,-
29519,64198330,DB281_RS00945,DB281_RS00945,DB281_00945,-,-,-,tetratricopeptide repeat protein,protein-coding,-,-,-,tetratricopeptide repeat protein,20210423,-
29519,64198331,prfA,DB281_RS00950,DB281_00950,-,-,-,peptide chain release factor 1,protein-coding,-,-,-,peptide chain release factor 1,20210423,-
29519,64198332,prmC,DB281_RS00955,DB281_00955,-,-,-,peptide chain release factor N(5)-glutamine methyltransferase,protein-coding,-,-,-,peptide chain release factor N(5)-glutamine methyltransferase,20210423,-
29519,64198333,spoT,DB281_RS00960,DB281_00960,-,-,-,"guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase",protein-coding,-,-,-,"guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase",20210423,-
29519,64198334,DB281_RS00965,DB281_RS00965,DB281_00965,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,64198335,DB281_RS00970,DB281_RS00970,DB281_00970,-,-,-,D-alanine--D-alanine ligase,protein-coding,-,-,-,D-alanine--D-alanine ligase,20210423,-
29519,64198336,DB281_RS00975,DB281_RS00975,DB281_00975,-,-,-,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",protein-coding,-,-,-,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",20210423,-
29519,64198337,DB281_RS00980,DB281_RS00980,DB281_00980,-,-,-,tRNA,tRNA,-,-,-,-,20210422,-
29519,64198338,DB281_RS00985,DB281_RS00985,DB281_00985,-,-,-,HlyC/CorC family transporter,protein-coding,-,-,-,HlyC/CorC family transporter,20210423,-
29519,64198339,hflK,DB281_RS00990,DB281_00990,-,-,-,FtsH protease activity modulator HflK,protein-coding,-,-,-,FtsH protease activity modulator HflK,20210423,-
29519,64198340,hflC,DB281_RS00995,DB281_00995,-,-,-,protease modulator HflC,protein-coding,-,-,-,protease modulator HflC,20210423,-
29519,64198341,DB281_RS01000,DB281_RS01000,DB281_01000,-,-,-,tRNA,tRNA,-,-,-,-,20210422,-
29519,64198342,DB281_RS01005,DB281_RS01005,DB281_01005,-,-,-,tRNA,tRNA,-,-,-,-,20210422,-
29519,64198343,DB281_RS01010,DB281_RS01010,DB281_01010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,64198344,rsmD,DB281_RS01015,DB281_01015,-,-,-,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,protein-coding,-,-,-,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,20210423,-
29519,64198345,DB281_RS01020,DB281_RS01020,DB281_01020,-,-,-,UTP--glucose-1-phosphate uridylyltransferase,protein-coding,-,-,-,UTP--glucose-1-phosphate uridylyltransferase,20210423,-
29519,64198346,DB281_RS01025,DB281_RS01025,DB281_01025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198347,DB281_RS01030,DB281_RS01030,DB281_01030,-,-,-,tetratricopeptide repeat protein,protein-coding,-,-,-,tetratricopeptide repeat protein,20210423,-
29519,64198348,DB281_RS01035,DB281_RS01035,DB281_01035,-,-,-,tetratricopeptide repeat protein,protein-coding,-,-,-,tetratricopeptide repeat protein,20210423,-
29519,64198349,mutL,DB281_RS01040,DB281_01040,-,-,-,DNA mismatch repair endonuclease MutL,protein-coding,-,-,-,DNA mismatch repair endonuclease MutL,20210423,-
29519,64198350,DB281_RS01045,DB281_RS01045,DB281_01045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,64198351,DB281_RS01050,DB281_RS01050,DB281_01050,-,-,-,tRNA,tRNA,-,-,-,-,20210422,-
29519,64198352,DB281_RS01055,DB281_RS01055,DB281_01055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198353,efp,DB281_RS01060,DB281_01060,-,-,-,elongation factor P,protein-coding,-,-,-,elongation factor P,20210423,-
29519,64198354,DB281_RS01065,DB281_RS01065,DB281_01065,-,-,-,extracellular solute-binding protein,protein-coding,-,-,-,extracellular solute-binding protein,20210423,-
29519,64198355,pstC,DB281_RS01070,DB281_01070,-,-,-,phosphate ABC transporter permease subunit PstC,protein-coding,-,-,-,phosphate ABC transporter permease subunit PstC,20210423,-
