#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1448312,37169529,BO86DRAFT_100071,BO86DRAFT_100071,-,-,Unknown,-,OPT superfamily oligopeptide transporter,protein-coding,-,-,-,OPT superfamily oligopeptide transporter,20200919,-
1448312,37176977,BO86DRAFT_395215,BO86DRAFT_395215,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37176978,BO86DRAFT_395222,BO86DRAFT_395222,-,-,Unknown,-,serine/threonine protein kinase,protein-coding,-,-,-,serine/threonine protein kinase,20200919,-
1448312,37176979,BO86DRAFT_395228,BO86DRAFT_395228,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37176980,BO86DRAFT_395230,BO86DRAFT_395230,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37176981,BO86DRAFT_395233,BO86DRAFT_395233,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37176982,BO86DRAFT_395244,BO86DRAFT_395244,-,-,Unknown,-,acetyl-CoA synthetase-like protein,protein-coding,-,-,-,acetyl-CoA synthetase-like protein,20200919,-
1448312,37176983,BO86DRAFT_395248,BO86DRAFT_395248,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37176984,BO86DRAFT_395250,BO86DRAFT_395250,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37176985,BO86DRAFT_395263,BO86DRAFT_395263,-,-,Unknown,-,CMAS-domain-containing protein,protein-coding,-,-,-,CMAS-domain-containing protein,20200919,-
1448312,37176986,BO86DRAFT_395266,BO86DRAFT_395266,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37176987,BO86DRAFT_395277,BO86DRAFT_395277,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37176988,BO86DRAFT_395278,BO86DRAFT_395278,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37176989,BO86DRAFT_395280,BO86DRAFT_395280,-,-,Unknown,-,putative subtilisin,protein-coding,-,-,-,putative subtilisin,20200919,-
1448312,37176990,BO86DRAFT_395283,BO86DRAFT_395283,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37176991,BO86DRAFT_395284,BO86DRAFT_395284,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37176992,BO86DRAFT_395289,BO86DRAFT_395289,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37176993,BO86DRAFT_395305,BO86DRAFT_395305,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37176994,BO86DRAFT_395310,BO86DRAFT_395310,-,-,Unknown,-,actin-like ATPase domain-containing protein,protein-coding,-,-,-,actin-like ATPase domain-containing protein,20200919,-
1448312,37176995,BO86DRAFT_395330,BO86DRAFT_395330,-,-,Unknown,-,Isochorismatase hydrolase,protein-coding,-,-,-,Isochorismatase hydrolase,20200919,-
1448312,37176996,BO86DRAFT_395334,BO86DRAFT_395334,-,-,Unknown,-,glycoside hydrolase,protein-coding,-,-,-,glycoside hydrolase,20200919,-
1448312,37176997,BO86DRAFT_395335,BO86DRAFT_395335,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37176998,BO86DRAFT_395339,BO86DRAFT_395339,-,-,Unknown,-,kinase-like protein,protein-coding,-,-,-,kinase-like protein,20200919,-
1448312,37176999,BO86DRAFT_395342,BO86DRAFT_395342,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177000,BO86DRAFT_395356,BO86DRAFT_395356,-,-,Unknown,-,serine/threonine-protein kinase ste20,protein-coding,-,-,-,serine/threonine-protein kinase ste20,20200919,-
1448312,37177001,BO86DRAFT_395358,BO86DRAFT_395358,-,-,Unknown,-,RNA binding effector protein Scp160,protein-coding,-,-,-,RNA binding effector protein Scp160,20200919,-
1448312,37177002,BO86DRAFT_395368,BO86DRAFT_395368,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177003,BO86DRAFT_395375,BO86DRAFT_395375,-,-,Unknown,-,UPF0145 domain protein,protein-coding,-,-,-,UPF0145 domain protein,20200919,-
1448312,37177004,BO86DRAFT_395398,BO86DRAFT_395398,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177005,BO86DRAFT_395426,BO86DRAFT_395426,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177006,BO86DRAFT_395429,BO86DRAFT_395429,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177007,BO86DRAFT_395430,BO86DRAFT_395430,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177008,BO86DRAFT_395431,BO86DRAFT_395431,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177009,BO86DRAFT_395437,BO86DRAFT_395437,-,-,Unknown,-,enolase 2-phosphoglycerate dehydratase,protein-coding,-,-,-,enolase 2-phosphoglycerate dehydratase,20200919,-
1448312,37177010,BO86DRAFT_395441,BO86DRAFT_395441,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177011,BO86DRAFT_395443,BO86DRAFT_395443,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177012,BO86DRAFT_395446,BO86DRAFT_395446,-,-,Unknown,-,glycosyl transferase family protein,protein-coding,-,-,-,glycosyl transferase family protein,20200919,-
1448312,37177013,BO86DRAFT_395456,BO86DRAFT_395456,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177014,BO86DRAFT_395457,BO86DRAFT_395457,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177015,BO86DRAFT_395468,BO86DRAFT_395468,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177016,BO86DRAFT_395478,BO86DRAFT_395478,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177017,BO86DRAFT_395490,BO86DRAFT_395490,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177018,BO86DRAFT_395495,BO86DRAFT_395495,-,-,Unknown,-,mediator of RNA polymerase II transcription subunit 7,protein-coding,-,-,-,mediator of RNA polymerase II transcription subunit 7,20200919,-
1448312,37177019,BO86DRAFT_395550,BO86DRAFT_395550,-,-,Unknown,-,zf-DHHC-domain-containing protein,protein-coding,-,-,-,zf-DHHC-domain-containing protein,20200919,-
1448312,37177020,BO86DRAFT_395563,BO86DRAFT_395563,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177021,BO86DRAFT_395575,BO86DRAFT_395575,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177022,BO86DRAFT_395578,BO86DRAFT_395578,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177023,BO86DRAFT_395580,BO86DRAFT_395580,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177024,BO86DRAFT_395581,BO86DRAFT_395581,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177025,BO86DRAFT_395583,BO86DRAFT_395583,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177026,BO86DRAFT_395615,BO86DRAFT_395615,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177027,BO86DRAFT_395621,BO86DRAFT_395621,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177028,BO86DRAFT_395623,BO86DRAFT_395623,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177029,BO86DRAFT_395624,BO86DRAFT_395624,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177030,BO86DRAFT_395625,BO86DRAFT_395625,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177031,BO86DRAFT_395630,BO86DRAFT_395630,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177032,BO86DRAFT_395631,BO86DRAFT_395631,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177033,BO86DRAFT_395664,BO86DRAFT_395664,-,-,Unknown,-,acid protease,protein-coding,-,-,-,acid protease,20200919,-
1448312,37177034,BO86DRAFT_395683,BO86DRAFT_395683,-,-,Unknown,-,alcohol dehydrogenase,protein-coding,-,-,-,alcohol dehydrogenase,20200919,-
1448312,37177035,BO86DRAFT_395686,BO86DRAFT_395686,-,-,Unknown,-,NADH:flavin oxidoreductase/NADH oxidase,protein-coding,-,-,-,NADH:flavin oxidoreductase/NADH oxidase,20200919,-
1448312,37177036,BO86DRAFT_395689,BO86DRAFT_395689,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177037,BO86DRAFT_395697,BO86DRAFT_395697,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177038,BO86DRAFT_395707,BO86DRAFT_395707,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177039,BO86DRAFT_395709,BO86DRAFT_395709,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177040,BO86DRAFT_395713,BO86DRAFT_395713,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177041,BO86DRAFT_395719,BO86DRAFT_395719,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177042,BO86DRAFT_395720,BO86DRAFT_395720,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177043,BO86DRAFT_395754,BO86DRAFT_395754,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177044,BO86DRAFT_395755,BO86DRAFT_395755,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177045,BO86DRAFT_395756,BO86DRAFT_395756,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177046,BO86DRAFT_395766,BO86DRAFT_395766,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20200919,-
1448312,37177047,BO86DRAFT_395773,BO86DRAFT_395773,-,-,Unknown,-,FabD/lysophospholipase-like protein,protein-coding,-,-,-,FabD/lysophospholipase-like protein,20200919,-
1448312,37177048,BO86DRAFT_395774,BO86DRAFT_395774,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177049,BO86DRAFT_395778,BO86DRAFT_395778,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177050,BO86DRAFT_395788,BO86DRAFT_395788,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177051,BO86DRAFT_395822,BO86DRAFT_395822,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177052,BO86DRAFT_395840,BO86DRAFT_395840,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177053,BO86DRAFT_395841,BO86DRAFT_395841,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177054,BO86DRAFT_395854,BO86DRAFT_395854,-,-,Unknown,-,putative cytochrome P450 monooxygenase,protein-coding,-,-,-,putative cytochrome P450 monooxygenase,20200919,-
1448312,37177055,BO86DRAFT_395857,BO86DRAFT_395857,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20200919,-
1448312,37177056,BO86DRAFT_395859,BO86DRAFT_395859,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20200919,-
1448312,37177057,BO86DRAFT_395864,BO86DRAFT_395864,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177058,BO86DRAFT_395871,BO86DRAFT_395871,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177059,BO86DRAFT_395893,BO86DRAFT_395893,-,-,Unknown,-,pH-response regulator protein palF/RIM8,protein-coding,-,-,-,pH-response regulator protein palF/RIM8,20200919,-
1448312,37177060,BO86DRAFT_395927,BO86DRAFT_395927,-,-,Unknown,-,DUF618 domain protein,protein-coding,-,-,-,DUF618 domain protein,20200919,-
1448312,37177061,BO86DRAFT_395983,BO86DRAFT_395983,-,-,Unknown,-,RabGAP/TBC,protein-coding,-,-,-,RabGAP/TBC,20200919,-
1448312,37177062,BO86DRAFT_396021,BO86DRAFT_396021,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177063,BO86DRAFT_396024,BO86DRAFT_396024,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177064,BO86DRAFT_396042,BO86DRAFT_396042,-,-,Unknown,-,Aldo/keto reductase,protein-coding,-,-,-,Aldo/keto reductase,20200919,-
1448312,37177065,BO86DRAFT_396052,BO86DRAFT_396052,-,-,Unknown,-,ubiquinol-cytochrome c reductase complex 17 kd protein,protein-coding,-,-,-,ubiquinol-cytochrome c reductase complex 17 kd protein,20200919,-
1448312,37177066,BO86DRAFT_396075,BO86DRAFT_396075,-,-,Unknown,-,protein YME1,protein-coding,-,-,-,protein YME1,20200919,-
1448312,37177067,BO86DRAFT_396099,BO86DRAFT_396099,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177068,BO86DRAFT_396107,BO86DRAFT_396107,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177069,BO86DRAFT_396109,BO86DRAFT_396109,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177070,BO86DRAFT_396116,BO86DRAFT_396116,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177071,BO86DRAFT_396117,BO86DRAFT_396117,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177072,BO86DRAFT_396147,BO86DRAFT_396147,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177073,BO86DRAFT_396148,BO86DRAFT_396148,-,-,Unknown,-,FAD/NAD(P)-binding domain-containing protein,protein-coding,-,-,-,FAD/NAD(P)-binding domain-containing protein,20200919,-
1448312,37177074,BO86DRAFT_396149,BO86DRAFT_396149,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177075,BO86DRAFT_396151,BO86DRAFT_396151,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177076,BO86DRAFT_396173,BO86DRAFT_396173,-,-,Unknown,-,mitochondrial large ribosomal subunit L49,protein-coding,-,-,-,mitochondrial large ribosomal subunit L49,20200919,-
1448312,37177077,BO86DRAFT_396175,BO86DRAFT_396175,-,-,Unknown,-,"acetyltransferase, CysE/LacA/LpxA/NodL family",protein-coding,-,-,-,"acetyltransferase, CysE/LacA/LpxA/NodL family",20200919,-
1448312,37177078,BO86DRAFT_396189,BO86DRAFT_396189,-,-,Unknown,-,catalytic protein,protein-coding,-,-,-,catalytic protein,20200919,-
1448312,37177079,BO86DRAFT_396238,BO86DRAFT_396238,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177080,BO86DRAFT_396253,BO86DRAFT_396253,-,-,Unknown,-,trehalose synthase (Ccg-9),protein-coding,-,-,-,trehalose synthase (Ccg-9),20200919,-
1448312,37177081,BO86DRAFT_396266,BO86DRAFT_396266,-,-,Unknown,-,Pcc1-domain-containing protein,protein-coding,-,-,-,Pcc1-domain-containing protein,20200919,-
1448312,37177082,BO86DRAFT_396274,BO86DRAFT_396274,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177083,BO86DRAFT_396292,BO86DRAFT_396292,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177084,BO86DRAFT_396296,BO86DRAFT_396296,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177085,BO86DRAFT_396345,BO86DRAFT_396345,-,-,Unknown,-,Metallo-hydrolase/oxidoreductase,protein-coding,-,-,-,Metallo-hydrolase/oxidoreductase,20200919,-
1448312,37177086,BO86DRAFT_396352,BO86DRAFT_396352,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177087,BO86DRAFT_396356,BO86DRAFT_396356,-,-,Unknown,-,exonuclease,protein-coding,-,-,-,exonuclease,20200919,-
1448312,37177088,BO86DRAFT_396370,BO86DRAFT_396370,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177089,BO86DRAFT_396389,BO86DRAFT_396389,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177090,BO86DRAFT_396394,BO86DRAFT_396394,-,-,Unknown,-,apses transcription factor,protein-coding,-,-,-,apses transcription factor,20200919,-
1448312,37177091,BO86DRAFT_396401,BO86DRAFT_396401,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177092,BO86DRAFT_396423,BO86DRAFT_396423,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177093,BO86DRAFT_396436,BO86DRAFT_396436,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177094,BO86DRAFT_396446,BO86DRAFT_396446,-,-,Unknown,-,MFS phosphate transporter,protein-coding,-,-,-,MFS phosphate transporter,20200919,-
1448312,37177095,BO86DRAFT_396487,BO86DRAFT_396487,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177096,BO86DRAFT_396516,BO86DRAFT_396516,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177097,BO86DRAFT_396540,BO86DRAFT_396540,-,-,Unknown,-,C2H2 finger domain protein,protein-coding,-,-,-,C2H2 finger domain protein,20200919,-
1448312,37177098,BO86DRAFT_396543,BO86DRAFT_396543,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177099,BO86DRAFT_396545,BO86DRAFT_396545,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177100,BO86DRAFT_396547,BO86DRAFT_396547,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177101,BO86DRAFT_396563,BO86DRAFT_396563,-,-,Unknown,-,ribose-phosphate pyrophosphokinase 1,protein-coding,-,-,-,ribose-phosphate pyrophosphokinase 1,20200919,-
1448312,37177102,BO86DRAFT_396579,BO86DRAFT_396579,-,-,Unknown,-,general substrate transporter,protein-coding,-,-,-,general substrate transporter,20200919,-
1448312,37177103,BO86DRAFT_396580,BO86DRAFT_396580,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177104,BO86DRAFT_396582,BO86DRAFT_396582,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177105,BO86DRAFT_396583,BO86DRAFT_396583,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177106,BO86DRAFT_396585,BO86DRAFT_396585,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177107,BO86DRAFT_396587,BO86DRAFT_396587,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177108,BO86DRAFT_396608,BO86DRAFT_396608,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177109,BO86DRAFT_396609,BO86DRAFT_396609,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177110,BO86DRAFT_396611,BO86DRAFT_396611,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177111,BO86DRAFT_396631,BO86DRAFT_396631,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177112,BO86DRAFT_396632,BO86DRAFT_396632,-,-,Unknown,-,GNS1/SUR4 membrane protein,protein-coding,-,-,-,GNS1/SUR4 membrane protein,20200919,-
1448312,37177113,BO86DRAFT_396640,BO86DRAFT_396640,-,-,Unknown,-,1-acyl-sn-glycerol-3-phosphate acyltransferase,protein-coding,-,-,-,1-acyl-sn-glycerol-3-phosphate acyltransferase,20200919,-
1448312,37177114,BO86DRAFT_396679,BO86DRAFT_396679,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177115,BO86DRAFT_396698,BO86DRAFT_396698,-,-,Unknown,-,putative PHD transcription factor,protein-coding,-,-,-,putative PHD transcription factor,20200919,-
1448312,37177116,BO86DRAFT_396732,BO86DRAFT_396732,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177117,BO86DRAFT_396757,BO86DRAFT_396757,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177118,BO86DRAFT_396761,BO86DRAFT_396761,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177119,BO86DRAFT_396765,BO86DRAFT_396765,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177120,BO86DRAFT_396767,BO86DRAFT_396767,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177121,BO86DRAFT_396783,BO86DRAFT_396783,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177122,BO86DRAFT_396786,BO86DRAFT_396786,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177123,BO86DRAFT_396788,BO86DRAFT_396788,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177124,BO86DRAFT_396796,BO86DRAFT_396796,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177125,BO86DRAFT_396799,BO86DRAFT_396799,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177126,BO86DRAFT_396801,BO86DRAFT_396801,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177127,BO86DRAFT_396803,BO86DRAFT_396803,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177128,BO86DRAFT_396815,BO86DRAFT_396815,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177129,BO86DRAFT_396817,BO86DRAFT_396817,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177130,BO86DRAFT_396841,BO86DRAFT_396841,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177131,BO86DRAFT_396850,BO86DRAFT_396850,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177132,BO86DRAFT_396853,BO86DRAFT_396853,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177133,BO86DRAFT_396859,BO86DRAFT_396859,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177134,BO86DRAFT_396865,BO86DRAFT_396865,-,-,Unknown,-,DUF1772-domain-containing protein,protein-coding,-,-,-,DUF1772-domain-containing protein,20200919,-
1448312,37177135,BO86DRAFT_396871,BO86DRAFT_396871,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177136,BO86DRAFT_396888,BO86DRAFT_396888,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177137,BO86DRAFT_396905,BO86DRAFT_396905,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177138,BO86DRAFT_396906,BO86DRAFT_396906,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177139,BO86DRAFT_396914,BO86DRAFT_396914,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177140,BO86DRAFT_396917,BO86DRAFT_396917,-,-,Unknown,-,DUF1446 domain-containing protein,protein-coding,-,-,-,DUF1446 domain-containing protein,20200919,-
1448312,37177141,BO86DRAFT_396919,BO86DRAFT_396919,-,-,Unknown,-,Cyanovirin-N,protein-coding,-,-,-,Cyanovirin-N,20200919,-
1448312,37177142,BO86DRAFT_396923,BO86DRAFT_396923,-,-,Unknown,-,sugar transporter,protein-coding,-,-,-,sugar transporter,20200919,-
1448312,37177143,BO86DRAFT_396929,BO86DRAFT_396929,-,-,Unknown,-,putative MFS monosaccharide transporter,protein-coding,-,-,-,putative MFS monosaccharide transporter,20200919,-
1448312,37177144,BO86DRAFT_396947,BO86DRAFT_396947,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177145,BO86DRAFT_396950,BO86DRAFT_396950,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448312,37177146,BO86DRAFT_396952,BO86DRAFT_396952,-,-,Unknown,-,kinase-like protein,protein-coding,-,-,-,kinase-like protein,20200919,-
1448312,37177147,BO86DRAFT_396973,BO86DRAFT_396973,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
