#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
455364,26048869,ceV_002,ceV_002,-,-,-,-,multiple glycosyltransferase domain containing protein,protein-coding,-,-,-,multiple glycosyltransferase domain containing protein,20200909,-
455364,26049282,ceV_415,ceV_415,-,-,-,-,SNARE domain containing protein/ putative syntaxin,protein-coding,-,-,-,SNARE domain containing protein/ putative syntaxin,20200909,-
455364,26049283,ceV_416,ceV_416,-,-,-,-,"DEAD-like RNA helicase, superfamily II",protein-coding,-,-,-,"DEAD-like RNA helicase, superfamily II",20200909,-
455364,26049284,ceV_417,ceV_417,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049285,ceV_418,ceV_418,-,-,-,-,disrupted ribonucleoside-diphosphate reductase small subunit,protein-coding,-,-,-,disrupted ribonucleoside-diphosphate reductase small subunit,20200909,-
455364,26049286,ceV_419,ceV_419,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049287,ceV_420,ceV_420,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049288,ceV_421,ceV_421,-,-,-,-,serine/threonine protein kinase,protein-coding,-,-,-,serine/threonine protein kinase,20200909,-
455364,26049289,ceV_422,ceV_422,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049290,ceV_423,ceV_423,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049291,ceV_424,ceV_424,-,-,-,-,Cold-Shock Protein,protein-coding,-,-,-,Cold-Shock Protein,20200909,-
455364,26049292,ceV_425,ceV_425,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049293,ceV_426,ceV_426,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049294,ceV_427,ceV_427,-,-,-,-,AN1-like Zinc finger containing protein,protein-coding,-,-,-,AN1-like Zinc finger containing protein,20200909,-
455364,26049295,ceV_428,ceV_428,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049296,ceV_429,ceV_429,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049297,ceV_430,ceV_430,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049298,ceV_431,ceV_431,-,-,-,-,repeat containing protein,protein-coding,-,-,-,repeat containing protein,20200909,-
455364,26049299,ceV_432,ceV_432,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049300,ceV_433,ceV_433,-,-,-,-,class II HMG-box domain containing protein,protein-coding,-,-,-,class II HMG-box domain containing protein,20200909,-
455364,26049301,ceV_434,ceV_434,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049302,ceV_435,ceV_435,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049303,ceV_436,ceV_436,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049304,ceV_437,ceV_437,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049305,ceV_438,ceV_438,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049306,ceV_439,ceV_439,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049307,ceV_440,ceV_440,-,-,-,-,HMG box domain containing protein,protein-coding,-,-,-,HMG box domain containing protein,20200909,-
455364,26049308,ceV_441,ceV_441,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049309,ceV_442,ceV_442,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049310,ceV_443,ceV_443,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049311,ceV_444,ceV_444,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049312,ceV_445,ceV_445,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049313,ceV_446,ceV_446,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049314,ceV_447,ceV_447,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049315,ceV_448,ceV_448,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049316,ceV_449,ceV_449,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049317,ceV_450,ceV_450,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049318,ceV_451,ceV_451,-,-,-,-,U-box and intein containing von Willebrand factor type A,protein-coding,-,-,-,U-box and intein containing von Willebrand factor type A,20200909,-
455364,26049319,ceV_516,ceV_516,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
455364,26049320,ceV_453,ceV_453,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049321,ceV_454,ceV_454,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049322,ceV_455,ceV_455,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049323,ceV_456,ceV_456,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049324,ceV_457,ceV_457,-,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,protein-coding,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,20200909,-
455364,26049325,ceV_458,ceV_458,-,-,-,-,Cytidine and deoxycytidylate deaminase zinc-binding region,protein-coding,-,-,-,Cytidine and deoxycytidylate deaminase zinc-binding region,20200909,-
455364,26049326,ceV_459,ceV_459,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049327,ceV_460,ceV_460,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049328,ceV_461,ceV_461,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049329,ceV_462,ceV_462,-,-,-,-,Von Willebrand factor type A/DUF2828 domain containing protein,protein-coding,-,-,-,Von Willebrand factor type A/DUF2828 domain containing protein,20200909,-
455364,26049330,ceV_463,ceV_463,-,-,-,-,RING domain containing protein,protein-coding,-,-,-,RING domain containing protein,20200909,-
455364,26049331,ceV_464,ceV_464,-,-,-,-,YABBY domain containing protein,protein-coding,-,-,-,YABBY domain containing protein,20200909,-
455364,26049332,ceV_465,ceV_465,-,-,-,-,putative Serine/Threonine Kinase,protein-coding,-,-,-,putative Serine/Threonine Kinase,20200909,-
455364,26049333,ceV_466,ceV_466,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049334,ceV_467,ceV_467,-,-,-,-,Catalytic core of Asn/Asp-ARNt synthetase,protein-coding,-,-,-,Catalytic core of Asn/Asp-ARNt synthetase,20200909,-
455364,26049335,ceV_468,ceV_468,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049336,ceV_469,ceV_469,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049337,ceV_470,ceV_470,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049338,ceV_471,ceV_471,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049339,ceV_472,ceV_472,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049340,ceV_473,ceV_473,-,-,-,-,putative TspO/MBR family protein,protein-coding,-,-,-,putative TspO/MBR family protein,20200909,-
455364,26049341,ceV_474,ceV_474,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049342,ceV_475,ceV_475,-,-,-,-,APE-like exodeoxyribonuclease III,protein-coding,-,-,-,APE-like exodeoxyribonuclease III,20200909,-
455364,26049343,ceV_476,ceV_476,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049344,ceV_477,ceV_477,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049345,ceV_478,ceV_478,-,-,-,-,PIF1-like helicase,protein-coding,-,-,-,PIF1-like helicase,20200909,-
455364,26049346,ceV_479,ceV_479,-,-,-,-,N-acetylglucosamine-1-phosphate uridyltransferase,protein-coding,-,-,-,N-acetylglucosamine-1-phosphate uridyltransferase,20200909,-
455364,26049347,ceV_480,ceV_480,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049348,ceV_481,ceV_481,-,-,-,-,DUF1599 and SWIM domains containing protein,protein-coding,-,-,-,DUF1599 and SWIM domains containing protein,20200909,-
455364,26049349,ceV_482,ceV_482,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049350,ceV_483,ceV_483,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049351,ceV_484,ceV_484,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049352,ceV_485,ceV_485,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049353,ceV_486,ceV_486,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049354,ceV_487,ceV_487,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049355,ceV_488,ceV_488,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049356,ceV_489,ceV_489,-,-,-,-,DNA polymerase X/NAD-dependent DNA ligase fusion protein,protein-coding,-,-,-,DNA polymerase X/NAD-dependent DNA ligase fusion protein,20200909,-
455364,26049357,ceV_490,ceV_490,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049358,ceV_491,ceV_491,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049359,ceV_492,ceV_492,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049360,ceV_493,ceV_493,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049361,ceV_494,ceV_494,-,-,-,-,putative nudix hydrolase,protein-coding,-,-,-,putative nudix hydrolase,20200909,-
455364,26049362,ceV_495,ceV_495,-,-,-,-,putative methyltransferase,protein-coding,-,-,-,putative methyltransferase,20200909,-
455364,26049363,ceV_496,ceV_496,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049364,ceV_497,ceV_497,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049365,ceV_498,ceV_498,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049366,ceV_499,ceV_499,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049367,ceV_500,ceV_500,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049368,ceV_501,ceV_501,-,-,-,-,DnaJ/HsP40,protein-coding,-,-,-,DnaJ/HsP40,20200909,-
455364,26049369,ceV_502,ceV_502,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049370,ceV_503,ceV_503,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049371,ceV_504,ceV_504,-,-,-,-,MIGE-like protein,protein-coding,-,-,-,MIGE-like protein,20200909,-
455364,26049372,ceV_505,ceV_505,-,-,-,-,MIGE-like protein,protein-coding,-,-,-,MIGE-like protein,20200909,-
455364,26049373,ceV_506,ceV_506,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049374,ceV_507,ceV_507,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049375,ceV_508,ceV_508,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049376,ceV_509,ceV_509,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049377,ceV_510,ceV_510,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049378,ceV_511,ceV_511,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049379,ceV_512,ceV_512,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049380,ceV_514,ceV_514,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
455364,26049381,ceV_515,ceV_515,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
455364,26049382,ceV_261,ceV_261,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049383,ceV_517,ceV_517,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
455364,26049384,ceV_518,ceV_518,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
455364,26049385,ceV_519,ceV_519,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
455364,26049386,ceV_520,ceV_520,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
455364,26049387,ceV_521,ceV_521,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
455364,26049388,ceV_522,ceV_522,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
455364,26049389,ceV_452,ceV_452,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049390,ceV_401,ceV_401,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049391,ceV_079,ceV_079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26049392,ceV_001,ceV_001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
455364,26085241,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
