#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1392245,54402276,P153DRAFT_100011,P153DRAFT_100011,-,-,Unknown,-,D-tyrosyl-tRNA deacylase-like protein,protein-coding,-,-,-,D-tyrosyl-tRNA deacylase-like protein,20210320,-
1392245,54409737,P153DRAFT_371638,P153DRAFT_371638,-,-,Unknown,-,maltose permease MAL61,protein-coding,-,-,-,maltose permease MAL61,20210320,-
1392245,54409738,P153DRAFT_371642,P153DRAFT_371642,-,-,Unknown,-,actin filament organization protein-like protein App1-like protein,protein-coding,-,-,-,actin filament organization protein-like protein App1-like protein,20210320,-
1392245,54409739,P153DRAFT_371649,P153DRAFT_371649,-,-,Unknown,-,Metallo-hydrolase/oxidoreductase,protein-coding,-,-,-,Metallo-hydrolase/oxidoreductase,20210320,-
1392245,54409740,P153DRAFT_371657,P153DRAFT_371657,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409741,P153DRAFT_371661,P153DRAFT_371661,-,-,Unknown,-,Bet v1-like protein,protein-coding,-,-,-,Bet v1-like protein,20210320,-
1392245,54409742,P153DRAFT_371662,P153DRAFT_371662,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409743,P153DRAFT_371670,P153DRAFT_371670,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409744,P153DRAFT_371671,P153DRAFT_371671,-,-,Unknown,-,Ribokinase-like protein,protein-coding,-,-,-,Ribokinase-like protein,20210320,-
1392245,54409745,P153DRAFT_371682,P153DRAFT_371682,-,-,Unknown,-,PRTase-like protein,protein-coding,-,-,-,PRTase-like protein,20210320,-
1392245,54409746,P153DRAFT_371683,P153DRAFT_371683,-,-,Unknown,-,translationally controlled tumor-associated,protein-coding,-,-,-,translationally controlled tumor-associated,20210320,-
1392245,54409747,P153DRAFT_371685,P153DRAFT_371685,-,-,Unknown,-,"D-arabinono-1,4-lactone oxidase",protein-coding,-,-,-,"D-arabinono-1,4-lactone oxidase",20210320,-
1392245,54409748,P153DRAFT_371686,P153DRAFT_371686,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409749,P153DRAFT_371687,P153DRAFT_371687,-,-,Unknown,-,DUF1770-domain-containing protein,protein-coding,-,-,-,DUF1770-domain-containing protein,20210320,-
1392245,54409750,P153DRAFT_371694,P153DRAFT_371694,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409751,P153DRAFT_371695,P153DRAFT_371695,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409752,P153DRAFT_371697,P153DRAFT_371697,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409753,P153DRAFT_371698,P153DRAFT_371698,-,-,Unknown,-,C4-dicarboxylate transporter/malic acid transport protein-like protein,protein-coding,-,-,-,C4-dicarboxylate transporter/malic acid transport protein-like protein,20210320,-
1392245,54409754,P153DRAFT_371702,P153DRAFT_371702,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409755,P153DRAFT_371705,P153DRAFT_371705,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409756,P153DRAFT_371708,P153DRAFT_371708,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409757,P153DRAFT_371709,P153DRAFT_371709,-,-,Unknown,-,dienelactone hydrolase,protein-coding,-,-,-,dienelactone hydrolase,20210320,-
1392245,54409758,P153DRAFT_371710,P153DRAFT_371710,-,-,Unknown,-,mitochondrial peroxiredoxin-like protein Prx1,protein-coding,-,-,-,mitochondrial peroxiredoxin-like protein Prx1,20210320,-
1392245,54409759,P153DRAFT_371720,P153DRAFT_371720,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409760,P153DRAFT_371722,P153DRAFT_371722,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409761,P153DRAFT_371723,P153DRAFT_371723,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409762,P153DRAFT_371724,P153DRAFT_371724,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409763,P153DRAFT_371727,P153DRAFT_371727,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409764,P153DRAFT_371728,P153DRAFT_371728,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409765,P153DRAFT_371729,P153DRAFT_371729,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409766,P153DRAFT_371732,P153DRAFT_371732,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409767,P153DRAFT_371742,P153DRAFT_371742,-,-,Unknown,-,Malate/L-lactate dehydrogenase,protein-coding,-,-,-,Malate/L-lactate dehydrogenase,20210320,-
1392245,54409768,P153DRAFT_371743,P153DRAFT_371743,-,-,Unknown,-,40S ribosomal protein S5,protein-coding,-,-,-,40S ribosomal protein S5,20210320,-
1392245,54409769,P153DRAFT_371754,P153DRAFT_371754,-,-,Unknown,-,ariadne RING finger,protein-coding,-,-,-,ariadne RING finger,20200919,-
1392245,54409770,P153DRAFT_371760,P153DRAFT_371760,-,-,Unknown,-,Acylphosphatase,protein-coding,-,-,-,Acylphosphatase,20210320,-
1392245,54409771,P153DRAFT_371768,P153DRAFT_371768,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409772,P153DRAFT_371777,P153DRAFT_371777,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409773,P153DRAFT_371785,P153DRAFT_371785,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409774,P153DRAFT_371787,P153DRAFT_371787,-,-,Unknown,-,terpenoid synthase,protein-coding,-,-,-,terpenoid synthase,20210320,-
1392245,54409775,P153DRAFT_371809,P153DRAFT_371809,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409776,P153DRAFT_371824,P153DRAFT_371824,-,-,Unknown,-,"DASH complex, subunit Spc34",protein-coding,-,-,-,"DASH complex, subunit Spc34",20210320,-
1392245,54409777,P153DRAFT_371826,P153DRAFT_371826,-,-,Unknown,-,tricorn protease domain 2-containing protein,protein-coding,-,-,-,tricorn protease domain 2-containing protein,20210320,-
1392245,54409778,P153DRAFT_371845,P153DRAFT_371845,-,-,Unknown,-,NGG1p interacting factor 3,protein-coding,-,-,-,NGG1p interacting factor 3,20210320,-
1392245,54409779,P153DRAFT_371847,P153DRAFT_371847,-,-,Unknown,-,oligomeric complex COG6,protein-coding,-,-,-,oligomeric complex COG6,20210320,-
1392245,54409780,P153DRAFT_371857,P153DRAFT_371857,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409781,P153DRAFT_371878,P153DRAFT_371878,-,-,Unknown,-,Rhodanese-like protein,protein-coding,-,-,-,Rhodanese-like protein,20210320,-
1392245,54409782,P153DRAFT_371903,P153DRAFT_371903,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409783,P153DRAFT_371924,P153DRAFT_371924,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409784,P153DRAFT_371926,P153DRAFT_371926,-,-,Unknown,-,WD repeat-containing protein,protein-coding,-,-,-,WD repeat-containing protein,20210320,-
1392245,54409785,P153DRAFT_371941,P153DRAFT_371941,-,-,Unknown,-,imidazole glycerol phosphate synthase-like protein hisHF,protein-coding,-,-,-,imidazole glycerol phosphate synthase-like protein hisHF,20210320,-
1392245,54409786,P153DRAFT_371946,P153DRAFT_371946,-,-,Unknown,-,MBOAT-domain-containing protein,protein-coding,-,-,-,MBOAT-domain-containing protein,20210320,-
1392245,54409787,P153DRAFT_371956,P153DRAFT_371956,-,-,Unknown,-,AhpC/TSA family protein,protein-coding,-,-,-,AhpC/TSA family protein,20210320,-
1392245,54409788,P153DRAFT_371991,P153DRAFT_371991,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409789,P153DRAFT_372014,P153DRAFT_372014,-,-,Unknown,-,lytic polysaccharide monooxygenase,protein-coding,-,-,-,lytic polysaccharide monooxygenase,20210320,-
1392245,54409790,P153DRAFT_372021,P153DRAFT_372021,-,-,Unknown,-,glycoside hydrolase family 76 protein,protein-coding,-,-,-,glycoside hydrolase family 76 protein,20210320,-
1392245,54409791,P153DRAFT_372024,P153DRAFT_372024,-,-,Unknown,-,ribosomal protein S16,protein-coding,-,-,-,ribosomal protein S16,20210320,-
1392245,54409792,P153DRAFT_372037,P153DRAFT_372037,-,-,Unknown,-,polyamine transporter 3,protein-coding,-,-,-,polyamine transporter 3,20210320,-
1392245,54409793,P153DRAFT_372039,P153DRAFT_372039,-,-,Unknown,-,putative carboxypeptidase S1,protein-coding,-,-,-,putative carboxypeptidase S1,20210320,-
1392245,54409794,P153DRAFT_372042,P153DRAFT_372042,-,-,Unknown,-,putative 2-dehydropantoate 2-reductase family protein,protein-coding,-,-,-,putative 2-dehydropantoate 2-reductase family protein,20210320,-
1392245,54409795,P153DRAFT_372077,P153DRAFT_372077,-,-,Unknown,-,GABA permease,protein-coding,-,-,-,GABA permease,20210320,-
1392245,54409796,P153DRAFT_372085,P153DRAFT_372085,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409797,P153DRAFT_372086,P153DRAFT_372086,-,-,Unknown,-,MFS quinate transporter-like protein QutD,protein-coding,-,-,-,MFS quinate transporter-like protein QutD,20210320,-
1392245,54409798,P153DRAFT_372092,P153DRAFT_372092,-,-,Unknown,-,Cullin-domain-containing protein,protein-coding,-,-,-,Cullin-domain-containing protein,20210320,-
1392245,54409799,P153DRAFT_372098,P153DRAFT_372098,-,-,Unknown,-,ribosomal protein S18,protein-coding,-,-,-,ribosomal protein S18,20210320,-
1392245,54409800,P153DRAFT_372104,P153DRAFT_372104,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210320,-
1392245,54409801,P153DRAFT_372141,P153DRAFT_372141,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409802,P153DRAFT_372155,P153DRAFT_372155,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409803,P153DRAFT_37216,P153DRAFT_37216,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54409804,P153DRAFT_372163,P153DRAFT_372163,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409805,P153DRAFT_372179,P153DRAFT_372179,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409806,P153DRAFT_372215,P153DRAFT_372215,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409807,P153DRAFT_372220,P153DRAFT_372220,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409808,P153DRAFT_372221,P153DRAFT_372221,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409809,P153DRAFT_372269,P153DRAFT_372269,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409810,P153DRAFT_372284,P153DRAFT_372284,-,-,Unknown,-,glycosyltransferase family 2 protein,protein-coding,-,-,-,glycosyltransferase family 2 protein,20210320,-
1392245,54409811,P153DRAFT_372286,P153DRAFT_372286,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409812,P153DRAFT_372302,P153DRAFT_372302,-,-,Unknown,-,actin-like ATPase domain-containing protein,protein-coding,-,-,-,actin-like ATPase domain-containing protein,20210320,-
1392245,54409813,P153DRAFT_372316,P153DRAFT_372316,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210320,-
1392245,54409814,P153DRAFT_372320,P153DRAFT_372320,-,-,Unknown,-,kinase-like protein,protein-coding,-,-,-,kinase-like protein,20210320,-
1392245,54409815,P153DRAFT_372322,P153DRAFT_372322,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409816,P153DRAFT_372328,P153DRAFT_372328,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409817,P153DRAFT_372329,P153DRAFT_372329,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409818,P153DRAFT_372352,P153DRAFT_372352,-,-,Unknown,-,major facilitator superfamily transporter,protein-coding,-,-,-,major facilitator superfamily transporter,20210320,-
1392245,54409819,P153DRAFT_372362,P153DRAFT_372362,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409820,P153DRAFT_372374,P153DRAFT_372374,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409821,P153DRAFT_372380,P153DRAFT_372380,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409822,P153DRAFT_372395,P153DRAFT_372395,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409823,P153DRAFT_372404,P153DRAFT_372404,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409824,P153DRAFT_372406,P153DRAFT_372406,-,-,Unknown,-,phosphoribosyl pyrophosphokinase,protein-coding,-,-,-,phosphoribosyl pyrophosphokinase,20210320,-
1392245,54409825,P153DRAFT_372430,P153DRAFT_372430,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210320,-
1392245,54409826,P153DRAFT_372433,P153DRAFT_372433,-,-,Unknown,-,carbohydrate esterase family 5 protein,protein-coding,-,-,-,carbohydrate esterase family 5 protein,20210320,-
1392245,54409827,P153DRAFT_372434,P153DRAFT_372434,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409828,P153DRAFT_372437,P153DRAFT_372437,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409829,P153DRAFT_372443,P153DRAFT_372443,-,-,Unknown,-,N-terminal nucleophile aminohydrolase,protein-coding,-,-,-,N-terminal nucleophile aminohydrolase,20210320,-
1392245,54409830,P153DRAFT_372457,P153DRAFT_372457,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409831,P153DRAFT_372462,P153DRAFT_372462,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409832,P153DRAFT_372480,P153DRAFT_372480,-,-,Unknown,-,tryptophan synthase beta subunit-like PLP-dependent enzyme,protein-coding,-,-,-,tryptophan synthase beta subunit-like PLP-dependent enzyme,20210320,-
1392245,54409833,P153DRAFT_372512,P153DRAFT_372512,-,-,Unknown,-,30S ribosomal protein S13,protein-coding,-,-,-,30S ribosomal protein S13,20210320,-
1392245,54409834,P153DRAFT_372530,P153DRAFT_372530,-,-,Unknown,-,4-coumarate-CoA ligase-like protein,protein-coding,-,-,-,4-coumarate-CoA ligase-like protein,20210320,-
1392245,54409835,P153DRAFT_372532,P153DRAFT_372532,-,-,Unknown,-,60S ribosomal protein-like protein L36,protein-coding,-,-,-,60S ribosomal protein-like protein L36,20210320,-
1392245,54409836,P153DRAFT_372536,P153DRAFT_372536,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409837,P153DRAFT_372546,P153DRAFT_372546,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409838,P153DRAFT_372569,P153DRAFT_372569,-,-,Unknown,-,Fe superoxide dismutase-like protein,protein-coding,-,-,-,Fe superoxide dismutase-like protein,20210320,-
1392245,54409839,P153DRAFT_372595,P153DRAFT_372595,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409840,P153DRAFT_372612,P153DRAFT_372612,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409841,P153DRAFT_372639,P153DRAFT_372639,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409842,P153DRAFT_372644,P153DRAFT_372644,-,-,Unknown,-,aldehyde dehydrogenase,protein-coding,-,-,-,aldehyde dehydrogenase,20210320,-
1392245,54409843,P153DRAFT_372679,P153DRAFT_372679,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409844,P153DRAFT_372683,P153DRAFT_372683,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409845,P153DRAFT_372709,P153DRAFT_372709,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409846,P153DRAFT_372710,P153DRAFT_372710,-,-,Unknown,-,CaaX prenyl protease-like protein,protein-coding,-,-,-,CaaX prenyl protease-like protein,20210320,-
1392245,54409847,P153DRAFT_372724,P153DRAFT_372724,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409848,P153DRAFT_372733,P153DRAFT_372733,-,-,Unknown,-,lipase precursor,protein-coding,-,-,-,lipase precursor,20210320,-
1392245,54409849,P153DRAFT_372737,P153DRAFT_372737,-,-,Unknown,-,monosaccharide transporter-like protein,protein-coding,-,-,-,monosaccharide transporter-like protein,20210320,-
1392245,54409850,P153DRAFT_372738,P153DRAFT_372738,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409851,P153DRAFT_372744,P153DRAFT_372744,-,-,Unknown,-,HlyIII-domain-containing protein,protein-coding,-,-,-,HlyIII-domain-containing protein,20210320,-
1392245,54409852,P153DRAFT_372765,P153DRAFT_372765,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409853,P153DRAFT_372809,P153DRAFT_372809,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409854,P153DRAFT_372816,P153DRAFT_372816,-,-,Unknown,-,FAD dependent oxidoreductase,protein-coding,-,-,-,FAD dependent oxidoreductase,20210320,-
1392245,54409855,P153DRAFT_372819,P153DRAFT_372819,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409856,P153DRAFT_372822,P153DRAFT_372822,-,-,Unknown,-,kynureninase 1,protein-coding,-,-,-,kynureninase 1,20210320,-
1392245,54409857,P153DRAFT_372842,P153DRAFT_372842,-,-,Unknown,-,kinase-like protein,protein-coding,-,-,-,kinase-like protein,20210320,-
1392245,54409858,P153DRAFT_372854,P153DRAFT_372854,-,-,Unknown,-,PAP/OAS1 substrate-binding domain-containing protein,protein-coding,-,-,-,PAP/OAS1 substrate-binding domain-containing protein,20210320,-
1392245,54409859,P153DRAFT_372890,P153DRAFT_372890,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409860,P153DRAFT_372897,P153DRAFT_372897,-,-,Unknown,-,galactose oxidase,protein-coding,-,-,-,galactose oxidase,20210320,-
1392245,54409861,P153DRAFT_372910,P153DRAFT_372910,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409862,P153DRAFT_372913,P153DRAFT_372913,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409863,P153DRAFT_372933,P153DRAFT_372933,-,-,Unknown,-,trans-2-enoyl-CoA reductase-like protein,protein-coding,-,-,-,trans-2-enoyl-CoA reductase-like protein,20210320,-
1392245,54409864,P153DRAFT_372957,P153DRAFT_372957,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409865,P153DRAFT_372978,P153DRAFT_372978,-,-,Unknown,-,glycine dehydrogenase-like protein,protein-coding,-,-,-,glycine dehydrogenase-like protein,20210320,-
1392245,54409866,P153DRAFT_372995,P153DRAFT_372995,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409867,P153DRAFT_373013,P153DRAFT_373013,-,-,Unknown,-,fumble-domain-containing protein,protein-coding,-,-,-,fumble-domain-containing protein,20210320,-
1392245,54409868,P153DRAFT_373041,P153DRAFT_373041,-,-,Unknown,-,Swi3-domain-containing protein,protein-coding,-,-,-,Swi3-domain-containing protein,20210320,-
1392245,54409869,P153DRAFT_373042,P153DRAFT_373042,-,-,Unknown,-,antiviral helicase,protein-coding,-,-,-,antiviral helicase,20210320,-
1392245,54409870,P153DRAFT_373050,P153DRAFT_373050,-,-,Unknown,-,acetolactate synthase,protein-coding,-,-,-,acetolactate synthase,20210320,-
1392245,54409871,P153DRAFT_373060,P153DRAFT_373060,-,-,Unknown,-,NCA2-domain-containing protein,protein-coding,-,-,-,NCA2-domain-containing protein,20210320,-
1392245,54409872,P153DRAFT_373063,P153DRAFT_373063,-,-,Unknown,-,calcium permease family membrane transporter-like protein,protein-coding,-,-,-,calcium permease family membrane transporter-like protein,20210320,-
1392245,54409873,P153DRAFT_373082,P153DRAFT_373082,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409874,P153DRAFT_373105,P153DRAFT_373105,-,-,Unknown,-,DUF676-domain-containing protein,protein-coding,-,-,-,DUF676-domain-containing protein,20210320,-
1392245,54409875,P153DRAFT_373141,P153DRAFT_373141,-,-,Unknown,-,L-ornithine 5-monooxygenase (L-ornithine N(5)-oxygenase),protein-coding,-,-,-,L-ornithine 5-monooxygenase (L-ornithine N(5)-oxygenase),20210320,-
1392245,54409876,P153DRAFT_373149,P153DRAFT_373149,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409877,P153DRAFT_373158,P153DRAFT_373158,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409878,P153DRAFT_373159,P153DRAFT_373159,-,-,Unknown,-,cochaperone Pam16,protein-coding,-,-,-,cochaperone Pam16,20210320,-
1392245,54409879,P153DRAFT_373179,P153DRAFT_373179,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409880,P153DRAFT_373190,P153DRAFT_373190,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409881,P153DRAFT_373206,P153DRAFT_373206,-,-,Unknown,-,Glucooligosaccharide oxidase,protein-coding,-,-,-,Glucooligosaccharide oxidase,20210320,-
1392245,54409882,P153DRAFT_373210,P153DRAFT_373210,-,-,Unknown,-,putative versicolorin reductase,protein-coding,-,-,-,putative versicolorin reductase,20210320,-
1392245,54409883,P153DRAFT_373222,P153DRAFT_373222,-,-,Unknown,-,alpha/beta-hydrolase,protein-coding,-,-,-,alpha/beta-hydrolase,20210320,-
1392245,54409884,P153DRAFT_373231,P153DRAFT_373231,-,-,Unknown,-,PQ loop repeat protein,protein-coding,-,-,-,PQ loop repeat protein,20210320,-
1392245,54409885,P153DRAFT_373261,P153DRAFT_373261,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409886,P153DRAFT_373325,P153DRAFT_373325,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409887,P153DRAFT_373350,P153DRAFT_373350,-,-,Unknown,-,tricarboxylate transport protein-like protein,protein-coding,-,-,-,tricarboxylate transport protein-like protein,20210320,-
1392245,54409888,P153DRAFT_373365,P153DRAFT_373365,-,-,Unknown,-,PALP-domain-containing protein,protein-coding,-,-,-,PALP-domain-containing protein,20210320,-
1392245,54409889,P153DRAFT_373387,P153DRAFT_373387,-,-,Unknown,-,valyl-tRNA synthetase-like protein,protein-coding,-,-,-,valyl-tRNA synthetase-like protein,20210320,-
1392245,54409890,P153DRAFT_373406,P153DRAFT_373406,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409891,P153DRAFT_373430,P153DRAFT_373430,-,-,Unknown,-,WD40 repeat-like protein,protein-coding,-,-,-,WD40 repeat-like protein,20210320,-
1392245,54409892,P153DRAFT_373473,P153DRAFT_373473,-,-,Unknown,-,transcription elongation factor,protein-coding,-,-,-,transcription elongation factor,20210320,-
1392245,54409893,P153DRAFT_373486,P153DRAFT_373486,-,-,Unknown,-,mitochondrial carrier,protein-coding,-,-,-,mitochondrial carrier,20210320,-
1392245,54409894,P153DRAFT_373500,P153DRAFT_373500,-,-,Unknown,-,CKS-domain-containing protein,protein-coding,-,-,-,CKS-domain-containing protein,20210320,-
1392245,54409895,P153DRAFT_373503,P153DRAFT_373503,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409896,P153DRAFT_373589,P153DRAFT_373589,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409897,P153DRAFT_373612,P153DRAFT_373612,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409898,P153DRAFT_373618,P153DRAFT_373618,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409899,P153DRAFT_373646,P153DRAFT_373646,-,-,Unknown,-,NAD(P)-binding protein,protein-coding,-,-,-,NAD(P)-binding protein,20210320,-
1392245,54409900,P153DRAFT_373666,P153DRAFT_373666,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409901,P153DRAFT_373675,P153DRAFT_373675,-,-,Unknown,-,cytochrome P450 3A30,protein-coding,-,-,-,cytochrome P450 3A30,20210320,-
1392245,54409902,P153DRAFT_373676,P153DRAFT_373676,-,-,Unknown,-,Pkinase-domain-containing protein,protein-coding,-,-,-,Pkinase-domain-containing protein,20210320,-
1392245,54409903,P153DRAFT_373694,P153DRAFT_373694,-,-,Unknown,-,Ribokinase-like protein,protein-coding,-,-,-,Ribokinase-like protein,20210320,-
1392245,54409904,P153DRAFT_373704,P153DRAFT_373704,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54409905,P153DRAFT_373712,P153DRAFT_373712,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54409906,P153DRAFT_373735,P153DRAFT_373735,-,-,Unknown,-,kinase-like protein,protein-coding,-,-,-,kinase-like protein,20210320,-
