#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
212035,3293507,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Acanthamoeba poliphaga mimivirus).,other,-,-,-,-,20210202,-
212035,9924978,R358,MIMI_gp0388,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924979,L359,MIMI_gp0389,-,-,-,-,putative DNA mismatch repair protein MutS-like protein,protein-coding,-,-,-,putative DNA mismatch repair protein MutS-like protein,20201220,-
212035,9924980,L360,MIMI_gp0390,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924981,L361,MIMI_gp0391,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924982,R362,MIMI_gp0392,-,-,-,-,thioredoxin domain-containing protein,protein-coding,-,-,-,thioredoxin domain-containing protein,20201220,-
212035,9924983,R363,MIMI_gp0393,-,-,-,-,uncharacterized glycosyltransferase,protein-coding,-,-,-,uncharacterized glycosyltransferase,20201220,-
212035,9924984,L364,MIMI_gp0394,-,-,-,-,putative ATP-dependent RNA helicase,protein-coding,-,-,-,putative ATP-dependent RNA helicase,20201220,-
212035,9924985,R365,MIMI_gp0395,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924986,R365b,MIMI_gp0396,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924987,R366,MIMI_gp0397,-,-,-,-,putative ATP-dependent RNA helicase,protein-coding,-,-,-,putative ATP-dependent RNA helicase,20201220,-
212035,9924988,R367,MIMI_gp0398,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924989,R368,MIMI_gp0399,-,-,-,-,probable FAD-linked sulfhydryl oxidase,protein-coding,-,-,-,probable FAD-linked sulfhydryl oxidase,20201220,-
212035,9924990,R369,MIMI_gp0400,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924991,R370,MIMI_gp0401,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924992,L371,MIMI_gp0402,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924993,L373,MIMI_gp0403,-,-,-,-,uncharacterized glycosyltransferase,protein-coding,-,-,-,uncharacterized glycosyltransferase,20201220,-
212035,9924994,R372,MIMI_gp0404,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924995,L374,MIMI_gp0405,-,-,-,-,putative N-acetylglucosaminyl phosphatidylinositol deacetylase,protein-coding,-,-,-,putative N-acetylglucosaminyl phosphatidylinositol deacetylase,20201220,-
212035,9924996,L375,MIMI_gp0406,-,-,-,-,putative diphosphoinositol polyphosphate phosphohydrolase,protein-coding,-,-,-,putative diphosphoinositol polyphosphate phosphohydrolase,20201220,-
212035,9924997,L376,MIMI_gp0407,-,-,-,-,putative DNA-directed RNA polymerase subunit,protein-coding,-,-,-,putative DNA-directed RNA polymerase subunit,20201220,-
212035,9924998,L377,MIMI_gp0408,-,-,-,-,putative NTPase,protein-coding,-,-,-,putative NTPase,20201220,-
212035,9924999,R378,MIMI_gp0409,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925000,R379,MIMI_gp0410,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925001,L381,MIMI_gp0411,-,-,-,-,putative Phospholipase D/nuclease,protein-coding,-,-,-,putative Phospholipase D/nuclease,20201220,-
212035,9925002,R380,MIMI_gp0412,-,-,-,-,putative leucine-rich repeat protein,protein-coding,-,-,-,putative leucine-rich repeat protein,20201220,-
212035,9925003,L382b,MIMI_gs0022,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9925004,R382,MIMI_gp0413,-,-,-,-,probable mRNA-capping enzyme,protein-coding,-,-,-,probable mRNA-capping enzyme,20201220,-
212035,9925005,R383,MIMI_gp0414,-,-,-,-,putative FtsJ-like methyltransferase,protein-coding,-,-,-,putative FtsJ-like methyltransferase,20201220,-
212035,9925006,L384,MIMI_gp0415,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925007,L385,MIMI_gp0416,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925008,L386,MIMI_gp0417,-,-,-,-,putative endonuclease of the XPG family,protein-coding,-,-,-,putative endonuclease of the XPG family,20201220,-
212035,9925009,R387,MIMI_gp0418,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925010,L388,MIMI_gp0419,-,-,-,-,putative endonuclease/exonuclease/phosphatase,protein-coding,-,-,-,putative endonuclease/exonuclease/phosphatase,20201220,-
212035,9925011,L389,MIMI_gp0420,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925012,R390,MIMI_gp0421,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925013,R391/R392,MIMI_gp0422,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925014,L393,MIMI_gp0423,-,-,-,-,heat shock 70 kDa protein-like protein,protein-coding,-,-,-,heat shock 70 kDa protein-like protein,20201220,-
212035,9925015,L394,MIMI_gp0424,-,-,-,-,putative HD domain-containing protein,protein-coding,-,-,-,putative HD domain-containing protein,20201220,-
212035,9925016,R395,MIMI_gp0425,-,-,-,-,putative replication factor C small subunit,protein-coding,-,-,-,putative replication factor C small subunit,20201220,-
212035,9925017,L396,MIMI_gp0426,-,-,-,-,putative ATP-dependent RNA helicase,protein-coding,-,-,-,putative ATP-dependent RNA helicase,20201220,-
212035,9925018,L397,MIMI_gp0427,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925019,R398,MIMI_gp0428,-,-,-,-,putative phosphoesterase,protein-coding,-,-,-,putative phosphoesterase,20201220,-
212035,9925020,L399,MIMI_gp0429,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925021,R400,MIMI_gp0430,-,-,-,-,putative serine/threonine-protein kinase,protein-coding,-,-,-,putative serine/threonine-protein kinase,20201220,-
212035,9925022,R401,MIMI_gp0431,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925023,R402,MIMI_gp0432,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925024,R403,MIMI_gp0433,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925025,L404,MIMI_gp0434,-,-,-,-,putative alpha/beta hydrolase,protein-coding,-,-,-,putative alpha/beta hydrolase,20201220,-
212035,9925026,R405,MIMI_gp0435,-,-,-,-,putative RNA methyltransferase,protein-coding,-,-,-,putative RNA methyltransferase,20201220,-
212035,9925027,R406,MIMI_gp0436,-,-,-,-,putative Fe2OG dioxygenase,protein-coding,-,-,-,putative Fe2OG dioxygenase,20201220,-
212035,9925028,R407,MIMI_gp0437,-,-,-,-,putative RNA methyltransferase,protein-coding,-,-,-,putative RNA methyltransferase,20201220,-
212035,9925029,R408,MIMI_gp0438,-,-,-,-,putative papain-like cysteine peptidase,protein-coding,-,-,-,putative papain-like cysteine peptidase,20201220,-
212035,9925030,R409,MIMI_gp0439,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925031,L410,MIMI_gp0440,-,-,-,-,putative core protein,protein-coding,-,-,-,putative core protein,20201220,-
212035,9925032,R411,MIMI_gp0441,-,-,-,-,putative replication factor C large subunit,protein-coding,-,-,-,putative replication factor C large subunit,20201220,-
212035,9925033,L412,MIMI_gp0442,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925034,R413,MIMI_gp0443,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925035,L414,MIMI_gp0444,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20201220,-
212035,9925036,L415,MIMI_gp0445,-,-,-,-,putative FNIP repeat-containing protein,protein-coding,-,-,-,putative FNIP repeat-containing protein,20201220,-
212035,9925037,L416,MIMI_gp0446,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925038,L417,MIMI_gp0447,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925039,R418,MIMI_gp0448,-,-,-,-,nucleoside diphosphate kinase,protein-coding,-,-,-,nucleoside diphosphate kinase,20201220,-
212035,9925040,R419,MIMI_gp0449,-,-,-,-,uncharacterized short-chain type dehydrogenase/reductase,protein-coding,-,-,-,uncharacterized short-chain type dehydrogenase/reductase,20201220,-
212035,9925041,R420,MIMI_gp0450,-,-,-,-,robin,protein-coding,-,-,-,robin,20201220,-
212035,9925042,L421,MIMI_gp0451,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925043,R422,MIMI_gp0452,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925044,R423,MIMI_gp0453,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925045,R424,MIMI_gp0454,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925046,L425,MIMI_gp0455,-,-,-,-,capsid protein 1,protein-coding,-,-,-,capsid protein 1,20201220,-
212035,9925047,L426,MIMI_gp0456,-,-,-,-,putative nuclease,protein-coding,-,-,-,putative nuclease,20201220,-
212035,9925048,R427,MIMI_gp0457,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925049,R428,MIMI_gp0458,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925050,R429,MIMI_gp0459,-,-,-,-,putative transcription factor,protein-coding,-,-,-,putative transcription factor,20201220,-
212035,9925051,R430,MIMI_gp0460,-,-,-,-,putative late transcription factor,protein-coding,-,-,-,putative late transcription factor,20201220,-
212035,9925052,R431,MIMI_gp0461,-,-,-,-,putative 3'-5' exonuclease,protein-coding,-,-,-,putative 3'-5' exonuclease,20201220,-
212035,9925053,L432,MIMI_gp0462,-,-,-,-,putative HD phosphohydrolase,protein-coding,-,-,-,putative HD phosphohydrolase,20201220,-
212035,9925054,R433,MIMI_gp0463,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925055,L434,MIMI_gp0464,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925056,R435,MIMI_gp0465,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925057,R435b,MIMI_gp0466,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925058,R436,MIMI_gp0467,-,-,-,-,putative serine/threonine-protein kinase,protein-coding,-,-,-,putative serine/threonine-protein kinase,20201220,-
212035,9925059,L437,MIMI_gp0468,-,-,-,-,VV A32 virion packaging ATPase,protein-coding,-,-,-,VV A32 virion packaging ATPase,20201220,-
212035,9925060,R437b,MIMI_gp0469,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925061,R437c,MIMI_gp0470,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925062,L438,MIMI_gp0471,-,-,-,-,putative TLC domain-containing protein,protein-coding,-,-,-,putative TLC domain-containing protein,20201220,-
212035,9925063,R439,MIMI_gp0472,-,-,-,-,probable capsid protein 2,protein-coding,-,-,-,probable capsid protein 2,20201220,-
212035,9925064,R440,MIMI_gp0473,-,-,-,-,probable capsid protein 3,protein-coding,-,-,-,probable capsid protein 3,20201220,-
212035,9925065,R441,MIMI_gp0474,-,-,-,-,probable capsid protein 4,protein-coding,-,-,-,probable capsid protein 4,20201220,-
212035,9925066,L442,MIMI_gp0475,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925067,R443,MIMI_gp0476,-,-,-,-,thioredoxin domain-containing protein,protein-coding,-,-,-,thioredoxin domain-containing protein,20201220,-
212035,9925068,L444,MIMI_gp0477,-,-,-,-,putative ADP-ribosyl glycohydrolase,protein-coding,-,-,-,putative ADP-ribosyl glycohydrolase,20201220,-
212035,9925069,R445,MIMI_gp0478,-,-,-,-,putative J domain-containing protein,protein-coding,-,-,-,putative J domain-containing protein,20201220,-
212035,9925070,L446,MIMI_gp0479,-,-,-,-,putative patatin-like phospholipase,protein-coding,-,-,-,putative patatin-like phospholipase,20201220,-
212035,9925071,R447,MIMI_gp0480,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925072,L448,MIMI_gp0481,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925073,R449,MIMI_gp0482,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925074,R449b,MIMI_gp0483,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925075,R450,MIMI_gp0484,-,-,-,-,putative viral transcription factor,protein-coding,-,-,-,putative viral transcription factor,20201220,-
212035,9925076,L451,MIMI_gp0485,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925077,L452,MIMI_gp0486,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925078,R453,MIMI_gp0487,-,-,-,-,TATA-box-binding protein-like protein,protein-coding,-,-,-,TATA-box-binding protein-like protein,20201220,-
212035,9925079,L454,MIMI_gp0488,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925080,R455,MIMI_gp0489,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925081,L456,MIMI_gp0490,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925082,R457,MIMI_gp0491,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925083,R458,MIMI_gp0492,-,-,-,-,putative translation initiation factor 4a,protein-coding,-,-,-,putative translation initiation factor 4a,20201220,-
212035,9925084,R459,MIMI_gp0493,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925085,L460,MIMI_gp0494,-,-,-,-,probable ubiquitin-conjugating enzyme E2,protein-coding,-,-,-,probable ubiquitin-conjugating enzyme E2,20201220,-
212035,9925086,L461,MIMI_gp0495,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925087,L462,MIMI_gp0496,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925088,R463,MIMI_gp0497,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925089,R464,MIMI_gp0498,-,-,-,-,protein translation factor SUI1-like protein,protein-coding,-,-,-,protein translation factor SUI1-like protein,20201220,-
212035,9925090,R465,MIMI_gp0499,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925091,R466,MIMI_gp0500,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925092,R467,MIMI_gp0501,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925093,L469,MIMI_gp0502,-,-,-,-,putative bifunctional polynucleotide phosphatase/kinase,protein-coding,-,-,-,putative bifunctional polynucleotide phosphatase/kinase,20201220,-
212035,9925094,R468,MIMI_gp0503,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925095,R470,MIMI_gp0504,-,-,-,-,putative DNA directed RNA polymerase subunit,protein-coding,-,-,-,putative DNA directed RNA polymerase subunit,20201220,-
212035,9925096,L471,MIMI_gp0505,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925097,R472,MIMI_gp0506,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925098,R473,MIMI_gp0507,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925099,R474,MIMI_gp0508,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925100,R475,MIMI_gp0509,-,-,-,-,glutamine-dependent asparagine synthetase,protein-coding,-,-,-,glutamine-dependent asparagine synthetase,20201220,-
212035,9925101,R476,MIMI_gp0510,-,-,-,-,putative AAA family ATPase,protein-coding,-,-,-,putative AAA family ATPase,20201220,-
212035,9925102,R476b,MIMI_gp0511,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925103,L477,MIMI_gp0512,-,-,-,-,uncharacterized peptidase C1-like protein,protein-coding,-,-,-,uncharacterized peptidase C1-like protein,20201220,-
212035,9925104,L478,MIMI_gp0513,-,-,-,-,putative replication factor C small subunit,protein-coding,-,-,-,putative replication factor C small subunit,20201220,-
212035,9925105,L479,MIMI_gp0514,-,-,-,-,putative pyrophosphohydrolase,protein-coding,-,-,-,putative pyrophosphohydrolase,20201220,-
212035,9925106,R480,MIMI_gp0515,-,-,-,-,DNA topoisomerase 2,protein-coding,-,-,-,DNA topoisomerase 2,20201220,-
212035,9925107,R481,MIMI_gp0516,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925108,L482,MIMI_gp0517,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925109,L482b,MIMI_gp0518,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925110,L483,MIMI_gp0519,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925111,L484,MIMI_gp0520,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925112,L485,MIMI_gp0521,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925113,R485b,MIMI_gp0522,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925114,R486,MIMI_gp0523,-,-,-,-,putative PAN domain-containing protein,protein-coding,-,-,-,putative PAN domain-containing protein,20201220,-
212035,9925115,L487,MIMI_gp0524,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925116,L487b,MIMI_gp0525,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925117,L488,MIMI_gp0526,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925118,R489,MIMI_gp0527,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925119,L489b,MIMI_gp0528,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925120,L490,MIMI_gp0529,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925121,L491,MIMI_gp0530,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925122,L492,MIMI_gp0531,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925123,R493,MIMI_gp0532,-,-,-,-,probable DNA polymerase sliding clamp,protein-coding,-,-,-,probable DNA polymerase sliding clamp,20201220,-
212035,9925124,L494,MIMI_gp0533,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925125,R495,MIMI_gp0534,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925126,L496,MIMI_gp0535,-,-,-,-,eukaryotic translation initiation factor 4E-like protein,protein-coding,-,-,-,eukaryotic translation initiation factor 4E-like protein,20201220,-
212035,9925127,R497,MIMI_gp0536,-,-,-,-,bifunctional dihydrofolate reductase-thymidylate synthase,protein-coding,-,-,-,bifunctional dihydrofolate reductase-thymidylate synthase,20201220,-
212035,9925128,L500b,MIMI_gs0023,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9925129,L498,MIMI_gp0537,-,-,-,-,probable zinc-type alcohol dehydrogenase-like protein,protein-coding,-,-,-,probable zinc-type alcohol dehydrogenase-like protein,20201220,-
212035,9925130,L499,MIMI_gp0538,-,-,-,-,putative replication factor C small subunit,protein-coding,-,-,-,putative replication factor C small subunit,20201220,-
212035,9925131,R500,MIMI_gp0539,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925132,R501,MIMI_gp0540,-,-,-,-,DNA-directed RNA polymerase subunit 1,protein-coding,-,-,-,DNA-directed RNA polymerase subunit 1,20201220,-
212035,9925133,R502,MIMI_gp0541,-,-,-,-,putative intron encoded endonuclease,protein-coding,-,-,-,putative intron encoded endonuclease,20201220,-
212035,9925134,R503,MIMI_gp0542,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925135,L504,MIMI_gp0543,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925136,R505,MIMI_gp0544,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925137,R506,MIMI_gp0545,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925138,L507,MIMI_gp0546,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925139,R508,MIMI_gp0547,-,-,-,-,putative SWIB domain-containing protein,protein-coding,-,-,-,putative SWIB domain-containing protein,20201220,-
212035,9925140,L509,MIMI_gp0548,-,-,-,-,putative metallo-dependent phosphatase,protein-coding,-,-,-,putative metallo-dependent phosphatase,20201220,-
212035,9925141,R510,MIMI_gp0549,-,-,-,-,putative replication factor C small subunit,protein-coding,-,-,-,putative replication factor C small subunit,20201220,-
212035,9925142,L511,MIMI_gp0550,-,-,-,-,putative FtsJ-like methyltransferase,protein-coding,-,-,-,putative FtsJ-like methyltransferase,20201220,-
212035,9925143,R512,MIMI_gp0551,-,-,-,-,putative deoxynucleotide monophosphate kinase,protein-coding,-,-,-,putative deoxynucleotide monophosphate kinase,20201220,-
212035,9925144,R513,MIMI_gp0552,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925145,R513b,MIMI_gp0553,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925146,R514,MIMI_gp0554,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925147,L515,MIMI_gp0555,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925148,L516,MIMI_gp0556,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925149,L516b,MIMI_gp0557,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925150,R517/R518,MIMI_gp0558,-,-,-,-,putative serine threonine-protein kinase,protein-coding,-,-,-,putative serine threonine-protein kinase,20201220,-
212035,9925151,R518b,MIMI_gp0559,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925152,R519,MIMI_gp0560,-,-,-,-,putative zinc metalloproteinase,protein-coding,-,-,-,putative zinc metalloproteinase,20201220,-
212035,9925153,L520,MIMI_gp0561,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20201220,-
212035,9925154,R521,MIMI_gp0562,-,-,-,-,probable ubiquitin-conjugating enzyme E2,protein-coding,-,-,-,probable ubiquitin-conjugating enzyme E2,20201220,-
212035,9925155,L523,MIMI_gp0563,-,-,-,-,putative rhomboid protein,protein-coding,-,-,-,putative rhomboid protein,20201220,-
212035,9925156,R522,MIMI_gp0564,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925157,L524,MIMI_gp0565,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925158,R525,MIMI_gp0566,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925159,R526,MIMI_gp0567,-,-,-,-,putative alpha/beta hydrolase,protein-coding,-,-,-,putative alpha/beta hydrolase,20201220,-
212035,9925160,R527/R528,MIMI_gp0568,-,-,-,-,putative 5'-3' exonuclease 20,protein-coding,-,-,-,putative 5'-3' exonuclease 20,20201220,-
212035,9925161,L529,MIMI_gp0569,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925162,R530,MIMI_gp0570,-,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201220,-
212035,9925163,L531,MIMI_gp0571,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925164,L532,MIMI_gp0572,-,-,-,-,cytochrome 450-like protein,protein-coding,-,-,-,cytochrome 450-like protein,20201220,-
212035,9925165,L533,MIMI_gp0573,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925166,L534,MIMI_gp0574,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925167,R535,MIMI_gp0575,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925168,L536,MIMI_gp0576,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925169,L537,MIMI_gp0577,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925170,L538,MIMI_gp0578,-,-,-,-,putative ATP-dependent RNA helicase,protein-coding,-,-,-,putative ATP-dependent RNA helicase,20201220,-
212035,9925171,R538b,MIMI_gp0579,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925172,R538c,MIMI_gp0580,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925173,L539,MIMI_gp0581,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925174,L540,MIMI_gp0582,-,-,-,-,putative ATP-dependent RNA helicase,protein-coding,-,-,-,putative ATP-dependent RNA helicase,20201220,-
212035,9925175,R541,MIMI_gp0583,-,-,-,-,putative potassium channel voltage dependent tetramerization domain protein,protein-coding,-,-,-,putative potassium channel voltage dependent tetramerization domain protein,20201220,-
212035,9925176,R542,MIMI_gp0584,-,-,-,-,putative F-box/LRR-repeat protein,protein-coding,-,-,-,putative F-box/LRR-repeat protein,20201220,-
212035,9925177,L543,MIMI_gp0585,-,-,-,-,putative ADP-ribosyl glycohydrolase,protein-coding,-,-,-,putative ADP-ribosyl glycohydrolase,20201220,-
212035,9925178,L544,MIMI_gp0586,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
