#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
4956,5848217,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Saccharomyces rouxii).,other,-,-,-,-,20181022,-
4956,8203670,ZYRO0C18458g,ZYRO0C18458g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203671,ZYRO0C18480g,ZYRO0C18480g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203672,ZYRO0C18502g,ZYRO0C18502g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203673,ZYRO0C18524g,ZYRO0C18524g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203674,ZYRO0C18546g,ZYRO0C18546g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203675,ZYRO0C18568g,ZYRO0C18568g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203676,ZYRO0C18590g,ZYRO0C18590g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203677,ZYRO0C18612g,ZYRO0C18612g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203678,ZYRO0C06600g,ZYRO0C06600g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203679,ZYRO0C14608g,ZYRO0C14608g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20180130,-
4956,8203680,ZYRO0C02068g,ZYRO0C02068g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203681,ZYRO0C17380g,ZYRO0C17380g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203682,SNR70,ZYRO0C17336r,-,-,C,-,ncRNA,ncRNA,-,-,-,-,20170926,-
4956,8203683,ZYRO0C12122g,ZYRO0C12122g,-,-,C,-,40S ribosomal protein S22,protein-coding,-,-,-,-,20180130,-
4956,8203684,ZYRO0C13508g,ZYRO0C13508g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203685,SNR41,ZYRO0C17358r,-,-,C,-,ncRNA,ncRNA,-,-,-,-,20170926,-
4956,8203686,ZYRO0C00110g,ZYRO0C00110g,-,-,C,-,uncharacterized protein,protein-coding,-,-,-,-,20170926,-
4956,8203687,ZYRO0D00176g,ZYRO0D00176g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203688,ZYRO0D00220g,ZYRO0D00220g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203689,ZYRO0D00242g,ZYRO0D00242g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203690,ZYRO0D00264g,ZYRO0D00264g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203691,ZYRO0D00286g,ZYRO0D00286g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203692,ZYRO0D00330g,ZYRO0D00330g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203693,ZYRO0D00352g,ZYRO0D00352g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203694,ZYRO0D00374r,ZYRO0D00374r,-,-,D,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8203695,ZYRO0D00396g,ZYRO0D00396g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203696,ZYRO0D00418g,ZYRO0D00418g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203697,ZYRO0D00440g,ZYRO0D00440g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203698,ZYRO0D00462g,ZYRO0D00462g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203699,ZYRO0D00484g,ZYRO0D00484g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203700,ZYRO0D00506g,ZYRO0D00506g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203701,ZYRO0D00528g,ZYRO0D00528g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203702,ZYRO0D00550g,ZYRO0D00550g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203703,ZYRO0D00572g,ZYRO0D00572g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203704,ZYRO0D00594g,ZYRO0D00594g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203705,ZYRO0D00616g,ZYRO0D00616g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203706,ZYRO0D00638g,ZYRO0D00638g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203707,ZYRO0D00660g,ZYRO0D00660g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203708,ZYRO0D00682g,ZYRO0D00682g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203709,ZYRO0D00704g,ZYRO0D00704g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203710,ZYRO0D00726g,ZYRO0D00726g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203711,ZYRO0D00748g,ZYRO0D00748g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203712,ZYRO0D00770g,ZYRO0D00770g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203713,ZYRO0D00792r,ZYRO0D00792r,-,-,D,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8203714,ZYRO0D00814g,ZYRO0D00814g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203715,ZYRO0D00836g,ZYRO0D00836g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203716,ZYRO0D00858g,ZYRO0D00858g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203717,ZYRO0D00880g,ZYRO0D00880g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203718,ZYRO0D00902g,ZYRO0D00902g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203719,ZYRO0D00924g,ZYRO0D00924g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203720,ZYRO0D00946g,ZYRO0D00946g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203721,ZYRO0D00968g,ZYRO0D00968g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203722,ZYRO0D00990g,ZYRO0D00990g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203723,ZYRO0D01012g,ZYRO0D01012g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203724,ZYRO0D01034r,ZYRO0D01034r,-,-,D,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8203725,ZYRO0D01056g,ZYRO0D01056g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203726,ZYRO0D01078g,ZYRO0D01078g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203727,ZYRO0D01100g,ZYRO0D01100g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203728,ZYRO0D01122g,ZYRO0D01122g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203729,ZYRO0D01144g,ZYRO0D01144g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203730,ZYRO0D01166g,ZYRO0D01166g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203731,ZYRO0D01188g,ZYRO0D01188g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203732,ZYRO0D01210g,ZYRO0D01210g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203733,ZYRO0D01232g,ZYRO0D01232g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203734,ZYRO0D01254g,ZYRO0D01254g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203735,ZYRO0D01276g,ZYRO0D01276g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203736,ZYRO0D01298g,ZYRO0D01298g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203737,ZYRO0D01320r,ZYRO0D01320r,-,-,D,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8203738,ZYRO0D01342r,ZYRO0D01342r,-,-,D,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8203739,ZYRO0D01364g,ZYRO0D01364g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203740,ZYRO0D01386g,ZYRO0D01386g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203741,ZYRO0D01408g,ZYRO0D01408g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203742,ZYRO0D01430g,ZYRO0D01430g,-,-,D,-,mitochondrial 37S ribosomal protein MRP2,protein-coding,-,-,-,-,20170926,-
4956,8203743,ZYRO0D01452g,ZYRO0D01452g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203744,ZYRO0D01474g,ZYRO0D01474g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203745,ZYRO0D01496g,ZYRO0D01496g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203746,ZYRO0D01518g,ZYRO0D01518g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203747,ZYRO0D01540g,ZYRO0D01540g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203748,ZYRO0D01562g,ZYRO0D01562g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203749,ZYRO0D01584g,ZYRO0D01584g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203750,ZYRO0D01606g,ZYRO0D01606g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203751,ZYRO0D01628g,ZYRO0D01628g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203752,ZYRO0D01650g,ZYRO0D01650g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203753,ZYRO0D01672g,ZYRO0D01672g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203754,ZYRO0D01694g,ZYRO0D01694g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203755,ZYRO0D01716g,ZYRO0D01716g,-,-,D,-,40S ribosomal protein S5,protein-coding,-,-,-,-,20170926,-
4956,8203756,ZYRO0D01738g,ZYRO0D01738g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203757,ZYRO0D01760g,ZYRO0D01760g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203758,ZYRO0D01782g,ZYRO0D01782g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203759,ZYRO0D01804g,ZYRO0D01804g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203760,ZYRO0D01826g,ZYRO0D01826g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203761,ZYRO0D01848g,ZYRO0D01848g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203762,ZYRO0D01870g,ZYRO0D01870g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203763,ZYRO0D01892g,ZYRO0D01892g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203764,ZYRO0D01914g,ZYRO0D01914g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203765,ZYRO0D01936g,ZYRO0D01936g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203766,ZYRO0D01958g,ZYRO0D01958g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203767,ZYRO0D01980g,ZYRO0D01980g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203768,ZYRO0D02002g,ZYRO0D02002g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203769,ZYRO0D02024g,ZYRO0D02024g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203770,ZYRO0D02046g,ZYRO0D02046g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203771,ZYRO0D02068g,ZYRO0D02068g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203772,ZYRO0D02090g,ZYRO0D02090g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203773,ZYRO0D02112g,ZYRO0D02112g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203774,SNR128,ZYRO0D02134r,-,-,D,-,ncRNA,ncRNA,-,-,-,-,20170926,-
4956,8203775,ZYRO0D02200g,ZYRO0D02200g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203776,ZYRO0D02222g,ZYRO0D02222g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203777,ZYRO0D02244g,ZYRO0D02244g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203778,ZYRO0D02266g,ZYRO0D02266g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203779,ZYRO0D02288g,ZYRO0D02288g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203780,ZYRO0D02310g,ZYRO0D02310g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203781,ZYRO0D02332g,ZYRO0D02332g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203782,ZYRO0D02354g,ZYRO0D02354g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203783,ZYRO0D02376g,ZYRO0D02376g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203784,ZYRO0D02398g,ZYRO0D02398g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203785,ZYRO0D02420g,ZYRO0D02420g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203786,ZYRO0D02442g,ZYRO0D02442g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203787,ZYRO0D02464g,ZYRO0D02464g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203788,ZYRO0D02486g,ZYRO0D02486g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203789,ZYRO0D02508g,ZYRO0D02508g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203790,ZYRO0D02530g,ZYRO0D02530g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203791,ZYRO0D02552g,ZYRO0D02552g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203792,ZYRO0D02574g,ZYRO0D02574g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203793,ZYRO0D02596g,ZYRO0D02596g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203794,ZYRO0D02618g,ZYRO0D02618g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203795,ZYRO0D02640g,ZYRO0D02640g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203796,ZYRO0D02662g,ZYRO0D02662g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203797,ZYRO0D02684g,ZYRO0D02684g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203798,ZYRO0D02706r,ZYRO0D02706r,-,-,D,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8203799,ZYRO0D02728g,ZYRO0D02728g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203800,ZYRO0D02750g,ZYRO0D02750g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203801,ZYRO0D02772g,ZYRO0D02772g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203802,ZYRO0D02794g,ZYRO0D02794g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203803,ZYRO0D02816g,ZYRO0D02816g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203804,ZYRO0D02838g,ZYRO0D02838g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203805,ZYRO0D02860g,ZYRO0D02860g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203806,ZYRO0D02882g,ZYRO0D02882g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203807,ZYRO0D02904g,ZYRO0D02904g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203808,ZYRO0D02926g,ZYRO0D02926g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203809,ZYRO0D02948g,ZYRO0D02948g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203810,ZYRO0D02970g,ZYRO0D02970g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203811,ZYRO0D02992g,ZYRO0D02992g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203812,ZYRO0D03014g,ZYRO0D03014g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203813,ZYRO0D03036g,ZYRO0D03036g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203814,ZYRO0D03058g,ZYRO0D03058g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203815,ZYRO0D03080g,ZYRO0D03080g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203816,ZYRO0D03102g,ZYRO0D03102g,-,-,D,-,40S ribosomal protein S21,protein-coding,-,-,-,-,20170926,-
4956,8203817,ZYRO0D03124g,ZYRO0D03124g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203818,ZYRO0D03146g,ZYRO0D03146g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203819,ZYRO0D03168g,ZYRO0D03168g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203820,ZYRO0D03190g,ZYRO0D03190g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203821,ZYRO0D03212g,ZYRO0D03212g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203822,ZYRO0D03234g,ZYRO0D03234g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203823,ZYRO0D03256g,ZYRO0D03256g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203824,ZYRO0D03278g,ZYRO0D03278g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203825,ZYRO0D03300g,ZYRO0D03300g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203826,ZYRO0D03322g,ZYRO0D03322g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203827,ZYRO0D03344g,ZYRO0D03344g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203828,ZYRO0D03366g,ZYRO0D03366g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203829,ZYRO0D03388g,ZYRO0D03388g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203830,ZYRO0D03410g,ZYRO0D03410g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203831,ZYRO0D03432g,ZYRO0D03432g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203832,ZYRO0D03454g,ZYRO0D03454g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203833,ZYRO0D03476g,ZYRO0D03476g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203834,ZYRO0D03498g,ZYRO0D03498g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203835,ZYRO0D03520g,ZYRO0D03520g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203836,ZYRO0D03542g,ZYRO0D03542g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203837,ZYRO0D03564g,ZYRO0D03564g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203838,ZYRO0D03586g,ZYRO0D03586g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203839,ZYRO0D03608g,ZYRO0D03608g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203840,ZYRO0D03630g,ZYRO0D03630g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203841,ZYRO0D03652g,ZYRO0D03652g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203842,ZYRO0D03674g,ZYRO0D03674g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203843,ZYRO0D03696g,ZYRO0D03696g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203844,ZYRO0D03718g,ZYRO0D03718g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203845,ZYRO0D03740r,ZYRO0D03740r,-,-,D,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8203846,ZYRO0D03762g,ZYRO0D03762g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203847,ZYRO0D03784g,ZYRO0D03784g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203848,ZYRO0D03806g,ZYRO0D03806g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203849,ZYRO0D03828g,ZYRO0D03828g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203850,ZYRO0D03850g,ZYRO0D03850g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203851,ZYRO0D03872g,ZYRO0D03872g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203852,ZYRO0D03894g,ZYRO0D03894g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203853,ZYRO0D03916g,ZYRO0D03916g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203854,ZYRO0D03938g,ZYRO0D03938g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203855,ZYRO0D03960g,ZYRO0D03960g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203856,ZYRO0D03982g,ZYRO0D03982g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203857,ZYRO0D04004g,ZYRO0D04004g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203858,ZYRO0D04026g,ZYRO0D04026g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203859,ZYRO0D04048g,ZYRO0D04048g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203860,ZYRO0D04070g,ZYRO0D04070g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203861,ZYRO0D04092g,ZYRO0D04092g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203862,ZYRO0D04114g,ZYRO0D04114g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203863,ZYRO0D04136r,ZYRO0D04136r,-,-,D,-,tRNA,tRNA,-,-,-,-,20170926,-
4956,8203864,ZYRO0D04158g,ZYRO0D04158g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203865,ZYRO0D04180g,ZYRO0D04180g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203866,ZYRO0D04202g,ZYRO0D04202g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203867,ZYRO0D04224g,ZYRO0D04224g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203868,ZYRO0D04246g,ZYRO0D04246g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203869,ZYRO0D04268g,ZYRO0D04268g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203870,ZYRO0D04290g,ZYRO0D04290g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203871,ZYRO0D04312g,ZYRO0D04312g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203872,ZYRO0D04334g,ZYRO0D04334g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203873,ZYRO0D04356g,ZYRO0D04356g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203874,ZYRO0D04378g,ZYRO0D04378g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203875,ZYRO0D04400g,ZYRO0D04400g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203876,ZYRO0D04422g,ZYRO0D04422g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203877,ZYRO0D04444g,ZYRO0D04444g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203878,ZYRO0D04466g,ZYRO0D04466g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203879,ZYRO0D04488g,ZYRO0D04488g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
4956,8203880,ZYRO0D04510g,ZYRO0D04510g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
4956,8203881,ZYRO0D04532g,ZYRO0D04532g,-,-,D,-,hypothetical protein,protein-coding,-,-,-,-,20170926,-
