#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
192010,26836085,nad3,AYC56_gp02,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20210607,-
192010,65087808,FMAN_08548,FMAN_08548,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087809,FMAN_08549,FMAN_08549,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087810,FMAN_08550,FMAN_08550,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087811,FMAN_08551,FMAN_08551,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087812,FMAN_08552,FMAN_08552,-,-,Unknown,-,putative maltose permease (MalP),protein-coding,-,-,-,putative maltose permease (MalP),20210607,-
192010,65087813,FMAN_08553,FMAN_08553,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087814,FMAN_08554,FMAN_08554,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087815,FMAN_08555,FMAN_08555,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087816,FMAN_08556,FMAN_08556,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087817,FMAN_08557,FMAN_08557,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087818,FMAN_08558,FMAN_08558,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087819,FMAN_08559,FMAN_08559,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087820,FMAN_08560,FMAN_08560,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087821,FMAN_08561,FMAN_08561,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087822,FMAN_08562,FMAN_08562,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087823,FMAN_08563,FMAN_08563,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087824,FMAN_08564,FMAN_08564,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087825,FMAN_08565,FMAN_08565,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087826,FMAN_08566,FMAN_08566,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087827,FMAN_08567,FMAN_08567,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087828,FMAN_08568,FMAN_08568,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087829,FMAN_08569,FMAN_08569,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087830,FMAN_08570,FMAN_08570,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087831,FMAN_08571,FMAN_08571,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087832,FMAN_08572,FMAN_08572,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087833,FMAN_08573,FMAN_08573,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087834,FMAN_08574,FMAN_08574,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087835,FMAN_08575,FMAN_08575,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087836,FMAN_08576,FMAN_08576,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087837,FMAN_08577,FMAN_08577,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087838,FMAN_08578,FMAN_08578,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087839,FMAN_08579,FMAN_08579,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087840,FMAN_08580,FMAN_08580,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087841,FMAN_08581,FMAN_08581,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087842,FMAN_08582,FMAN_08582,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087843,FMAN_08583,FMAN_08583,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087844,FMAN_08584,FMAN_08584,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087845,FMAN_08585,FMAN_08585,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087846,FMAN_08586,FMAN_08586,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087847,FMAN_08587,FMAN_08587,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087848,FMAN_08588,FMAN_08588,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087849,FMAN_08589,FMAN_08589,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087850,FMAN_08590,FMAN_08590,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087851,FMAN_08591,FMAN_08591,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087852,FMAN_08592,FMAN_08592,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087853,FMAN_08593,FMAN_08593,-,-,Unknown,-,Transcription factor IWS1,protein-coding,-,-,-,Transcription factor IWS1,20210607,-
192010,65087854,FMAN_08594,FMAN_08594,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087855,FMAN_08595,FMAN_08595,-,-,Unknown,-,putative dis1-suppressing protein kinase dsk1,protein-coding,-,-,-,putative dis1-suppressing protein kinase dsk1,20210607,-
192010,65087856,FMAN_08596,FMAN_08596,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087857,FMAN_08597,FMAN_08597,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087858,FMAN_08598,FMAN_08598,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087859,FMAN_08599,FMAN_08599,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087860,FMAN_08600,FMAN_08600,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087861,FMAN_08601,FMAN_08601,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087862,FMAN_08602,FMAN_08602,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087863,FMAN_08603,FMAN_08603,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087864,FMAN_08604,FMAN_08604,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087865,FMAN_08605,FMAN_08605,-,-,Unknown,-,putative zuotin,protein-coding,-,-,-,putative zuotin,20210607,-
192010,65087866,FMAN_08606,FMAN_08606,-,-,Unknown,-,"putative Mitochondrial zinc maintenance protein 1, mitochondrial",protein-coding,-,-,-,"putative Mitochondrial zinc maintenance protein 1, mitochondrial",20210607,-
192010,65087867,FMAN_08607,FMAN_08607,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087868,FMAN_08608,FMAN_08608,-,-,Unknown,-,putative DELTA(24)-STEROL C-METHYLTRANSFERASE (ERG6),protein-coding,-,-,-,putative DELTA(24)-STEROL C-METHYLTRANSFERASE (ERG6),20210607,-
192010,65087869,FMAN_08609,FMAN_08609,-,-,Unknown,-,putative pyruvate dehydrogenase (lipoamide) beta chain precursor (PDB1),protein-coding,-,-,-,putative pyruvate dehydrogenase (lipoamide) beta chain precursor (PDB1),20210607,-
192010,65087870,FMAN_08610,FMAN_08610,-,-,Unknown,-,putative SKI2-antiviral protein and putative helicase,protein-coding,-,-,-,putative SKI2-antiviral protein and putative helicase,20210607,-
192010,65087871,FMAN_08611,FMAN_08611,-,-,Unknown,-,putative class E vacuolar-protein sorting and endocytosis factor,protein-coding,-,-,-,putative class E vacuolar-protein sorting and endocytosis factor,20210607,-
192010,65087872,FMAN_08612,FMAN_08612,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087873,FMAN_08613,FMAN_08613,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087874,FMAN_08614,FMAN_08614,-,-,Unknown,-,putative NADH-ubiquinone oxidoreductase 21 kDa subunit,protein-coding,-,-,-,putative NADH-ubiquinone oxidoreductase 21 kDa subunit,20210607,-
192010,65087875,FMAN_08615,FMAN_08615,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087876,FMAN_08616,FMAN_08616,-,-,Unknown,-,putative permeases,protein-coding,-,-,-,putative permeases,20210607,-
192010,65087877,FMAN_08617,FMAN_08617,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087878,FMAN_08618,FMAN_08618,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087879,FMAN_08619,FMAN_08619,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087880,FMAN_08620,FMAN_08620,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087881,FMAN_08621,FMAN_08621,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087882,FMAN_08622,FMAN_08622,-,-,Unknown,-,putative TAD2-tRNA-specific adenosine deaminase 2,protein-coding,-,-,-,putative TAD2-tRNA-specific adenosine deaminase 2,20210607,-
192010,65087883,FMAN_08623,FMAN_08623,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087884,FMAN_08624,FMAN_08624,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087885,FMAN_08625,FMAN_08625,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087886,FMAN_08626,FMAN_08626,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087887,FMAN_08627,FMAN_08627,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087888,FMAN_08628,FMAN_08628,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087889,FMAN_08629,FMAN_08629,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087890,FMAN_08630,FMAN_08630,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087891,FMAN_08631,FMAN_08631,-,-,Unknown,-,putative alpha-N-arabinofuranosidase / alpha-L-arabinofuranosidase,protein-coding,-,-,-,putative alpha-N-arabinofuranosidase / alpha-L-arabinofuranosidase,20210607,-
192010,65087892,FMAN_08632,FMAN_08632,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087893,FMAN_08633,FMAN_08633,-,-,Unknown,-,putative glucosamine-phosphate N-acetyltransferase,protein-coding,-,-,-,putative glucosamine-phosphate N-acetyltransferase,20210607,-
192010,65087894,FMAN_08634,FMAN_08634,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087895,FMAN_08635,FMAN_08635,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087896,FMAN_08636,FMAN_08636,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087897,FMAN_08637,FMAN_08637,-,-,Unknown,-,putative aldehyde reductase,protein-coding,-,-,-,putative aldehyde reductase,20210607,-
192010,65087898,FMAN_08638,FMAN_08638,-,-,Unknown,-,"putative syntaxin, vesicular transport protein",protein-coding,-,-,-,"putative syntaxin, vesicular transport protein",20210607,-
192010,65087899,FMAN_08639,FMAN_08639,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087900,FMAN_08640,FMAN_08640,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087901,FMAN_08641,FMAN_08641,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087902,FMAN_08642,FMAN_08642,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087903,FMAN_08643,FMAN_08643,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087904,FMAN_08644,FMAN_08644,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087905,FMAN_08645,FMAN_08645,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087906,FMAN_08646,FMAN_08646,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087907,FMAN_08647,FMAN_08647,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087908,FMAN_08648,FMAN_08648,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087909,FMAN_08649,FMAN_08649,-,-,Unknown,-,putative mitochondrial carrier protein,protein-coding,-,-,-,putative mitochondrial carrier protein,20210607,-
192010,65087910,FMAN_08650,FMAN_08650,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087911,FMAN_08651,FMAN_08651,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087912,FMAN_08652,FMAN_08652,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087913,FMAN_08653,FMAN_08653,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087914,FMAN_08654,FMAN_08654,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087915,FMAN_08655,FMAN_08655,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087916,FMAN_08656,FMAN_08656,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087917,FMAN_08657,FMAN_08657,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087918,FMAN_08658,FMAN_08658,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087919,FMAN_08659,FMAN_08659,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087920,FMAN_08660,FMAN_08660,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087921,FMAN_08661,FMAN_08661,-,-,Unknown,-,putative ARP2/3 complex 20 kDa subunit,protein-coding,-,-,-,putative ARP2/3 complex 20 kDa subunit,20210607,-
192010,65087922,FMAN_08662,FMAN_08662,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087923,FMAN_08663,FMAN_08663,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087924,FMAN_08664,FMAN_08664,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087925,FMAN_08665,FMAN_08665,-,-,Unknown,-,putative Palmitoyltransferase PFA5,protein-coding,-,-,-,putative Palmitoyltransferase PFA5,20210607,-
192010,65087926,FMAN_08666,FMAN_08666,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087927,FMAN_08667,FMAN_08667,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087928,FMAN_08668,FMAN_08668,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087929,FMAN_08669,FMAN_08669,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087930,FMAN_08670,FMAN_08670,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087931,FMAN_08671,FMAN_08671,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087932,FMAN_08672,FMAN_08672,-,-,Unknown,-,related to importin beta homolog Kap119p,protein-coding,-,-,-,related to importin beta homolog Kap119p,20210607,-
192010,65087933,FMAN_08673,FMAN_08673,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087934,FMAN_08674,FMAN_08674,-,-,Unknown,-,IMP-specific 5'-nucleotidase 1,protein-coding,-,-,-,IMP-specific 5'-nucleotidase 1,20210607,-
192010,65087935,FMAN_08675,FMAN_08675,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087936,FMAN_08676,FMAN_08676,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087937,FMAN_08677,FMAN_08677,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087938,FMAN_08678,FMAN_08678,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087939,FMAN_08679,FMAN_08679,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087940,FMAN_08680,FMAN_08680,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087941,FMAN_08681,FMAN_08681,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087942,FMAN_08682,FMAN_08682,-,-,Unknown,-,putative AMI1 protein,protein-coding,-,-,-,putative AMI1 protein,20210607,-
192010,65087943,FMAN_08683,FMAN_08683,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087944,FMAN_08684,FMAN_08684,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087945,FMAN_08685,FMAN_08685,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087946,FMAN_08686,FMAN_08686,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087947,FMAN_08687,FMAN_08687,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087948,FMAN_08688,FMAN_08688,-,-,Unknown,-,putative catalytic subunit of DNA polymerase zeta UPR-1,protein-coding,-,-,-,putative catalytic subunit of DNA polymerase zeta UPR-1,20210607,-
192010,65087949,FMAN_08689,FMAN_08689,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087950,FMAN_08690,FMAN_08690,-,-,Unknown,-,putative 40S ribosomal protein S9 (S7),protein-coding,-,-,-,putative 40S ribosomal protein S9 (S7),20210607,-
192010,65087951,FMAN_08691,FMAN_08691,-,-,Unknown,-,"putative ribosomal protein L21.e.A, cytosolic",protein-coding,-,-,-,"putative ribosomal protein L21.e.A, cytosolic",20210607,-
192010,65087952,FMAN_08692,FMAN_08692,-,-,Unknown,-,putative cytoskeleton assembly control protein SLA2,protein-coding,-,-,-,putative cytoskeleton assembly control protein SLA2,20210607,-
192010,65087953,FMAN_08693,FMAN_08693,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087954,FMAN_08694,FMAN_08694,-,-,Unknown,-,mating type protein,protein-coding,-,-,-,mating type protein,20210607,-
192010,65087955,FMAN_08695,FMAN_08695,-,-,Unknown,-,"related to APN2-AP endonuclease, exonuclease III homolog",protein-coding,-,-,-,"related to APN2-AP endonuclease, exonuclease III homolog",20210607,-
192010,65087956,FMAN_08696,FMAN_08696,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087957,FMAN_08697,FMAN_08697,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087958,FMAN_08698,FMAN_08698,-,-,Unknown,-,"putative complex I intermediate-associated protein CIA30 precursor, mitochondrial",protein-coding,-,-,-,"putative complex I intermediate-associated protein CIA30 precursor, mitochondrial",20210607,-
192010,65087959,FMAN_08699,FMAN_08699,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087960,FMAN_08700,FMAN_08700,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087961,FMAN_08701,FMAN_08701,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087962,FMAN_08702,FMAN_08702,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087963,FMAN_08703,FMAN_08703,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087964,FMAN_08704,FMAN_08704,-,-,Unknown,-,putative translation initiation factor SUI1,protein-coding,-,-,-,putative translation initiation factor SUI1,20210607,-
192010,65087965,FMAN_08705,FMAN_08705,-,-,Unknown,-,putative tRNA (uracil-O(2)-)-methyltransferase,protein-coding,-,-,-,putative tRNA (uracil-O(2)-)-methyltransferase,20210607,-
192010,65087966,FMAN_08706,FMAN_08706,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087967,FMAN_08707,FMAN_08707,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087968,FMAN_08708,FMAN_08708,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087969,FMAN_08709,FMAN_08709,-,-,Unknown,-,related to Calcium_related spray protein,protein-coding,-,-,-,related to Calcium_related spray protein,20210607,-
192010,65087970,FMAN_08710,FMAN_08710,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087971,FMAN_08711,FMAN_08711,-,-,Unknown,-,putative sulfate adenylyltransferase,protein-coding,-,-,-,putative sulfate adenylyltransferase,20210607,-
192010,65087972,FMAN_08712,FMAN_08712,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087973,FMAN_08713,FMAN_08713,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087974,FMAN_08714,FMAN_08714,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087975,FMAN_08715,FMAN_08715,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087976,FMAN_08716,FMAN_08716,-,-,Unknown,-,putative protein transport protein Sec61 subunit gamma,protein-coding,-,-,-,putative protein transport protein Sec61 subunit gamma,20210607,-
192010,65087977,FMAN_08717,FMAN_08717,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087978,FMAN_08718,FMAN_08718,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087979,FMAN_08719,FMAN_08719,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087980,FMAN_08720,FMAN_08720,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087981,FMAN_08721,FMAN_08721,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087982,FMAN_08722,FMAN_08722,-,-,Unknown,-,putative ATP-binding protein PRP16,protein-coding,-,-,-,putative ATP-binding protein PRP16,20210607,-
192010,65087983,FMAN_08723,FMAN_08723,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087984,FMAN_08724,FMAN_08724,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087985,FMAN_08725,FMAN_08725,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087986,FMAN_08726,FMAN_08726,-,-,Unknown,-,"putative COQ4 protein, responsible for restoring ubiquinone biosynthesis",protein-coding,-,-,-,"putative COQ4 protein, responsible for restoring ubiquinone biosynthesis",20210607,-
192010,65087987,FMAN_08727,FMAN_08727,-,-,Unknown,-,putative programed cell death protein,protein-coding,-,-,-,putative programed cell death protein,20210607,-
192010,65087988,FMAN_08728,FMAN_08728,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087989,FMAN_08729,FMAN_08729,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087990,FMAN_08730,FMAN_08730,-,-,Unknown,-,putative asparaginyl-tRNA-synthetase,protein-coding,-,-,-,putative asparaginyl-tRNA-synthetase,20210607,-
192010,65087991,FMAN_08731,FMAN_08731,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
192010,65087992,FMAN_08732,FMAN_08732,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210607,-
