#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
185431,2828229,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Trypanosoma brucei TREU927; Trypanosoma brucei brucei strain 927/4 GUTat10.1; Trypanosoma brucei strain TREU927).,other,-,-,-,-,20200224,-
185431,3661705,Tb10.389.0080,Tb10.389.0080,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661706,Tb10.389.0070,Tb10.389.0070,-,-,10,-,"elongation factor TU, putative",protein-coding,-,-,-,"elongation factor TU, putative",20200919,-
185431,3661707,Tb10.389.0060,Tb10.389.0060,-,-,10,-,"dynein light chain, putative",protein-coding,-,-,-,"dynein light chain, putative",20200919,-
185431,3661708,Tb10.389.0050,Tb10.389.0050,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661709,Tb10_snoRNA_0029,Tb10_snoRNA_0029,-,-,10,-,ncRNA,ncRNA,-,-,-,-,20200919,-
185431,3661710,Tb10_snoRNA_0030,Tb10_snoRNA_0030,-,-,10,-,ncRNA,ncRNA,-,-,-,-,20200919,-
185431,3661711,Tb10_snoRNA_0031,Tb10_snoRNA_0031,-,-,10,-,ncRNA,ncRNA,-,-,-,-,20200919,-
185431,3661712,Tb10_snoRNA_0032,Tb10_snoRNA_0032,-,-,10,-,ncRNA,ncRNA,-,-,-,-,20200919,-
185431,3661713,Tb10_snoRNA_0033,Tb10_snoRNA_0033,-,-,10,-,ncRNA,ncRNA,-,-,-,-,20200919,-
185431,3661714,Tb10_snoRNA_0034,Tb10_snoRNA_0034,-,-,10,-,ncRNA,ncRNA,-,-,-,-,20200919,-
185431,3661715,Tb10.389.0045,Tb10.389.0045,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661716,Tb10_snoRNA_0035,Tb10_snoRNA_0035,-,-,10,-,ncRNA,ncRNA,-,-,-,-,20200919,-
185431,3661717,Tb10_snoRNA_0036,Tb10_snoRNA_0036,-,-,10,-,ncRNA,ncRNA,-,-,-,-,20200919,-
185431,3661718,Tb10_snoRNA_0037,Tb10_snoRNA_0037,-,-,10,-,ncRNA,ncRNA,-,-,-,-,20200919,-
185431,3661719,Tb10_snoRNA_0038,Tb10_snoRNA_0038,-,-,10,-,ncRNA,ncRNA,-,-,-,-,20200919,-
185431,3661720,Tb10_snoRNA_0039,Tb10_snoRNA_0039,-,-,10,-,ncRNA,ncRNA,-,-,-,-,20200919,-
185431,3661721,Tb10_snoRNA_0040,Tb10_snoRNA_0040,-,-,10,-,ncRNA,ncRNA,-,-,-,-,20200919,-
185431,3661722,Tb10_snoRNA_0041,Tb10_snoRNA_0041,-,-,10,-,ncRNA,ncRNA,-,-,-,-,20200919,-
185431,3661723,Tb10.70.3750,Tb10.70.3750,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661724,Tb10.70.3720,Tb10.70.3720,-,-,10,-,"NADH-dependent fumarate reductase, putative",protein-coding,-,-,-,"NADH-dependent fumarate reductase, putative",20200919,-
185431,3661725,Tb10.70.3710,Tb10.70.3710,-,-,10,-,aspartate aminotransferase,protein-coding,-,-,-,aspartate aminotransferase,20200919,-
185431,3661726,Tb10.70.3700,Tb10.70.3700,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661727,Tb10.6k15.0410,Tb10.6k15.0410,-,-,10,-,"60S ribosomal protein L18, putative",protein-coding,-,-,-,"60S ribosomal protein L18, putative",20200923,-
185431,3661728,Tb10.6k15.0400,Tb10.6k15.0400,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661729,Tb10.6k15.0390,Tb10.6k15.0390,-,-,10,-,"ABC1 protein, putative",protein-coding,-,-,-,"ABC1 protein, putative",20200919,-
185431,3661730,Tb10.6k15.0380,Tb10.6k15.0380,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661731,Tb10.6k15.0360,Tb10.6k15.0360,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661732,Tb10.6k15.0350,Tb10.6k15.0350,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661733,Tb10.6k15.0340,Tb10.6k15.0340,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661734,Tb10_snoRNA_0024,Tb10_snoRNA_0024,-,-,10,-,ncRNA,ncRNA,-,-,-,-,20200919,-
185431,3661735,Tb10_snoRNA_0025,Tb10_snoRNA_0025,-,-,10,-,ncRNA,ncRNA,-,-,-,-,20200919,-
185431,3661736,Tb10_snoRNA_0026,Tb10_snoRNA_0026,-,-,10,-,ncRNA,ncRNA,-,-,-,-,20200919,-
185431,3661737,Tb10_snoRNA_0027,Tb10_snoRNA_0027,-,-,10,-,ncRNA,ncRNA,-,-,-,-,20200919,-
185431,3661738,Tb10_snoRNA_0028,Tb10_snoRNA_0028,-,-,10,-,ncRNA,ncRNA,-,-,-,-,20200919,-
185431,3661739,Tb10.26.0520,Tb10.26.0520,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661740,Tb10.26.0510,Tb10.26.0510,-,-,10,-,"CYC2-like cyclin, putative",protein-coding,-,-,-,"CYC2-like cyclin, putative",20200919,-
185431,3661741,Tb10.70.0920,Tb10.70.0920,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661742,Tb10.70.0910,Tb10.70.0910,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661743,Tb10.70.0890,Tb10.70.0890,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661744,Tb10.70.0870,Tb10.70.0870,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661745,Tb10.70.0860,Tb10.70.0860,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661746,Tb10.26.0300,Tb10.26.0300,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661747,Tb10.26.0290,Tb10.26.0290,-,-,10,-,"calcium-transporting ATPase, putative",protein-coding,-,-,-,"calcium-transporting ATPase, putative",20200919,-
185431,3661748,Tb10.26.0280,Tb10.26.0280,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661749,Tb10.70.2890,Tb10.70.2890,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661750,Tb10.70.2880,Tb10.70.2880,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661751,Tb10.70.2870,Tb10.70.2870,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661752,Tb10.70.2860,Tb10.70.2860,-,-,10,-,expression site-associated gene ESAG protein,protein-coding,-,-,-,expression site-associated gene ESAG protein,20200919,-
185431,3661753,Tb10.70.2850,Tb10.70.2850,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661754,Tb10.70.2840,Tb10.70.2840,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661755,Tb10.70.2830,Tb10.70.2830,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661756,Tb10.70.6900,Tb10.70.6900,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661757,Tb10.70.6890,Tb10.70.6890,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661758,Tb10.70.6880,Tb10.70.6880,-,-,10,-,"katanin, putative",protein-coding,-,-,-,"katanin, putative",20200919,-
185431,3661759,Tb10.70.6870,Tb10.70.6870,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661760,Tb10.70.6830,Tb10.70.6830,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661761,Tb10.70.6820,Tb10.70.6820,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661762,Tb10.70.6810,Tb10.70.6810,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661763,Tb10.70.6800,Tb10.70.6800,-,-,10,-,"aspartyl-tRNA synthetase, putative",protein-coding,-,-,-,"aspartyl-tRNA synthetase, putative",20200919,-
185431,3661764,Tb10.70.3450,Tb10.70.3450,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661765,Tb10.70.3440,Tb10.70.3440,-,-,10,-,"phosphatidylinositol-4-phosphate 5-kinase, putative",protein-coding,-,-,-,"phosphatidylinositol-4-phosphate 5-kinase, putative",20200919,-
185431,3661766,Tb10.70.3410,Tb10.70.3410,-,-,10,-,"protein kinase, putative",protein-coding,-,-,-,"protein kinase, putative",20200919,-
185431,3661767,Tb10.70.3390,Tb10.70.3390,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661768,Tb10.70.3380,Tb10.70.3380,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661769,Tb10.70.3370,Tb10.70.3370,-,-,10,-,"40S ribosomal protein S3a, putative",protein-coding,-,-,-,"40S ribosomal protein S3a, putative",20200919,-
185431,3661770,Tb10.61.1650,Tb10.61.1650,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661771,Tb10.61.1630,Tb10.61.1630,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661772,Tb10.61.1590,Tb10.61.1590,-,-,10,-,"intraflagellar transport protein component, putative",protein-coding,-,-,-,"intraflagellar transport protein component, putative",20200919,-
185431,3661773,Tb10.61.1560,Tb10.61.1560,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661774,Tb10.61.1550,Tb10.61.1550,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661775,Tb10.61.1530,Tb10.61.1530,-,-,10,-,lipoic acid synthetase,protein-coding,-,-,-,lipoic acid synthetase,20200923,-
185431,3661776,Tb10.61.2110,Tb10.61.2110,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661777,Tb10.61.2100,Tb10.61.2100,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661778,Tb10.61.2090,Tb10.61.2090,-,-,10,-,"60S ribosomal protein L17, putative",protein-coding,-,-,-,"60S ribosomal protein L17, putative",20200923,-
185431,3661779,Tb10.61.2080,Tb10.61.2080,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661780,Tb10.61.2070,Tb10.61.2070,-,-,10,-,"40S ribosomal protein S2, putative",protein-coding,-,-,-,"40S ribosomal protein S2, putative",20200923,-
185431,3661781,Tb10.61.2060,Tb10.61.2060,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661782,Tb10.61.2050,Tb10.61.2050,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661783,Tb10.61.2040,Tb10.61.2040,-,-,10,-,"fibrillarin, putative",protein-coding,-,-,-,"fibrillarin, putative",20200919,-
185431,3661784,Tb10.61.2030,Tb10.61.2030,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661785,Tb10.61.2020,Tb10.61.2020,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661786,Tb10.61.2010,Tb10.61.2010,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661787,Tb10.61.1990,Tb10.61.1990,-,-,10,-,"ribosome biogenesis protein, putative",protein-coding,-,-,-,"ribosome biogenesis protein, putative",20200919,-
185431,3661788,Tb10.61.1980,Tb10.61.1980,-,-,10,-,"syntaxin, putative",protein-coding,-,-,-,"syntaxin, putative",20200919,-
185431,3661789,Tb10.61.1970,Tb10.61.1970,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661790,Tb10.70.0450,Tb10.70.0450,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661791,Tb10.70.0440,Tb10.70.0440,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661792,Tb10.70.0430,Tb10.70.0430,-,-,10,-,chaperonin Hsp60,protein-coding,-,-,-,chaperonin Hsp60,20200922,-
185431,3661793,Tb10.70.0420,Tb10.70.0420,-,-,10,-,"mismatch repair protein MSH8, putative",protein-coding,-,-,-,"mismatch repair protein MSH8, putative",20200919,-
185431,3661794,Tb10.70.0410,Tb10.70.0410,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661795,Tb10.70.0380,Tb10.70.0380,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661796,Tb10.70.0370,Tb10.70.0370,-,-,10,-,"phosphomannomutase, putative",protein-coding,-,-,-,"phosphomannomutase, putative",20200919,-
185431,3661797,Tb10.6k15.0020,Tb10.6k15.0020,-,-,10,-,EP1 procyclin precursor,protein-coding,-,-,-,EP1 procyclin precursor,20200919,-
185431,3661798,Tb10.6k15.0010,Tb10.6k15.0010,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661799,Tb10.406.0650,Tb10.406.0650,-,-,10,-,"microtubule-associated protein, putative",protein-coding,-,-,-,"microtubule-associated protein, putative",20200919,-
185431,3661800,Tb10.406.0640,Tb10.406.0640,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
185431,3661801,Tb10.406.0630,Tb10.406.0630,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661802,Tb10.406.0620,Tb10.406.0620,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661803,Tb10.406.0615,Tb10.406.0615,-,-,10,-,"dynein light chain, putative",protein-coding,-,-,-,"dynein light chain, putative",20200919,-
185431,3661804,Tb10.61.2850,Tb10.61.2850,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661805,Tb10.61.2840,Tb10.61.2840,-,-,10,-,"vacuolar ATP synthase subunit c, putative",protein-coding,-,-,-,"vacuolar ATP synthase subunit c, putative",20200919,-
185431,3661806,Tb10.61.2830,Tb10.61.2830,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661807,Tb10.61.2800,Tb10.61.2800,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661808,Tb10.61.2745,Tb10.61.2745,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661809,Tb10.61.2740,Tb10.61.2740,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661810,Tb10.61.2720,Tb10.61.2720,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661811,Tb10.61.2700,Tb10.61.2700,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661812,Tb10.61.2680,Tb10.61.2680,-,-,10,-,pyruvate kinase 1,protein-coding,-,-,-,pyruvate kinase 1,20200919,-
185431,3661813,Tb10.61.2670,Tb10.61.2670,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661814,Tb10.61.2650,Tb10.61.2650,-,-,10,-,aquaglyceroporin,protein-coding,-,-,-,aquaglyceroporin,20200919,-
185431,3661815,Tb10.61.2640,Tb10.61.2640,-,-,10,-,"aquaporin 9, putative",protein-coding,-,-,-,"aquaporin 9, putative",20200919,-
185431,3661816,Tb10.61.2630,Tb10.61.2630,-,-,10,-,"protein transport protein Sec13, putative",protein-coding,-,-,-,"protein transport protein Sec13, putative",20200919,-
185431,3661817,Tb10.61.2620,Tb10.61.2620,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661818,Tb10.v4.0031,Tb10.v4.0031,-,-,10,-,"variant surface glycoprotein (VSG), putative",protein-coding,-,-,-,"variant surface glycoprotein (VSG), putative",20200923,-
185431,3661819,Tb10.389.0800,Tb10.389.0800,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661820,Tb10.v4.0027,Tb10.v4.0027,-,-,10,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3661821,Tb10.v4.0028,Tb10.v4.0028,-,-,10,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3661822,Tb10.v4.0029,Tb10.v4.0029,-,-,10,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3661823,Tb10.v4.0030,Tb10.v4.0030,-,-,10,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3661824,Tb10_snoRNA_0077,Tb10_snoRNA_0077,-,-,10,-,ncRNA,ncRNA,-,-,-,-,20200919,-
185431,3661825,Tb10_snoRNA_0078,Tb10_snoRNA_0078,-,-,10,-,ncRNA,ncRNA,-,-,-,-,20200919,-
185431,3661826,Tb10_snoRNA_0079,Tb10_snoRNA_0079,-,-,10,-,ncRNA,ncRNA,-,-,-,-,20200919,-
185431,3661827,Tb10_snoRNA_0080,Tb10_snoRNA_0080,-,-,10,-,ncRNA,ncRNA,-,-,-,-,20200919,-
185431,3661828,Tb10_snoRNA_0081,Tb10_snoRNA_0081,-,-,10,-,ncRNA,ncRNA,-,-,-,-,20200919,-
185431,3661829,Tb10_snoRNA_0082,Tb10_snoRNA_0082,-,-,10,-,ncRNA,ncRNA,-,-,-,-,20200919,-
185431,3661830,Tb10_snoRNA_0083,Tb10_snoRNA_0083,-,-,10,-,ncRNA,ncRNA,-,-,-,-,20200919,-
185431,3661831,Tb10_snoRNA_0084,Tb10_snoRNA_0084,-,-,10,-,ncRNA,ncRNA,-,-,-,-,20200919,-
185431,3661832,Tb10.61.0570,Tb10.61.0570,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661833,Tb10.61.0560,Tb10.61.0560,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661834,Tb10.61.0540,Tb10.61.0540,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661835,Tb10.61.0530,Tb10.61.0530,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661836,Tb10.61.0520,Tb10.61.0520,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661837,Tb10.61.0510,Tb10.61.0510,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661838,Tb10.61.0500,Tb10.61.0500,-,-,10,-,"actin-like protein 2, putative",protein-coding,-,-,-,"actin-like protein 2, putative",20200919,-
185431,3661839,Tb10.61.0490,Tb10.61.0490,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661840,Tb10.61.0480,Tb10.61.0480,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661841,Tb10.6k15.0330,Tb10.6k15.0330,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661842,Tb10.6k15.0320,Tb10.6k15.0320,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661843,Tb10.6k15.0310,Tb10.6k15.0310,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661844,Tb10.6k15.0300,Tb10.6k15.0300,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661845,Tb10.6k15.0290,Tb10.6k15.0290,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661846,Tb10.6k15.0280,Tb10.6k15.0280,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661847,Tb10.6k15.0270,Tb10.6k15.0270,-,-,10,-,"60S acidic ribosomal protein, putative",protein-coding,-,-,-,"60S acidic ribosomal protein, putative",20200919,-
185431,3661848,Tb10.6k15.0260,Tb10.6k15.0260,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661849,Tb10.70.0600,Tb10.70.0600,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661850,Tb10.70.0590,Tb10.70.0590,-,-,10,-,"small GTPase, putative",protein-coding,-,-,-,"small GTPase, putative",20200919,-
185431,3661851,Tb10.70.0580,Tb10.70.0580,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661852,Tb10.70.0570,Tb10.70.0570,-,-,10,-,"ATP-dependent DEAD/H RNA helicase, putative",protein-coding,-,-,-,"ATP-dependent DEAD/H RNA helicase, putative",20200919,-
185431,3661853,Tb10.70.0560,Tb10.70.0560,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661854,Tb10.70.0550,Tb10.70.0550,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661855,Tb10.70.0540,Tb10.70.0540,-,-,10,-,"ATP-dependent DEAD/H RNA helicase, putative",protein-coding,-,-,-,"ATP-dependent DEAD/H RNA helicase, putative",20200919,-
185431,3661856,Tb10.26.0480,Tb10.26.0480,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661857,Tb10.26.0440,Tb10.26.0440,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661858,Tb10.26.0430,Tb10.26.0430,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661859,Tb10.26.0420,Tb10.26.0420,-,-,10,-,"hypothetical protein, unlikely",protein-coding,-,-,-,"hypothetical protein, unlikely",20200919,-
185431,3661860,Tb10.26.0410,Tb10.26.0410,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661861,Tb10.26.0400,Tb10.26.0400,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661862,Tb10.26.0390,Tb10.26.0390,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661863,Tb10.61.2130,Tb10.61.2130,-,-,10,-,"ATP-dependent DEAD/H RNA helicase, putative",protein-coding,-,-,-,"ATP-dependent DEAD/H RNA helicase, putative",20200919,-
185431,3661864,Tb10.6k15.3420,Tb10.6k15.3420,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661865,Tb10.6k15.3410,Tb10.6k15.3410,-,-,10,-,"pre-mRNA splicing factor ATP-dependent RNA helicase, putative",protein-coding,-,-,-,"pre-mRNA splicing factor ATP-dependent RNA helicase, putative",20200919,-
185431,3661866,Tb10.6k15.3400,Tb10.6k15.3400,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661867,Tb10.20.0180,Tb10.20.0180,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661868,Tb10.6k15.3370,Tb10.6k15.3370,-,-,10,-,"terminal uridylyltransferase 3, putative",protein-coding,-,-,-,"terminal uridylyltransferase 3, putative",20210417,-
185431,3661869,Tb10.61.1070,Tb10.61.1070,-,-,10,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3661870,Tb10.61.1040,Tb10.61.1040,-,-,10,-,DNA-directed RNA polymerase subunit alpha,protein-coding,-,-,-,DNA-directed RNA polymerase subunit alpha,20200919,-
185431,3661871,Tb10.61.1030,Tb10.61.1030,-,-,10,-,"U3 snoRNA-associated protein UTP11, putative",protein-coding,-,-,-,"U3 snoRNA-associated protein UTP11, putative",20200919,-
185431,3661872,Tb10.61.1020,Tb10.61.1020,-,-,10,-,"kinesin, putative",protein-coding,-,-,-,"kinesin, putative",20200919,-
185431,3661873,Tb10.61.0990,Tb10.61.0990,-,-,10,-,"kinesin, putative",protein-coding,-,-,-,"kinesin, putative",20200919,-
185431,3661874,Tb10.61.0980,Tb10.61.0980,-,-,10,-,glycosomal malate dehydrogenase,protein-coding,-,-,-,glycosomal malate dehydrogenase,20200919,-
185431,3661875,Tb10.61.0960,Tb10.61.0960,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661876,Tb10.61.0950,Tb10.61.0950,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661877,Tb10.61.0940,Tb10.61.0940,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661878,Tb10.61.0930,Tb10.61.0930,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661879,Tb10.61.0910,Tb10.61.0910,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661880,Tb10.61.0900,Tb10.61.0900,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661881,Tb10.61.0890,Tb10.61.0890,-,-,10,-,"transporter, putative",protein-coding,-,-,-,"transporter, putative",20200919,-
185431,3661882,Tb10.61.0880,Tb10.61.0880,-,-,10,-,"GDP-mannose 4,6 dehydratase, putative",protein-coding,-,-,-,"GDP-mannose 4,6 dehydratase, putative",20200919,-
185431,3661883,Tb10.61.0870,Tb10.61.0870,-,-,10,-,"SNARE protein, putative",protein-coding,-,-,-,"SNARE protein, putative",20200919,-
185431,3661884,Tb10.70.5020,Tb10.70.5020,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661885,Tb10.70.5010,Tb10.70.5010,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661886,Tb10.70.5000,Tb10.70.5000,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661887,Tb10.70.4990,Tb10.70.4990,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661888,Tb10.70.4980,Tb10.70.4980,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661889,Tb10.70.4970,Tb10.70.4970,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661890,Tb10.70.4960,Tb10.70.4960,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661891,Tb10.70_v2.40,Tb10.70_v2.40,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3661892,Tb10.70.7170,Tb10.70.7170,-,-,10,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
