#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
573,2827931,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene ('Klebsiella aerogenes' (Kruse) Taylor et al. 1956; Bacillus pneumoniae; Bacterium pneumoniae crouposae; Hyalococcus pneumoniae; Klebsiella pneumoniae aerogenes.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210522,-
573,39636722,C2M09_RS29825,C2M09_RS29825,C2M09_30045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
573,39636723,C2M09_RS29830,C2M09_RS29830,C2M09_30050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39636746,C2M09_RS29945,C2M09_RS29945,C2M09_30165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39636775,C2M10_RS26300,C2M10_RS26300,C2M10_26525,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39636784,C2M10_RS26245,C2M10_RS26245,C2M10_26470,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
573,39636793,C2M10_RS26385,C2M10_RS26385,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39636826,C2M10_RS26550,C2M10_RS26550,C2M10_26775,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39636836,C2M10_RS26600,C2M10_RS26600,C2M10_26825,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39636838,C2M10_RS26610,C2M10_RS26610,C2M10_26835,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39636840,C2M10_RS26620,C2M10_RS26620,C2M10_26845,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39636861,C2M10_RS26725,C2M10_RS26725,C2M10_26950,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39636865,C2M10_RS26745,C2M10_RS26745,C2M10_26970,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39636877,C2M10_RS26805,C2M10_RS26805,C2M10_27030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39636878,C2M10_RS26810,C2M10_RS26810,C2M10_27035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39636879,C2M10_RS26815,C2M10_RS26815,C2M10_27040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39636892,C2M10_RS26880,C2M10_RS26880,C2M10_27100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
573,39636895,C2M10_RS26895,C2M10_RS26895,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39636897,C2M10_RS26905,C2M10_RS26905,C2M10_27130,-,-,-,IS66 family insertion sequence hypothetical protein,protein-coding,-,-,-,IS66 family insertion sequence hypothetical protein,20190429,-
573,39636910,C2M10_RS26970,C2M10_RS26970,C2M10_27195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39636915,C2M10_RS26995,C2M10_RS26995,C2M10_27220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39636916,C2M10_RS27000,C2M10_RS27000,C2M10_27225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39636926,C2M10_RS27050,C2M10_RS27050,C2M10_27275,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
573,39636931,C2M10_RS27075,C2M10_RS27075,C2M10_27300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
573,39636932,C2M10_RS27080,C2M10_RS27080,C2M10_27305,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
573,39636935,C2M10_RS27095,C2M10_RS27095,C2M10_27320,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
573,39636946,C2M10_RS27150,C2M10_RS27150,C2M10_27375,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637017,C2M10_RS27505,C2M10_RS27505,C2M10_27730,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637026,C2M10_RS27550,C2M10_RS27550,C2M10_27775,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637035,C2M10_RS27595,C2M10_RS27595,C2M10_27820,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637044,C2M10_RS27640,C2M10_RS27640,C2M10_27865,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637052,C2M10_RS27680,C2M10_RS27680,C2M10_27905,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637060,C2M10_RS27720,C2M10_RS27720,C2M10_27945,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637069,C2M10_RS27765,C2M10_RS27765,C2M10_27990,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637078,C2M10_RS27810,C2M10_RS27810,C2M10_28035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637087,C2M10_RS27855,C2M10_RS27855,C2M10_28080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637111,C2M10_RS27975,C2M10_RS27975,C2M10_28195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637144,C2M10_RS28140,C2M10_RS28140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637168,C2M23_RS28180,C2M23_RS28180,C2M23_28410,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637193,C2M23_RS28300,C2M23_RS28300,C2M23_28530,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201010,-
573,39637196,C2M23_RS28315,C2M23_RS28315,C2M23_28545,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637200,C2M23_RS28335,C2M23_RS28335,C2M23_28565,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637202,C2M23_RS28345,C2M23_RS28345,C2M23_28575,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637207,C2M23_RS28370,C2M23_RS28370,C2M23_28600,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637216,C2M23_RS28415,C2M23_RS28415,C2M23_28645,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
573,39637223,C2M23_RS28450,C2M23_RS28450,C2M23_28680,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
573,39637242,C2M23_RS28545,C2M23_RS28545,C2M23_28775,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637263,C2L73_RS29100,C2L73_RS29100,C2L73_29320,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
573,39637266,C2L73_RS29115,C2L73_RS29115,C2L73_29335,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637271,C2L73_RS29140,C2L73_RS29140,C2L73_29360,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637273,C2L73_RS29150,C2L73_RS29150,C2L73_29370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637277,C2L73_RS29165,C2L73_RS29165,C2L73_29385,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637282,C2L73_RS29190,C2L73_RS29190,C2L73_29410,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637292,C2L73_RS29240,C2L73_RS29240,C2L73_29460,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637297,C2L73_RS29265,C2L73_RS29265,C2L73_29485,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637299,C2L73_RS29275,C2L73_RS29275,C2L73_29495,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637301,C2L73_RS29285,C2L73_RS29285,C2L73_29505,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637303,C2L73_RS29295,C2L73_RS29295,C2L73_29515,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637308,C2L73_RS29320,C2L73_RS29320,C2L73_29540,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637316,C2L73_RS29360,C2L73_RS29360,C2L73_29580,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637317,C2L73_RS29365,C2L73_RS29365,C2L73_29585,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637320,C2L73_RS29380,C2L73_RS29380,C2L73_29600,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637321,C2L73_RS29385,C2L73_RS29385,C2L73_29605,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637322,C2L73_RS29390,C2L73_RS29390,C2L73_29610,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637324,C2L73_RS29400,C2L73_RS29400,C2L73_29620,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637328,C2L73_RS29420,C2L73_RS29420,C2L73_29640,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637333,C2M21_RS25855,C2M21_RS25855,C2M21_26025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637343,C2M21_RS25905,C2M21_RS25905,C2M21_26075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637344,C2M21_RS25910,C2M21_RS25910,C2M21_26080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637345,C2M21_RS25915,C2M21_RS25915,C2M21_26085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637348,C2M21_RS25930,C2M21_RS25930,C2M21_26100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637349,C2M21_RS25935,C2M21_RS25935,C2M21_26105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637358,C2M21_RS25975,C2M21_RS25975,C2M21_26145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637361,C2M21_RS25990,C2M21_RS25990,C2M21_26160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637364,C2M21_RS26005,C2M21_RS26005,C2M21_26175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637366,C2M21_RS26015,C2M21_RS26015,C2M21_26185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637373,C2M21_RS26050,C2M21_RS26050,C2M21_26220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637383,C2M21_RS26100,C2M21_RS26100,C2M21_26270,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637389,C2M21_RS26130,C2M21_RS26130,C2M21_26300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637394,C2M21_RS26155,C2M21_RS26155,C2M21_26325,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637395,C2M21_RS26160,C2M21_RS26160,C2M21_26330,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637396,C2M21_RS26165,C2M21_RS26165,C2M21_26335,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637399,C2M21_RS26180,C2M21_RS26180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637401,C2M21_RS26190,C2M21_RS26190,C2M21_26355,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637404,C2M21_RS26205,C2M21_RS26205,C2M21_26370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637406,C2M21_RS26215,C2M21_RS26215,C2M21_26380,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637407,C2M21_RS26220,C2M21_RS26220,C2M21_26385,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637408,C2M21_RS26225,C2M21_RS26225,C2M21_26390,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637417,C2M21_RS26270,C2M21_RS26270,C2M21_26440,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
573,39637427,C2M21_RS26320,C2M21_RS26320,C2M21_26495,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
573,39637433,C2M21_RS26350,C2M21_RS26350,C2M21_26525,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637434,C2M21_RS26355,C2M21_RS26355,C2M21_26530,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637442,C2M21_RS26395,C2M21_RS26395,C2M21_26575,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190525,-
573,39637447,C2M21_RS26420,C2M21_RS26420,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637450,C2M21_RS26435,C2M21_RS26435,C2M21_26615,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637481,C2M21_RS26590,C2M21_RS26590,C2M21_26770,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637485,C2M21_RS26610,C2M21_RS26610,C2M21_26790,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637495,C2M21_RS26660,C2M21_RS26660,C2M21_26840,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637496,C2M21_RS26665,C2M21_RS26665,C2M21_26845,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637497,C2M21_RS26670,C2M21_RS26670,C2M21_26850,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637504,C2M21_RS26705,C2M21_RS26705,C2M21_26885,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637510,C2M13_RS26680,C2M13_RS26680,C2M13_26840,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637515,C2M13_RS26670,C2M13_RS26670,C2M13_26830,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637516,C2M13_RS26695,C2M13_RS26695,C2M13_26855,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637529,C2M13_RS26755,C2M13_RS26755,C2M13_26915,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637531,C2M13_RS26765,C2M13_RS26765,C2M13_26925,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637541,C2M13_RS26815,C2M13_RS26815,C2M13_26975,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637550,C2M13_RS26860,C2M13_RS26860,C2M13_27020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637557,C2M13_RS26895,C2M13_RS26895,C2M13_27055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637558,C2M13_RS26900,C2M13_RS26900,C2M13_27060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637562,C2M13_RS26920,C2M13_RS26920,C2M13_27080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637563,C2M13_RS26925,C2M13_RS26925,C2M13_27085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637575,C2M13_RS26985,C2M13_RS26985,C2M13_27145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637576,C2M13_RS26990,C2M13_RS26990,C2M13_27150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637585,C2M13_RS27035,C2M13_RS27035,C2M13_27195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637589,C2M13_RS27055,C2M13_RS27055,C2M13_27215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637590,C2M13_RS27060,C2M13_RS27060,C2M13_27220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637591,C2M13_RS27065,C2M13_RS27065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637592,C2M13_RS27070,C2M13_RS27070,C2M13_27225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637593,C2M13_RS27075,C2M13_RS27075,C2M13_27230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637596,C2M13_RS27090,C2M13_RS27090,C2M13_27245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637598,C2M13_RS27100,C2M13_RS27100,C2M13_27255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637599,C2M13_RS27105,C2M13_RS27105,C2M13_27260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637610,C2M13_RS27160,C2M13_RS27160,C2M13_27315,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637616,C2M13_RS27190,C2M13_RS27190,C2M13_27345,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
573,39637617,C2M13_RS27195,C2M13_RS27195,C2M13_27350,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637618,C2M13_RS27200,C2M13_RS27200,C2M13_27355,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637626,C2M13_RS27240,C2M13_RS27240,C2M13_27395,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637629,C2M13_RS27255,C2M13_RS27255,C2M13_27410,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637630,C2M13_RS27260,C2M13_RS27260,C2M13_27415,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637632,C2M13_RS27270,C2M13_RS27270,C2M13_27425,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637634,C2M13_RS27280,C2M13_RS27280,C2M13_27435,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39637663,C2M15_RS25585,C2M15_RS25585,C2M15_25780,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637664,C2M15_RS25590,C2M15_RS25590,C2M15_25785,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637665,C2M15_RS25595,C2M15_RS25595,C2M15_25790,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637666,C2M15_RS25600,C2M15_RS25600,C2M15_25795,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637670,C2M15_RS25620,C2M15_RS25620,C2M15_25815,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637672,C2M15_RS25630,C2M15_RS25630,C2M15_25825,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637673,C2M15_RS25635,C2M15_RS25635,C2M15_25830,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637677,C2M15_RS25655,C2M15_RS25655,C2M15_25850,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637679,C2M15_RS25665,C2M15_RS25665,C2M15_25860,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637680,C2M15_RS25670,C2M15_RS25670,C2M15_25865,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637681,C2M15_RS25675,C2M15_RS25675,C2M15_25870,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
573,39637683,C2M15_RS25575,C2M15_RS25575,C2M15_25770,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637684,C2M15_RS25685,C2M15_RS25685,C2M15_25880,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190815,-
573,39637690,C2M15_RS25715,C2M15_RS25715,C2M15_25910,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637692,C2M15_RS25725,C2M15_RS25725,C2M15_25920,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637695,C2M15_RS25740,C2M15_RS25740,C2M15_25935,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637696,C2M15_RS25745,C2M15_RS25745,C2M15_25940,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637697,C2M15_RS25750,C2M15_RS25750,C2M15_25945,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637698,C2M15_RS25755,C2M15_RS25755,C2M15_25950,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637702,C2M15_RS25775,C2M15_RS25775,C2M15_25970,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637707,C2M15_RS25800,C2M15_RS25800,C2M15_25995,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637708,C2M15_RS25805,C2M15_RS25805,C2M15_26000,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637709,C2M15_RS25810,C2M15_RS25810,C2M15_26005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637710,C2M15_RS25815,C2M15_RS25815,C2M15_26010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637712,C2M15_RS25825,C2M15_RS25825,C2M15_26020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
573,39637719,C2M15_RS25860,C2M15_RS25860,C2M15_26055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637721,C2M15_RS25870,C2M15_RS25870,C2M15_26065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637724,C2M15_RS25885,C2M15_RS25885,C2M15_26080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637725,C2M15_RS25890,C2M15_RS25890,C2M15_26085,-,-,-,-,tRNA,-,-,-,-,20190405,-
573,39637727,C2M15_RS25900,C2M15_RS25900,C2M15_26095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637730,C2M15_RS25915,C2M15_RS25915,C2M15_26110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637731,C2M15_RS25920,C2M15_RS25920,C2M15_26115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637732,C2M15_RS25925,C2M15_RS25925,C2M15_26120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637733,C2M15_RS25930,C2M15_RS25930,C2M15_26125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190601,-
573,39637735,C2M15_RS25940,C2M15_RS25940,C2M15_26135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637739,C2M15_RS25960,C2M15_RS25960,C2M15_26155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190525,-
573,39637742,C2M15_RS25975,C2M15_RS25975,C2M15_26165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637743,C2M15_RS25980,C2M15_RS25980,C2M15_26170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637755,C2M15_RS26040,C2M15_RS26040,C2M15_26230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637757,C2M15_RS26050,C2M15_RS26050,C2M15_26240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637763,C2M15_RS26080,C2M15_RS26080,C2M15_26270,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
573,39637777,C2M15_RS26150,C2M15_RS26150,C2M15_26340,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637780,C2M15_RS26165,C2M15_RS26165,C2M15_26355,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637783,C2M15_RS25570,C2M15_RS25570,C2M15_25765,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637785,C2M15_RS26220,C2M15_RS26220,C2M15_26410,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637786,C2M15_RS26225,C2M15_RS26225,C2M15_26415,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637807,C2M15_RS26300,C2M15_RS26300,C2M15_26495,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
573,39637810,C2M15_RS26315,C2M15_RS26315,C2M15_26510,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637813,C2M15_RS26330,C2M15_RS26330,C2M15_26525,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637867,C2M15_RS26600,C2M15_RS26600,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637869,C2M15_RS26610,C2M15_RS26610,C2M15_26810,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637877,C2M15_RS26650,C2M15_RS26650,C2M15_26850,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39637878,C2M15_RS26655,C2M15_RS26655,C2M15_26855,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
573,39637892,C2M15_RS26725,C2M15_RS26725,C2M15_26925,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
