#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
697581,25405473,TCARB_RS00005,TCARB_RS00005,TCARB_0001,-,-,-,adenosine-specific kinase,protein-coding,-,-,-,adenosine-specific kinase,20201026,-
697581,25406399,TCARB_RS04635,TCARB_RS04635,TCARB_0981,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20200829,-
697581,25406400,TCARB_RS04640,TCARB_RS04640,TCARB_0982,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20200829,-
697581,25406401,TCARB_RS04645,TCARB_RS04645,TCARB_0983,-,-,-,peptide transporter,protein-coding,-,-,-,peptide transporter,20200829,-
697581,25406402,TCARB_RS04650,TCARB_RS04650,TCARB_0984,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406403,TCARB_RS04655,TCARB_RS04655,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406404,TCARB_RS04660,TCARB_RS04660,TCARB_0986,-,-,-,ParA family protein,protein-coding,-,-,-,ParA family protein,20200829,-
697581,25406405,TCARB_RS04665,TCARB_RS04665,TCARB_0987,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200829,-
697581,25406406,TCARB_RS04670,TCARB_RS04670,TCARB_0988,-,-,-,RpiB/LacA/LacB family sugar-phosphate isomerase,protein-coding,-,-,-,RpiB/LacA/LacB family sugar-phosphate isomerase,20210529,-
697581,25406407,TCARB_RS04675,TCARB_RS04675,TCARB_0989,-,-,-,phosphoglucomutase,protein-coding,-,-,-,phosphoglucomutase,20200829,-
697581,25406408,TCARB_RS04680,TCARB_RS04680,TCARB_0990,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406409,TCARB_RS04685,TCARB_RS04685,TCARB_0991,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406410,TCARB_RS04690,TCARB_RS04690,TCARB_0992,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406411,TCARB_RS04695,TCARB_RS04695,TCARB_0993,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20200919,-
697581,25406412,TCARB_RS04700,TCARB_RS04700,TCARB_0994,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406413,TCARB_RS04705,TCARB_RS04705,TCARB_0995,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20200919,-
697581,25406414,TCARB_RS04710,TCARB_RS04710,TCARB_0996,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20200919,-
697581,25406415,TCARB_RS04715,TCARB_RS04715,TCARB_0997,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20200829,-
697581,25406416,TCARB_RS04720,TCARB_RS04720,TCARB_0998,-,-,-,BMP family ABC transporter substrate-binding protein,protein-coding,-,-,-,BMP family ABC transporter substrate-binding protein,20200829,-
697581,25406417,udp,TCARB_RS04725,TCARB_0999,-,-,-,uridine phosphorylase,protein-coding,-,-,-,uridine phosphorylase,20200829,-
697581,25406418,TCARB_RS04730,TCARB_RS04730,TCARB_1000,-,-,-,winged helix-turn-helix transcriptional regulator,protein-coding,-,-,-,winged helix-turn-helix transcriptional regulator,20200829,-
697581,25406419,TCARB_RS04735,TCARB_RS04735,TCARB_1001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406420,TCARB_RS04740,TCARB_RS04740,TCARB_1002,-,-,-,flavin reductase family protein,protein-coding,-,-,-,flavin reductase family protein,20200919,-
697581,25406421,TCARB_RS04745,TCARB_RS04745,TCARB_1003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406422,TCARB_RS04750,TCARB_RS04750,TCARB_1004,-,-,-,TIGR04053 family radical SAM/SPASM domain-containing protein,protein-coding,-,-,-,TIGR04053 family radical SAM/SPASM domain-containing protein,20200919,-
697581,25406423,TCARB_RS04755,TCARB_RS04755,TCARB_1005,-,-,-,radical SAM protein,protein-coding,-,-,-,radical SAM protein,20200829,-
697581,25406424,TCARB_RS04760,TCARB_RS04760,TCARB_1006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406425,TCARB_RS04765,TCARB_RS04765,TCARB_1007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406426,TCARB_RS04770,TCARB_RS04770,TCARB_1008,-,-,-,prenyltransferase,protein-coding,-,-,-,prenyltransferase,20200919,-
697581,25406427,TCARB_RS04775,TCARB_RS04775,TCARB_1009,-,-,-,radical SAM protein,protein-coding,-,-,-,radical SAM protein,20201217,-
697581,25406428,TCARB_RS04780,TCARB_RS04780,TCARB_1010,-,-,-,CPBP family intramembrane metalloprotease,protein-coding,-,-,-,CPBP family intramembrane metalloprotease,20200829,-
697581,25406429,TCARB_RS04785,TCARB_RS04785,TCARB_1011,-,-,-,GNAT family N-acetyltransferase,protein-coding,-,-,-,GNAT family N-acetyltransferase,20200829,-
697581,25406430,TCARB_RS04790,TCARB_RS04790,TCARB_1012,-,-,-,nicotinamide mononucleotide deamidase-related protein,protein-coding,-,-,-,nicotinamide mononucleotide deamidase-related protein,20200829,-
697581,25406431,TCARB_RS04795,TCARB_RS04795,TCARB_1013,-,-,-,TetR/AcrR family transcriptional regulator,protein-coding,-,-,-,TetR/AcrR family transcriptional regulator,20200829,-
697581,25406432,TCARB_RS04800,TCARB_RS04800,TCARB_1014,-,-,-,arsenic resistance protein,protein-coding,-,-,-,arsenic resistance protein,20200829,-
697581,25406433,TCARB_RS04805,TCARB_RS04805,TCARB_1015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
697581,25406434,TCARB_RS04810,TCARB_RS04810,TCARB_1016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406435,TCARB_RS04815,TCARB_RS04815,TCARB_1017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406436,TCARB_RS04820,TCARB_RS04820,TCARB_1018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406437,TCARB_RS04825,TCARB_RS04825,-,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20200919,-
697581,25406438,TCARB_RS04830,TCARB_RS04830,TCARB_1020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406439,TCARB_RS04835,TCARB_RS04835,TCARB_1021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406440,TCARB_RS04840,TCARB_RS04840,TCARB_1022,-,-,-,DUF1611 domain-containing protein,protein-coding,-,-,-,DUF1611 domain-containing protein,20200829,-
697581,25406441,TCARB_RS04845,TCARB_RS04845,TCARB_1023,-,-,-,pyridoxal-phosphate dependent enzyme,protein-coding,-,-,-,pyridoxal-phosphate dependent enzyme,20200919,-
697581,25406442,TCARB_RS04850,TCARB_RS04850,TCARB_1024,-,-,-,DUF554 domain-containing protein,protein-coding,-,-,-,DUF554 domain-containing protein,20201026,-
697581,25406444,TCARB_RS04860,TCARB_RS04860,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406445,TCARB_RS04865,TCARB_RS04865,TCARB_1029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406446,TCARB_RS04870,TCARB_RS04870,TCARB_1030,-,-,-,zinc-binding alcohol dehydrogenase family protein,protein-coding,-,-,-,zinc-binding alcohol dehydrogenase family protein,20200829,-
697581,25406447,TCARB_RS04875,TCARB_RS04875,TCARB_1031,-,-,-,peroxiredoxin,protein-coding,-,-,-,peroxiredoxin,20200831,-
697581,25406448,TCARB_RS04880,TCARB_RS04880,TCARB_1032,-,-,-,nucleotidyltransferase domain-containing protein,protein-coding,-,-,-,nucleotidyltransferase domain-containing protein,20201217,-
697581,25406449,TCARB_RS04885,TCARB_RS04885,TCARB_1033,-,-,-,HEPN domain-containing protein,protein-coding,-,-,-,HEPN domain-containing protein,20200829,-
697581,25406450,TCARB_RS04890,TCARB_RS04890,TCARB_1034,-,-,-,DNA double-strand break repair nuclease NurA,protein-coding,-,-,-,DNA double-strand break repair nuclease NurA,20200919,-
697581,25406452,TCARB_RS04900,TCARB_RS04900,TCARB_1036,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20200829,-
697581,25406453,TCARB_RS04905,TCARB_RS04905,TCARB_1037,-,-,-,DNA repair exonuclease,protein-coding,-,-,-,DNA repair exonuclease,20200919,-
697581,25406454,TCARB_RS04910,TCARB_RS04910,TCARB_1038,-,-,-,SMC family ATPase,protein-coding,-,-,-,SMC family ATPase,20200829,-
697581,25406455,TCARB_RS04915,TCARB_RS04915,TCARB_1039,-,-,-,roadblock/LC7 domain-containing protein,protein-coding,-,-,-,roadblock/LC7 domain-containing protein,20210424,-
697581,25406456,TCARB_RS04920,TCARB_RS04920,TCARB_1040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406457,TCARB_RS04925,TCARB_RS04925,TCARB_1041,-,-,-,sulfite exporter TauE/SafE family protein,protein-coding,-,-,-,sulfite exporter TauE/SafE family protein,20200829,-
697581,25406458,TCARB_RS04930,TCARB_RS04930,TCARB_1042,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20200831,-
697581,25406459,TCARB_RS04935,TCARB_RS04935,TCARB_1043,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20200829,-
697581,25406460,TCARB_RS04940,TCARB_RS04940,TCARB_1044,-,-,-,branched-chain amino acid ABC transporter permease,protein-coding,-,-,-,branched-chain amino acid ABC transporter permease,20200829,-
697581,25406461,TCARB_RS04945,TCARB_RS04945,TCARB_1045,-,-,-,branched-chain amino acid ABC transporter permease,protein-coding,-,-,-,branched-chain amino acid ABC transporter permease,20200831,-
697581,25406462,TCARB_RS04950,TCARB_RS04950,TCARB_1046,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20200829,-
697581,25406463,TCARB_RS04955,TCARB_RS04955,TCARB_1047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406464,TCARB_RS04960,TCARB_RS04960,TCARB_1048,-,-,-,substrate-binding domain-containing protein,protein-coding,-,-,-,substrate-binding domain-containing protein,20200829,-
697581,25406465,TCARB_RS04965,TCARB_RS04965,TCARB_1049,-,-,-,ketoacyl-ACP synthase III,protein-coding,-,-,-,ketoacyl-ACP synthase III,20201026,-
697581,25406466,TCARB_RS04970,TCARB_RS04970,TCARB_1050,-,-,-,branched-chain amino acid ABC transporter permease,protein-coding,-,-,-,branched-chain amino acid ABC transporter permease,20200829,-
697581,25406467,TCARB_RS04975,TCARB_RS04975,TCARB_1051,-,-,-,branched-chain amino acid ABC transporter permease,protein-coding,-,-,-,branched-chain amino acid ABC transporter permease,20200829,-
697581,25406468,TCARB_RS04980,TCARB_RS04980,TCARB_1052,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20200831,-
697581,25406469,TCARB_RS04985,TCARB_RS04985,TCARB_1053,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20201026,-
697581,25406470,TCARB_RS04990,TCARB_RS04990,TCARB_1054,-,-,-,alpha/beta hydrolase,protein-coding,-,-,-,alpha/beta hydrolase,20200829,-
697581,25406471,TCARB_RS04995,TCARB_RS04995,TCARB_1055,-,-,-,alpha/beta hydrolase,protein-coding,-,-,-,alpha/beta hydrolase,20201026,-
697581,25406472,TCARB_RS05000,TCARB_RS05000,TCARB_1056,-,-,-,AMP-binding protein,protein-coding,-,-,-,AMP-binding protein,20210424,-
697581,25406473,TCARB_RS05005,TCARB_RS05005,TCARB_1057,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201217,-
697581,25406474,fabG,TCARB_RS05010,TCARB_1058,-,-,-,3-oxoacyl-ACP reductase FabG,protein-coding,-,-,-,3-oxoacyl-ACP reductase FabG,20201217,-
697581,25406475,TCARB_RS05015,TCARB_RS05015,TCARB_1059,-,-,-,thiolase family protein,protein-coding,-,-,-,thiolase family protein,20201217,-
697581,25406476,TCARB_RS05020,TCARB_RS05020,TCARB_1060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406477,TCARB_RS05025,TCARB_RS05025,TCARB_1061,-,-,-,alpha/beta fold hydrolase,protein-coding,-,-,-,alpha/beta fold hydrolase,20200829,-
697581,25406478,TCARB_RS05030,TCARB_RS05030,TCARB_1062,-,-,-,CoA-binding protein,protein-coding,-,-,-,CoA-binding protein,20201217,-
697581,25406479,TCARB_RS05035,TCARB_RS05035,TCARB_1063,-,-,-,acetate--CoA ligase family protein,protein-coding,-,-,-,acetate--CoA ligase family protein,20200919,-
697581,25406480,TCARB_RS05040,TCARB_RS05040,TCARB_1064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406481,TCARB_RS05045,TCARB_RS05045,TCARB_1065,-,-,-,4Fe-4S binding protein,protein-coding,-,-,-,4Fe-4S binding protein,20210424,-
697581,25406482,TCARB_RS05050,TCARB_RS05050,TCARB_1066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406483,TCARB_RS05055,TCARB_RS05055,TCARB_1067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406484,TCARB_RS05060,TCARB_RS05060,TCARB_1068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406485,TCARB_RS05065,TCARB_RS05065,TCARB_1069,-,-,-,ferredoxin,protein-coding,-,-,-,ferredoxin,20200829,-
697581,25406486,TCARB_RS05070,TCARB_RS05070,TCARB_1070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406487,TCARB_RS05075,TCARB_RS05075,TCARB_1071,-,-,-,2-oxoacid:acceptor oxidoreductase subunit alpha,protein-coding,-,-,-,2-oxoacid:acceptor oxidoreductase subunit alpha,20200919,-
697581,25406488,TCARB_RS05080,TCARB_RS05080,TCARB_1072,-,-,-,2-oxoacid:ferredoxin oxidoreductase subunit beta,protein-coding,-,-,-,2-oxoacid:ferredoxin oxidoreductase subunit beta,20200829,-
697581,25406489,TCARB_RS05085,TCARB_RS05085,TCARB_1073,-,-,-,DUF488 family protein,protein-coding,-,-,-,DUF488 family protein,20200919,-
697581,25406490,TCARB_RS05090,TCARB_RS05090,TCARB_1074,-,-,-,FAD-dependent oxidoreductase,protein-coding,-,-,-,FAD-dependent oxidoreductase,20210529,-
697581,25406491,TCARB_RS05095,TCARB_RS05095,TCARB_1075,-,-,-,SWIM zinc finger family protein,protein-coding,-,-,-,SWIM zinc finger family protein,20201026,-
697581,25406492,TCARB_RS05100,TCARB_RS05100,TCARB_1076,-,-,-,radical SAM protein,protein-coding,-,-,-,radical SAM protein,20200919,-
697581,25406493,TCARB_RS05105,TCARB_RS05105,TCARB_1077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25406494,TCARB_RS05110,TCARB_RS05110,TCARB_1078,-,-,-,radical SAM protein,protein-coding,-,-,-,radical SAM protein,20201026,-
697581,25406495,TCARB_RS05115,TCARB_RS05115,TCARB_1079,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,protein-coding,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,20200829,-
697581,25406496,TCARB_RS05120,TCARB_RS05120,TCARB_1080,-,-,-,PIN domain-containing protein,protein-coding,-,-,-,PIN domain-containing protein,20210529,-
697581,25406497,TCARB_RS05125,TCARB_RS05125,TCARB_1081,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,protein-coding,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,20200829,-
697581,25406498,TCARB_RS05130,TCARB_RS05130,TCARB_1082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
697581,25406499,TCARB_RS05135,TCARB_RS05135,TCARB_1083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25406500,TCARB_RS05140,TCARB_RS05140,TCARB_1084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
697581,25406501,TCARB_RS05145,TCARB_RS05145,TCARB_1086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406502,TCARB_RS05150,TCARB_RS05150,TCARB_1087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406503,TCARB_RS05155,TCARB_RS05155,TCARB_1088,-,-,-,carboxypeptidase regulatory-like domain-containing protein,protein-coding,-,-,-,carboxypeptidase regulatory-like domain-containing protein,20200829,-
697581,25406504,TCARB_RS05160,TCARB_RS05160,TCARB_1089,-,-,-,biotin--[acetyl-CoA-carboxylase] ligase,protein-coding,-,-,-,biotin--[acetyl-CoA-carboxylase] ligase,20201026,-
697581,25406505,TCARB_RS05165,TCARB_RS05165,TCARB_1090,-,-,-,methyltransferase domain-containing protein,protein-coding,-,-,-,methyltransferase domain-containing protein,20201026,-
697581,25406506,TCARB_RS05170,TCARB_RS05170,TCARB_1091,-,-,-,CDP-alcohol phosphatidyltransferase family protein,protein-coding,-,-,-,CDP-alcohol phosphatidyltransferase family protein,20210529,-
697581,25406507,TCARB_RS05175,TCARB_RS05175,TCARB_1092,-,-,-,NTP transferase domain-containing protein,protein-coding,-,-,-,NTP transferase domain-containing protein,20201026,-
697581,25406508,TCARB_RS05180,TCARB_RS05180,TCARB_1093,-,-,-,PadR family transcriptional regulator,protein-coding,-,-,-,PadR family transcriptional regulator,20200829,-
697581,25406509,TCARB_RS05185,TCARB_RS05185,TCARB_1094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406510,TCARB_RS05190,TCARB_RS05190,TCARB_1095,-,-,-,class II aldolase/adducin family protein,protein-coding,-,-,-,class II aldolase/adducin family protein,20200829,-
697581,25406511,TCARB_RS05195,TCARB_RS05195,TCARB_1096,-,-,-,DUF4258 domain-containing protein,protein-coding,-,-,-,DUF4258 domain-containing protein,20200829,-
697581,25406512,TCARB_RS05200,TCARB_RS05200,TCARB_1097,-,-,-,DUF2283 domain-containing protein,protein-coding,-,-,-,DUF2283 domain-containing protein,20201217,-
697581,25406513,TCARB_RS05205,TCARB_RS05205,TCARB_1099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406514,TCARB_RS05210,TCARB_RS05210,TCARB_1100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406515,TCARB_RS05215,TCARB_RS05215,TCARB_1101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406516,TCARB_RS05220,TCARB_RS05220,TCARB_1102,-,-,-,type II toxin-antitoxin system RelE/ParE family toxin,protein-coding,-,-,-,type II toxin-antitoxin system RelE/ParE family toxin,20200829,-
697581,25406517,TCARB_RS05225,TCARB_RS05225,TCARB_1103,-,-,-,type II toxin-antitoxin system VapC family toxin,protein-coding,-,-,-,type II toxin-antitoxin system VapC family toxin,20200829,-
697581,25406518,TCARB_RS05230,TCARB_RS05230,TCARB_1104,-,-,-,type II toxin-antitoxin system CcdA family antitoxin,protein-coding,-,-,-,type II toxin-antitoxin system CcdA family antitoxin,20200919,-
697581,25406519,TCARB_RS05235,TCARB_RS05235,TCARB_1105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406520,TCARB_RS05240,TCARB_RS05240,TCARB_1106,-,-,-,nucleotidyltransferase domain-containing protein,protein-coding,-,-,-,nucleotidyltransferase domain-containing protein,20200919,-
697581,25406521,cas6,TCARB_RS05245,TCARB_1107,-,-,-,CRISPR system precrRNA processing endoribonuclease RAMP protein Cas6,protein-coding,-,-,-,CRISPR system precrRNA processing endoribonuclease RAMP protein Cas6,20200919,-
697581,25406522,TCARB_RS05250,TCARB_RS05250,TCARB_1109,-,-,-,AIR synthase family protein,protein-coding,-,-,-,AIR synthase family protein,20200829,-
697581,25406523,TCARB_RS05255,TCARB_RS05255,TCARB_1110,-,-,-,ECF transporter S component,protein-coding,-,-,-,ECF transporter S component,20200829,-
697581,25406524,TCARB_RS05260,TCARB_RS05260,TCARB_1111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406525,TCARB_RS05265,TCARB_RS05265,TCARB_1112,-,-,-,DUF211 domain-containing protein,protein-coding,-,-,-,DUF211 domain-containing protein,20200829,-
697581,25406526,TCARB_RS05270,TCARB_RS05270,TCARB_1113,-,-,-,VIT1/CCC1 transporter family protein,protein-coding,-,-,-,VIT1/CCC1 transporter family protein,20201217,-
697581,25406527,TCARB_RS05275,TCARB_RS05275,TCARB_1114,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,protein-coding,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,20200831,-
697581,25406528,TCARB_RS05280,TCARB_RS05280,TCARB_1116,-,-,-,dihydrodipicolinate synthase family protein,protein-coding,-,-,-,dihydrodipicolinate synthase family protein,20200829,-
697581,25406529,TCARB_RS05285,TCARB_RS05285,TCARB_1117,-,-,-,cyclase family protein,protein-coding,-,-,-,cyclase family protein,20200829,-
697581,25406530,TCARB_RS05290,TCARB_RS05290,TCARB_1118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406531,TCARB_RS05295,TCARB_RS05295,TCARB_1120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406532,TCARB_RS05300,TCARB_RS05300,TCARB_1121,-,-,-,magnesium-dependent phosphatase-1,protein-coding,-,-,-,magnesium-dependent phosphatase-1,20210529,-
697581,25406533,TCARB_RS05305,TCARB_RS05305,TCARB_1122,-,-,-,type II toxin-antitoxin system VapC family toxin,protein-coding,-,-,-,type II toxin-antitoxin system VapC family toxin,20201026,-
697581,25406534,TCARB_RS05310,TCARB_RS05310,TCARB_1123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406535,TCARB_RS05315,TCARB_RS05315,TCARB_1124,-,-,-,SPOUT family RNA methylase,protein-coding,-,-,-,SPOUT family RNA methylase,20200829,-
697581,25406536,TCARB_RS05320,TCARB_RS05320,TCARB_1125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406537,TCARB_RS05325,TCARB_RS05325,TCARB_1126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406538,TCARB_RS05330,TCARB_RS05330,TCARB_1127,-,-,-,glycoside hydrolase family 3 C-terminal domain-containing protein,protein-coding,-,-,-,glycoside hydrolase family 3 C-terminal domain-containing protein,20201026,-
697581,25406539,TCARB_RS05335,TCARB_RS05335,TCARB_1128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406540,TCARB_RS05340,TCARB_RS05340,TCARB_1129,-,-,-,winged helix-turn-helix transcriptional regulator,protein-coding,-,-,-,winged helix-turn-helix transcriptional regulator,20201026,-
697581,25406541,TCARB_RS05345,TCARB_RS05345,TCARB_1130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406542,TCARB_RS05350,TCARB_RS05350,TCARB_1131,-,-,-,NUDIX hydrolase,protein-coding,-,-,-,NUDIX hydrolase,20200829,-
697581,25406543,TCARB_RS05355,TCARB_RS05355,TCARB_1132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406544,TCARB_RS05360,TCARB_RS05360,TCARB_1133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406545,TCARB_RS05365,TCARB_RS05365,TCARB_1134,-,-,-,PaREP1 family protein,protein-coding,-,-,-,PaREP1 family protein,20201026,-
697581,25406546,TCARB_RS05370,TCARB_RS05370,TCARB_1135,-,-,-,SDR family NAD(P)-dependent oxidoreductase,protein-coding,-,-,-,SDR family NAD(P)-dependent oxidoreductase,20210529,-
697581,25406547,TCARB_RS05375,TCARB_RS05375,TCARB_1136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25406548,TCARB_RS05380,TCARB_RS05380,TCARB_1137,-,-,-,endonuclease III domain-containing protein,protein-coding,-,-,-,endonuclease III domain-containing protein,20200829,-
697581,25406549,TCARB_RS05385,TCARB_RS05385,TCARB_1138,-,-,-,radical SAM protein,protein-coding,-,-,-,radical SAM protein,20201026,-
697581,25406550,TCARB_RS05390,TCARB_RS05390,TCARB_1139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406551,TCARB_RS05395,TCARB_RS05395,TCARB_1140,-,-,-,PIN domain-containing protein,protein-coding,-,-,-,PIN domain-containing protein,20200829,-
697581,25406552,TCARB_RS05400,TCARB_RS05400,TCARB_1141,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,protein-coding,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,20200829,-
697581,25406553,TCARB_RS05405,TCARB_RS05405,TCARB_1142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406554,TCARB_RS05410,TCARB_RS05410,TCARB_1143,-,-,-,serpin family protein,protein-coding,-,-,-,serpin family protein,20201026,-
697581,25406555,TCARB_RS05415,TCARB_RS05415,TCARB_1144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25406556,TCARB_RS05420,TCARB_RS05420,TCARB_1145,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20201026,-
697581,25406557,TCARB_RS05425,TCARB_RS05425,TCARB_1146,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20201026,-
697581,25406558,TCARB_RS05430,TCARB_RS05430,TCARB_1147,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20200829,-
697581,25406559,TCARB_RS05435,TCARB_RS05435,TCARB_1148,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20201026,-
697581,25406560,TCARB_RS05440,TCARB_RS05440,TCARB_1149,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20201217,-
697581,25406561,TCARB_RS05445,TCARB_RS05445,TCARB_1150,-,-,-,glycoside hydrolase family 1 protein,protein-coding,-,-,-,glycoside hydrolase family 1 protein,20200829,-
697581,25406562,TCARB_RS05450,TCARB_RS05450,TCARB_1151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406563,TCARB_RS05455,TCARB_RS05455,TCARB_1152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25406564,TCARB_RS05460,TCARB_RS05460,-,-,-,-,PIN domain-containing protein,protein-coding,-,-,-,PIN domain-containing protein,20210424,-
