#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1033806,16545868,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Halorhabdus tiamatea JCM 14471; Halorhabdus tiamatea str. SARL4B; Halorhabdus tiamatea strain SARL4B).,other,-,-,-,-,20180801,-
1033806,23798758,HTIA_RS13360,HTIA_RS13360,HTIA_2698,-,I,-,50S ribosomal protein L44e,protein-coding,-,-,-,50S ribosomal protein L44e,20210312,-
1033806,23798759,HTIA_RS13355,HTIA_RS13355,HTIA_2697,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798760,HTIA_RS13350,HTIA_RS13350,HTIA_2696,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798761,HTIA_RS13345,HTIA_RS13345,HTIA_2695,-,I,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210312,-
1033806,23798762,HTIA_RS13340,HTIA_RS13340,HTIA_2694,-,I,-,GtrA family protein,protein-coding,-,-,-,GtrA family protein,20210312,-
1033806,23798763,HTIA_RS13335,HTIA_RS13335,HTIA_2693,-,I,-,tRNA,tRNA,-,-,-,-,20210312,-
1033806,23798764,HTIA_RS13330,HTIA_RS13330,HTIA_2692,-,I,-,FAD-dependent oxidoreductase,protein-coding,-,-,-,FAD-dependent oxidoreductase,20210312,-
1033806,23798765,guaB,HTIA_RS13325,HTIA_2691,-,I,-,IMP dehydrogenase,protein-coding,-,-,-,IMP dehydrogenase,20210312,-
1033806,23798767,HTIA_RS13315,HTIA_RS13315,HTIA_2690,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798768,HTIA_RS13310,HTIA_RS13310,-,-,I,-,pseudo,pseudo,-,-,-,-,20210312,-
1033806,23798769,HTIA_RS13305,HTIA_RS13305,HTIA_2689,-,I,-,TetR family transcriptional regulator C-terminal domain-containing protein,protein-coding,-,-,-,TetR family transcriptional regulator C-terminal domain-containing protein,20210312,-
1033806,23798770,HTIA_RS13300,HTIA_RS13300,HTIA_2688,-,I,-,aminopeptidase P family protein,protein-coding,-,-,-,aminopeptidase P family protein,20210312,-
1033806,23798771,HTIA_RS13295,HTIA_RS13295,HTIA_2687,-,I,-,AGE family epimerase/isomerase,protein-coding,-,-,-,AGE family epimerase/isomerase,20210312,-
1033806,23798772,tadA,HTIA_RS13290,HTIA_2686,-,I,-,Flp pilus assembly complex ATPase component TadA,protein-coding,-,-,-,Flp pilus assembly complex ATPase component TadA,20210312,-
1033806,23798773,HTIA_RS13285,HTIA_RS13285,HTIA_2685,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798774,HTIA_RS13280,HTIA_RS13280,HTIA_2684,-,I,-,DUF302 domain-containing protein,protein-coding,-,-,-,DUF302 domain-containing protein,20210312,-
1033806,23798775,purD,HTIA_RS13275,HTIA_2683,-,I,-,phosphoribosylamine--glycine ligase,protein-coding,-,-,-,phosphoribosylamine--glycine ligase,20210312,-
1033806,23798776,HTIA_RS13270,HTIA_RS13270,HTIA_2682,-,I,-,thioredoxin domain-containing protein,protein-coding,-,-,-,thioredoxin domain-containing protein,20210312,-
1033806,23798777,HTIA_RS13265,HTIA_RS13265,-,-,I,-,twin-arginine translocation signal domain-containing protein,protein-coding,-,-,-,twin-arginine translocation signal domain-containing protein,20210312,-
1033806,23798778,HTIA_RS13260,HTIA_RS13260,HTIA_2680,-,I,-,thioredoxin family protein,protein-coding,-,-,-,thioredoxin family protein,20210312,-
1033806,23798779,HTIA_RS13255,HTIA_RS13255,HTIA_2679,-,I,-,PLP-dependent cysteine synthase family protein,protein-coding,-,-,-,PLP-dependent cysteine synthase family protein,20210312,-
1033806,23798780,HTIA_RS13250,HTIA_RS13250,HTIA_2678,-,I,-,response regulator,protein-coding,-,-,-,response regulator,20210312,-
1033806,23798781,HTIA_RS13245,HTIA_RS13245,HTIA_2677,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798782,HTIA_RS13240,HTIA_RS13240,HTIA_2676,-,I,-,tRNA sulfurtransferase,protein-coding,-,-,-,tRNA sulfurtransferase,20210312,-
1033806,23798783,HTIA_RS13235,HTIA_RS13235,HTIA_2675,-,I,-,methionine adenosyltransferase,protein-coding,-,-,-,methionine adenosyltransferase,20210312,-
1033806,23798784,cyaB,HTIA_RS13230,HTIA_2674,-,I,-,class IV adenylate cyclase,protein-coding,-,-,-,class IV adenylate cyclase,20210312,-
1033806,23798785,HTIA_RS13225,HTIA_RS13225,HTIA_2673,-,I,-,peptidylprolyl isomerase,protein-coding,-,-,-,peptidylprolyl isomerase,20210312,-
1033806,23798786,HTIA_RS13220,HTIA_RS13220,HTIA_2672,-,I,-,NUDIX hydrolase,protein-coding,-,-,-,NUDIX hydrolase,20210312,-
1033806,23798787,HTIA_RS13215,HTIA_RS13215,HTIA_2671,-,I,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210312,-
1033806,23798788,pyrB,HTIA_RS13210,HTIA_2670,-,I,-,aspartate carbamoyltransferase,protein-coding,-,-,-,aspartate carbamoyltransferase,20210312,-
1033806,23798789,HTIA_RS13205,HTIA_RS13205,HTIA_2669,-,I,-,aspartate carbamoyltransferase regulatory subunit,protein-coding,-,-,-,aspartate carbamoyltransferase regulatory subunit,20210312,-
1033806,23798790,HTIA_RS13200,HTIA_RS13200,HTIA_2668,-,I,-,NUDIX domain-containing protein,protein-coding,-,-,-,NUDIX domain-containing protein,20210312,-
1033806,23798791,HTIA_RS13195,HTIA_RS13195,HTIA_2667,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798792,HTIA_RS13190,HTIA_RS13190,HTIA_2666,-,I,-,RNA-binding protein,protein-coding,-,-,-,RNA-binding protein,20210312,-
1033806,23798793,HTIA_RS13185,HTIA_RS13185,HTIA_2665,-,I,-,ribonuclease P,protein-coding,-,-,-,ribonuclease P,20210312,-
1033806,23798794,HTIA_RS13180,HTIA_RS13180,HTIA_2664,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798795,HTIA_RS13175,HTIA_RS13175,HTIA_2663,-,I,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210312,-
1033806,23798796,HTIA_RS13170,HTIA_RS13170,HTIA_2662,-,I,-,rhomboid family intramembrane serine protease,protein-coding,-,-,-,rhomboid family intramembrane serine protease,20210312,-
1033806,23798797,HTIA_RS13165,HTIA_RS13165,HTIA_2661,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798798,aglJ,HTIA_RS13160,HTIA_2660,-,I,-,S-layer glycoprotein N-glycosyltransferase AglJ,protein-coding,-,-,-,S-layer glycoprotein N-glycosyltransferase AglJ,20210312,-
1033806,23798799,HTIA_RS13155,HTIA_RS13155,HTIA_2659,-,I,-,flippase,protein-coding,-,-,-,flippase,20210312,-
1033806,23798801,HTIA_RS13145,HTIA_RS13145,HTIA_2657,-,I,-,glycosyltransferase family 4 protein,protein-coding,-,-,-,glycosyltransferase family 4 protein,20210312,-
1033806,23798802,HTIA_RS13140,HTIA_RS13140,HTIA_2655,-,I,-,pseudo,pseudo,-,-,-,-,20210312,-
1033806,23798803,HTIA_RS13135,HTIA_RS13135,HTIA_2654,-,I,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210312,-
1033806,23798804,HTIA_RS13130,HTIA_RS13130,HTIA_2653,-,I,-,glycosyltransferase family 2 protein,protein-coding,-,-,-,glycosyltransferase family 2 protein,20210312,-
1033806,23798805,HTIA_RS13125,HTIA_RS13125,HTIA_2652,-,I,-,ferredoxin family protein,protein-coding,-,-,-,ferredoxin family protein,20210312,-
1033806,23798806,HTIA_RS13120,HTIA_RS13120,HTIA_2650,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798807,HTIA_RS13115,HTIA_RS13115,HTIA_2649,-,I,-,"2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase",protein-coding,-,-,-,"2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase",20210312,-
1033806,23798808,HTIA_RS13110,HTIA_RS13110,HTIA_2648,-,I,-,Single-stranded DNA binding protein,protein-coding,-,-,-,Single-stranded DNA binding protein,20210312,-
1033806,23798809,HTIA_RS13105,HTIA_RS13105,HTIA_2647,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798810,HTIA_RS13100,HTIA_RS13100,HTIA_2646,-,I,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210312,-
1033806,23798811,HTIA_RS13095,HTIA_RS13095,HTIA_2645,-,I,-,creatininase family protein,protein-coding,-,-,-,creatininase family protein,20210312,-
1033806,23798812,HTIA_RS13090,HTIA_RS13090,HTIA_2644,-,I,-,DEAD/DEAH box helicase,protein-coding,-,-,-,DEAD/DEAH box helicase,20210312,-
1033806,23798813,HTIA_RS13085,HTIA_RS13085,HTIA_2643,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798815,HTIA_RS13075,HTIA_RS13075,HTIA_2642,-,I,-,DNA mismatch repair protein,protein-coding,-,-,-,DNA mismatch repair protein,20210312,-
1033806,23798816,amrA,HTIA_RS13070,HTIA_2641,-,I,-,AmmeMemoRadiSam system protein A,protein-coding,-,-,-,AmmeMemoRadiSam system protein A,20210312,-
1033806,23798817,HTIA_RS13065,HTIA_RS13065,HTIA_2640,-,I,-,DUF357 domain-containing protein,protein-coding,-,-,-,DUF357 domain-containing protein,20210312,-
1033806,23798818,HTIA_RS13060,HTIA_RS13060,HTIA_2639,-,I,-,transcription initiation factor IIB,protein-coding,-,-,-,transcription initiation factor IIB,20210312,-
1033806,23798819,HTIA_RS13055,HTIA_RS13055,HTIA_2638,-,I,-,FUN14 domain-containing protein,protein-coding,-,-,-,FUN14 domain-containing protein,20210312,-
1033806,23798820,HTIA_RS13050,HTIA_RS13050,HTIA_2637,-,I,-,GNAT family N-acetyltransferase,protein-coding,-,-,-,GNAT family N-acetyltransferase,20210312,-
1033806,23798821,HTIA_RS13045,HTIA_RS13045,HTIA_2636,-,I,-,purine phosphoribosyltransferase family protein,protein-coding,-,-,-,purine phosphoribosyltransferase family protein,20210312,-
1033806,23798822,HTIA_RS13040,HTIA_RS13040,HTIA_2635,-,I,-,DUF4040 domain-containing protein,protein-coding,-,-,-,DUF4040 domain-containing protein,20210406,-
1033806,23798823,HTIA_RS13035,HTIA_RS13035,HTIA_2634,-,I,-,sodium:proton antiporter,protein-coding,-,-,-,sodium:proton antiporter,20210312,-
1033806,23798824,HTIA_RS13030,HTIA_RS13030,HTIA_2633,-,I,-,NADH-quinone oxidoreductase subunit K,protein-coding,-,-,-,NADH-quinone oxidoreductase subunit K,20210312,-
1033806,23798825,HTIA_RS13025,HTIA_RS13025,HTIA_2632,-,I,-,Na+/H+ antiporter subunit D,protein-coding,-,-,-,Na+/H+ antiporter subunit D,20210312,-
1033806,23798826,HTIA_RS13020,HTIA_RS13020,HTIA_2631,-,I,-,Na+/H+ antiporter subunit E,protein-coding,-,-,-,Na+/H+ antiporter subunit E,20210312,-
1033806,23798827,HTIA_RS13015,HTIA_RS13015,HTIA_2630,-,I,-,pH regulation protein F,protein-coding,-,-,-,pH regulation protein F,20210312,-
1033806,23798828,HTIA_RS13010,HTIA_RS13010,HTIA_2629,-,I,-,monovalent cation/H(+) antiporter subunit G,protein-coding,-,-,-,monovalent cation/H(+) antiporter subunit G,20210312,-
1033806,23798829,coaBC,HTIA_RS13005,HTIA_2628,-,I,-,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,protein-coding,-,-,-,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,20210312,-
1033806,23798830,trpB,HTIA_RS13000,HTIA_2627,-,I,-,tryptophan synthase subunit beta,protein-coding,-,-,-,tryptophan synthase subunit beta,20210312,-
1033806,23798831,HTIA_RS12995,HTIA_RS12995,HTIA_2626,-,I,-,type IV pilin N-terminal domain-containing protein,protein-coding,-,-,-,type IV pilin N-terminal domain-containing protein,20210312,-
1033806,23798832,HTIA_RS12990,HTIA_RS12990,HTIA_2625,-,I,-,halocyanin domain-containing protein,protein-coding,-,-,-,halocyanin domain-containing protein,20210312,-
1033806,23798833,HTIA_RS12985,HTIA_RS12985,HTIA_2624,-,I,-,NAD(+)/NADH kinase,protein-coding,-,-,-,NAD(+)/NADH kinase,20210312,-
1033806,23798834,HTIA_RS12980,HTIA_RS12980,HTIA_2623,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798835,HTIA_RS12975,HTIA_RS12975,HTIA_2622,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798836,HTIA_RS12970,HTIA_RS12970,HTIA_2621,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798837,HTIA_RS12965,HTIA_RS12965,HTIA_2620,-,I,-,cytochrome bc complex cytochrome b subunit,protein-coding,-,-,-,cytochrome bc complex cytochrome b subunit,20210312,-
1033806,23798838,HTIA_RS12960,HTIA_RS12960,HTIA_2619,-,I,-,cytochrome bc complex cytochrome b subunit,protein-coding,-,-,-,cytochrome bc complex cytochrome b subunit,20210312,-
1033806,23798839,HTIA_RS12955,HTIA_RS12955,HTIA_2618,-,I,-,cytochrome b,protein-coding,-,-,-,cytochrome b,20210312,-
1033806,23798840,HTIA_RS12950,HTIA_RS12950,HTIA_2617,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798841,HTIA_RS12945,HTIA_RS12945,HTIA_2616,-,I,-,halocyanin domain-containing protein,protein-coding,-,-,-,halocyanin domain-containing protein,20210312,-
1033806,23798842,HTIA_RS12940,HTIA_RS12940,HTIA_2615,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1033806,23798843,HTIA_RS12935,HTIA_RS12935,HTIA_2613,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798844,nth,HTIA_RS12930,HTIA_2612,-,I,-,endonuclease III,protein-coding,-,-,-,endonuclease III,20210312,-
1033806,23798845,HTIA_RS12925,HTIA_RS12925,HTIA_2611,-,I,-,GNAT family N-acetyltransferase,protein-coding,-,-,-,GNAT family N-acetyltransferase,20210312,-
1033806,23798846,HTIA_RS12920,HTIA_RS12920,HTIA_2610,-,I,-,aminoglycoside phosphotransferase,protein-coding,-,-,-,aminoglycoside phosphotransferase,20210312,-
1033806,23798847,HTIA_RS12915,HTIA_RS12915,HTIA_2609,-,I,-,DMT family transporter,protein-coding,-,-,-,DMT family transporter,20210406,-
1033806,23798848,HTIA_RS12910,HTIA_RS12910,HTIA_2608,-,I,-,SRPBCC family protein,protein-coding,-,-,-,SRPBCC family protein,20210312,-
1033806,23798849,HTIA_RS12905,HTIA_RS12905,HTIA_2607,-,I,-,Glu/Leu/Phe/Val dehydrogenase,protein-coding,-,-,-,Glu/Leu/Phe/Val dehydrogenase,20210312,-
1033806,23798850,HTIA_RS12900,HTIA_RS12900,HTIA_2606,-,I,-,DUF1028 domain-containing protein,protein-coding,-,-,-,DUF1028 domain-containing protein,20210312,-
1033806,23798851,HTIA_RS12895,HTIA_RS12895,HTIA_2605,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798852,HTIA_RS12890,HTIA_RS12890,HTIA_2604,-,I,-,MarR family transcriptional regulator,protein-coding,-,-,-,MarR family transcriptional regulator,20210312,-
1033806,23798853,HTIA_RS12885,HTIA_RS12885,HTIA_2603,-,I,-,IS200/IS605 family accessory protein TnpB-related protein,protein-coding,-,-,-,IS200/IS605 family accessory protein TnpB-related protein,20210312,-
1033806,23798854,tnpA,HTIA_RS12880,HTIA_2602,-,I,-,IS200/IS605-like element ISHmu5 family transposase,protein-coding,-,-,-,IS200/IS605-like element ISHmu5 family transposase,20210312,-
1033806,23798855,HTIA_RS12875,HTIA_RS12875,-,-,I,-,outer membrane lipoprotein carrier protein LolA,protein-coding,-,-,-,outer membrane lipoprotein carrier protein LolA,20210312,-
1033806,23798856,HTIA_RS12870,HTIA_RS12870,HTIA_2601,-,I,-,tRNA,tRNA,-,-,-,-,20210312,-
1033806,23798857,HTIA_RS12865,HTIA_RS12865,HTIA_2600,-,I,-,NAD-binding protein,protein-coding,-,-,-,NAD-binding protein,20210312,-
1033806,23798858,HTIA_RS12860,HTIA_RS12860,-,-,I,-,PRC-barrel domain-containing protein,protein-coding,-,-,-,PRC-barrel domain-containing protein,20210312,-
1033806,23798859,HTIA_RS12855,HTIA_RS12855,HTIA_2599,-,I,-,"1,4-dihydroxy-2-naphthoyl-CoA synthase",protein-coding,-,-,-,"1,4-dihydroxy-2-naphthoyl-CoA synthase",20210312,-
1033806,23798860,HTIA_RS12850,HTIA_RS12850,HTIA_2598,-,I,-,"1,4-dihydroxy-2-naphthoate polyprenyltransferase",protein-coding,-,-,-,"1,4-dihydroxy-2-naphthoate polyprenyltransferase",20210312,-
1033806,23798861,HTIA_RS12845,HTIA_RS12845,HTIA_2597,-,I,-,o-succinylbenzoate synthase,protein-coding,-,-,-,o-succinylbenzoate synthase,20210312,-
1033806,23798862,HTIA_RS12840,HTIA_RS12840,HTIA_2596,-,I,-,AMP-binding protein,protein-coding,-,-,-,AMP-binding protein,20210312,-
1033806,23798863,HTIA_RS12835,HTIA_RS12835,HTIA_2595,-,I,-,hydrogenase expression protein,protein-coding,-,-,-,hydrogenase expression protein,20210312,-
1033806,23798864,HTIA_RS12830,HTIA_RS12830,HTIA_2594,-,I,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210312,-
1033806,23798865,HTIA_RS12825,HTIA_RS12825,HTIA_2593,-,I,-,iron ABC transporter permease,protein-coding,-,-,-,iron ABC transporter permease,20210312,-
1033806,23798866,HTIA_RS12820,HTIA_RS12820,HTIA_2592,-,I,-,thiamine ABC transporter substrate-binding protein,protein-coding,-,-,-,thiamine ABC transporter substrate-binding protein,20210312,-
1033806,23798867,HTIA_RS12815,HTIA_RS12815,HTIA_2591,-,I,-,transcription factor,protein-coding,-,-,-,transcription factor,20210312,-
1033806,23798868,HTIA_RS12810,HTIA_RS12810,HTIA_2590,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798869,metG,HTIA_RS12805,HTIA_2589,-,I,-,methionine--tRNA ligase,protein-coding,-,-,-,methionine--tRNA ligase,20210312,-
1033806,23798870,HTIA_RS12800,HTIA_RS12800,HTIA_2588,-,I,-,NTP transferase domain-containing protein,protein-coding,-,-,-,NTP transferase domain-containing protein,20210312,-
1033806,23798871,HTIA_RS12795,HTIA_RS12795,HTIA_2587,-,I,-,MMPL family transporter,protein-coding,-,-,-,MMPL family transporter,20210312,-
1033806,23798872,HTIA_RS12790,HTIA_RS12790,HTIA_2586,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798873,HTIA_RS12785,HTIA_RS12785,HTIA_2585,-,I,-,transposase,protein-coding,-,-,-,transposase,20210312,-
1033806,23798874,HTIA_RS12780,HTIA_RS12780,HTIA_2584,-,I,-,TetR/AcrR family transcriptional regulator,protein-coding,-,-,-,TetR/AcrR family transcriptional regulator,20210312,-
1033806,23798875,HTIA_RS12775,HTIA_RS12775,HTIA_2583,-,I,-,leucine--tRNA ligase,protein-coding,-,-,-,leucine--tRNA ligase,20210312,-
1033806,23798876,HTIA_RS12770,HTIA_RS12770,HTIA_2582,-,I,-,MBL fold metallo-hydrolase,protein-coding,-,-,-,MBL fold metallo-hydrolase,20210312,-
1033806,23798877,HTIA_RS12765,HTIA_RS12765,HTIA_2581,-,I,-,PPOX class F420-dependent oxidoreductase,protein-coding,-,-,-,PPOX class F420-dependent oxidoreductase,20210312,-
1033806,23798878,HTIA_RS12760,HTIA_RS12760,HTIA_2580,-,I,-,GAF domain-containing protein,protein-coding,-,-,-,GAF domain-containing protein,20210312,-
1033806,23798879,HTIA_RS12755,HTIA_RS12755,HTIA_2579,-,I,-,mRNA surveillance protein pelota,protein-coding,-,-,-,mRNA surveillance protein pelota,20210312,-
1033806,23798880,HTIA_RS12750,HTIA_RS12750,HTIA_2578,-,I,-,carotenoid biosynthesis protein,protein-coding,-,-,-,carotenoid biosynthesis protein,20210312,-
1033806,23798881,HTIA_RS12745,HTIA_RS12745,HTIA_2577,-,I,-,fibronectin-binding domain-containing protein,protein-coding,-,-,-,fibronectin-binding domain-containing protein,20210312,-
1033806,23798882,HTIA_RS12740,HTIA_RS12740,HTIA_2576,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798886,HTIA_RS12720,HTIA_RS12720,HTIA_2575,-,I,-,transposase,protein-coding,-,-,-,transposase,20210312,-
1033806,23798887,HTIA_RS12715,HTIA_RS12715,HTIA_2574,-,I,-,tRNA uridine(34) 5-carboxymethylaminomethyl modification radical SAM/GNAT enzyme Elp3,protein-coding,-,-,-,tRNA uridine(34) 5-carboxymethylaminomethyl modification radical SAM/GNAT enzyme Elp3,20210312,-
1033806,23798888,HTIA_RS12710,HTIA_RS12710,HTIA_2573,-,I,-,S1 RNA-binding domain-containing protein,protein-coding,-,-,-,S1 RNA-binding domain-containing protein,20210312,-
1033806,23798889,HTIA_RS12705,HTIA_RS12705,HTIA_2572,-,I,-,YIP1 family protein,protein-coding,-,-,-,YIP1 family protein,20210312,-
1033806,23798890,HTIA_RS12700,HTIA_RS12700,HTIA_2571,-,I,-,NAD(P)H-dependent oxidoreductase,protein-coding,-,-,-,NAD(P)H-dependent oxidoreductase,20210312,-
1033806,23798891,HTIA_RS12695,HTIA_RS12695,HTIA_2570,-,I,-,pseudo,pseudo,-,-,-,-,20210312,-
1033806,23798892,HTIA_RS12690,HTIA_RS12690,HTIA_2569,-,I,-,nucleotidyl transferase AbiEii/AbiGii toxin family protein,protein-coding,-,-,-,nucleotidyl transferase AbiEii/AbiGii toxin family protein,20210312,-
1033806,23798893,HTIA_RS12685,HTIA_RS12685,HTIA_2568,-,I,-,type IV toxin-antitoxin system AbiEi family antitoxin domain-containing protein,protein-coding,-,-,-,type IV toxin-antitoxin system AbiEi family antitoxin domain-containing protein,20210312,-
1033806,23798894,HTIA_RS12680,HTIA_RS12680,HTIA_2567,-,I,-,A/G-specific adenine glycosylase,protein-coding,-,-,-,A/G-specific adenine glycosylase,20210312,-
1033806,23798895,HTIA_RS12675,HTIA_RS12675,HTIA_2566,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798896,HTIA_RS12670,HTIA_RS12670,HTIA_2565,-,I,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20210312,-
1033806,23798897,HTIA_RS12665,HTIA_RS12665,HTIA_2564,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798898,HTIA_RS12660,HTIA_RS12660,HTIA_2563,-,I,-,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase,protein-coding,-,-,-,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase,20210312,-
1033806,23798899,HTIA_RS12655,HTIA_RS12655,HTIA_2562,-,I,-,serine hydroxymethyltransferase,protein-coding,-,-,-,serine hydroxymethyltransferase,20210312,-
1033806,23798900,HTIA_RS12650,HTIA_RS12650,HTIA_2561,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798901,HTIA_RS12645,HTIA_RS12645,HTIA_2560,-,I,-,YcaO-like family protein,protein-coding,-,-,-,YcaO-like family protein,20210312,-
1033806,23798902,HTIA_RS12640,HTIA_RS12640,HTIA_2559,-,I,-,DUF63 family protein,protein-coding,-,-,-,DUF63 family protein,20210312,-
1033806,23798903,HTIA_RS12635,HTIA_RS12635,HTIA_2558,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798904,HTIA_RS12630,HTIA_RS12630,HTIA_2557,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798905,HTIA_RS12625,HTIA_RS12625,HTIA_2556,-,I,-,aldo/keto reductase,protein-coding,-,-,-,aldo/keto reductase,20210312,-
1033806,23798906,HTIA_RS12620,HTIA_RS12620,HTIA_2555,-,I,-,geranylgeranyl reductase family protein,protein-coding,-,-,-,geranylgeranyl reductase family protein,20210312,-
1033806,23798907,HTIA_RS12615,HTIA_RS12615,HTIA_2554,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798908,HTIA_RS12610,HTIA_RS12610,HTIA_2553,-,I,-,polyprenyl synthetase family protein,protein-coding,-,-,-,polyprenyl synthetase family protein,20210312,-
1033806,23798909,HTIA_RS12605,HTIA_RS12605,HTIA_2552,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798910,HTIA_RS12600,HTIA_RS12600,HTIA_2551,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798911,HTIA_RS12595,HTIA_RS12595,HTIA_2550,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798912,HTIA_RS12590,HTIA_RS12590,HTIA_2549,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798913,HTIA_RS12585,HTIA_RS12585,HTIA_2547,-,I,-,L-lactate dehydrogenase,protein-coding,-,-,-,L-lactate dehydrogenase,20210312,-
1033806,23798914,HTIA_RS12580,HTIA_RS12580,HTIA_2546,-,I,-,HlyC/CorC family transporter,protein-coding,-,-,-,HlyC/CorC family transporter,20210312,-
1033806,23798915,amrS,HTIA_RS12575,HTIA_2545,-,I,-,AmmeMemoRadiSam system radical SAM enzyme,protein-coding,-,-,-,AmmeMemoRadiSam system radical SAM enzyme,20210312,-
1033806,23798916,HTIA_RS12570,HTIA_RS12570,HTIA_2544,-,I,-,AIR synthase family protein,protein-coding,-,-,-,AIR synthase family protein,20210312,-
1033806,23798917,HTIA_RS12565,HTIA_RS12565,HTIA_2543,-,I,-,cupin domain-containing protein,protein-coding,-,-,-,cupin domain-containing protein,20210312,-
1033806,23798918,thiD,HTIA_RS12560,-,-,I,-,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,protein-coding,-,-,-,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,20210312,-
1033806,23798919,HTIA_RS12555,HTIA_RS12555,HTIA_2541,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798920,mutS,HTIA_RS12550,HTIA_2540,-,I,-,DNA mismatch repair protein MutS,protein-coding,-,-,-,DNA mismatch repair protein MutS,20210312,-
1033806,23798921,HTIA_RS12545,HTIA_RS12545,HTIA_2539,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798922,aroA,HTIA_RS12540,HTIA_2538,-,I,-,3-phosphoshikimate 1-carboxyvinyltransferase,protein-coding,-,-,-,3-phosphoshikimate 1-carboxyvinyltransferase,20210312,-
